Name,Konsensrating,Buy,Overweight,Hold,Underweight,Sell
T-Mobile US,4.536,24,1,2,0,1
MercadoLibre,4.318,16,1,5,0,0
AstraZeneca,4.31,22,2,5,0,0
Marvell Technology,4.3,24,3,3,0,0
PDD,4.277,39,6,2,0,0
DexCom,4.273,17,2,3,0,0
CrowdStrike,4.261,35,4,7,0,0
Diamondback Energy,4.233,23,2,4,1,0
Constellation Energy,4.231,8,0,5,0,0
ASML,4.212,24,2,6,0,1
Palo Alto Networks,4.186,33,5,5,0,0
Microchip Technology,4.16,16,1,8,0,0
Baker Hughes,4.154,18,2,6,0,0
Synopsys,4.143,11,2,1,0,0
Amazon,4.13,42,7,4,0,1
Zscaler,4.122,26,2,13,0,0
Alphabet A (ex Google),4.115,38,6,8,0,0
Alphabet C (ex Google),4.098,37,6,8,0,0
CoStar Group,4.067,11,2,2,0,0
Microsoft,4.059,37,6,7,0,1
KLA-Tencor,4.048,12,0,8,0,1
Biogen,4.029,22,3,9,0,0
JD.com,4.022,32,6,7,0,0
PayPal,3.958,29,4,15,0,0
Exelon,3.941,9,0,7,0,1
NVIDIA,3.939,35,7,6,1,0
Warner Bros. Discovery,3.929,17,2,8,0,1
AMD (Advanced Micro Devices) ,3.929,24,3,15,0,0
Analog Devices,3.9,18,3,9,0,0
Lam Research,3.885,13,1,12,0,0
ON Semiconductor,3.871,18,3,10,0,0
Enphase Energy,3.85,26,5,8,1,0
Meta Platforms (ex Facebook),3.847,40,7,8,1,3
Monster Beverage,3.846,14,1,10,1,0
Vertex Pharmaceuticals,3.844,18,3,11,0,0
Mondelez,3.826,14,2,6,1,0
O Reilly Automotive,3.808,15,2,8,1,0
Fortinet,3.8,20,4,11,0,0
Netflix,3.75,21,1,19,0,3
GLOBALFOUNDRIES,3.75,10,2,3,0,1
Workday A,3.744,23,5,10,0,1
Electronic Arts,3.741,13,2,12,0,0
NXP Semiconductors,3.741,13,2,12,0,0
Lucid,3.727,5,0,5,0,1
Gilead Sciences,3.7,12,1,17,0,0
Booking,3.697,17,2,12,1,1
CSX,3.69,16,4,9,0,0
Moderna,3.682,12,3,7,0,0
Costco Wholesale,3.676,20,4,12,1,0
Broadcom,3.667,18,4,3,2,0
Regeneron Pharmaceuticals,3.654,13,1,10,2,0
American Electric Power,3.65,9,1,9,0,1
Datadog A,3.649,21,6,10,0,0
Applied Materials,3.625,17,3,10,1,1
The Kraft Heinz Company,3.619,8,1,12,0,0
Align Technology,3.615,7,1,4,1,0
Comcast,3.613,16,3,10,0,2
Starbucks,3.613,11,1,19,0,0
Autodesk,3.607,15,3,8,0,2
Micron Technology,3.605,20,4,12,1,1
Apple,3.605,23,6,13,0,1
Copart,3.6,6,1,2,1,0
Fiserv,3.595,20,6,11,0,0
Charter A,3.56,9,0,14,0,2
Lululemon Athletica,3.545,20,4,5,2,2
Activision Blizzard,3.5,13,5,4,0,0
Adobe,3.472,16,5,15,0,0
Xcel Energy,3.467,5,0,9,1,0
Honeywell,3.423,11,3,11,0,1
Cisco,3.4,8,2,15,0,0
Cadence Design Systems,3.375,9,3,3,1,0
Verisk Analytics A,3.368,8,3,8,0,0
Cintas,3.368,8,2,8,1,0
Ross Stores,3.348,11,4,7,0,1
ANSYS,3.316,7,2,9,0,1
Keurig Dr Pepper,3.316,7,2,9,0,1
PepsiCo,3.304,9,2,10,1,1
Dollar Tree,3.296,10,1,13,3,0
Intuitive Surgical,3.269,11,5,10,0,0
Marriott,3.227,5,1,15,0,1
Zoom Video Communications,3.206,6,1,26,0,1
Tesla,3.191,17,4,20,1,5
Amgen,3.185,9,1,13,2,2
Seagen,3.176,3,1,13,0,0
Airbnb,3.175,13,3,19,0,5
Illumina,3.045,8,2,8,1,3
eBay,2.938,5,2,22,0,3
Old Dominion Freight Line,2.913,6,1,11,1,4
IDEXX Laboratories,2.833,5,3,3,1,0
Intel,2.833,6,2,28,1,5
Cognizant,2.828,4,0,19,1,5
Sirius XM,2.688,3,0,8,1,4
Walgreens Boots Alliance,2.684,1,1,15,1,1
Paccar,2.667,2,2,15,1,1
Automatic Data Processing,2.636,2,1,15,1,3
Fastenal,2.625,3,0,8,2,3
Paychex,2.619,2,1,14,1,3
Intuit,,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
QUALCOMM,,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
