Name,Konsensrating,Buy,Overweight,Hold,Underweight,Sell
T-Mobile US,-,24,1,2,0,1
MercadoLibre,-,16,1,5,0,0
AstraZeneca,-,22,2,5,0,0
Marvell Technology,-,24,3,3,0,0
PDD,-,39,6,2,0,0
DexCom,-,17,2,3,0,0
CrowdStrike,-,35,4,7,0,0
Diamondback Energy,-,23,2,4,1,0
Constellation Energy,-,8,0,5,0,0
ASML,-,24,2,6,0,1
Palo Alto Networks,-,33,5,5,0,0
Microchip Technology,-,16,1,8,0,0
Baker Hughes,-,18,2,6,0,0
Synopsys,-,11,2,1,0,0
Amazon,-,42,7,4,0,1
Zscaler,-,26,2,13,0,0
Alphabet A (ex Google),-,38,6,8,0,0
Alphabet C (ex Google),-,37,6,8,0,0
CoStar Group,-,11,2,2,0,0
Microsoft,-,37,6,7,0,1
KLA-Tencor,-,12,0,8,0,1
Biogen,-,22,3,9,0,0
JD.com,-,32,6,7,0,0
PayPal,-,29,4,15,0,0
Exelon,-,9,0,7,0,1
NVIDIA,-,35,7,6,1,0
Warner Bros. Discovery,-,17,2,8,0,1
AMD (Advanced Micro Devices) ,-,24,3,15,0,0
Analog Devices,-,18,3,9,0,0
Lam Research,-,13,1,12,0,0
ON Semiconductor,-,18,3,10,0,0
Enphase Energy,-,26,5,8,1,0
Meta Platforms (ex Facebook),-,40,7,8,1,3
Monster Beverage,-,14,1,10,1,0
Vertex Pharmaceuticals,-,18,3,11,0,0
Mondelez,-,14,2,6,1,0
O Reilly Automotive,-,15,2,8,1,0
Fortinet,-,20,4,11,0,0
Netflix,-,21,1,19,0,3
GLOBALFOUNDRIES,-,10,2,3,0,1
Workday A,-,23,5,10,0,1
Electronic Arts,-,13,2,12,0,0
NXP Semiconductors,-,13,2,12,0,0
Lucid,-,5,0,5,0,1
Gilead Sciences,-,12,1,17,0,0
Booking,-,17,2,12,1,1
CSX,-,16,4,9,0,0
Moderna,-,12,3,7,0,0
Costco Wholesale,-,20,4,12,1,0
Broadcom,-,18,4,3,2,0
Regeneron Pharmaceuticals,-,13,1,10,2,0
American Electric Power,-,9,1,9,0,1
Datadog A,-,21,6,10,0,0
Applied Materials,-,17,3,10,1,1
The Kraft Heinz Company,-,8,1,12,0,0
Align Technology,-,7,1,4,1,0
Comcast,-,16,3,10,0,2
Starbucks,-,11,1,19,0,0
Autodesk,-,15,3,8,0,2
Micron Technology,-,20,4,12,1,1
Apple,-,23,6,13,0,1
Copart,-,6,1,2,1,0
Fiserv,-,20,6,11,0,0
Charter A,-,9,0,14,0,2
Lululemon Athletica,-,20,4,5,2,2
Activision Blizzard,-,13,5,4,0,0
Adobe,-,16,5,15,0,0
Xcel Energy,-,5,0,9,1,0
Honeywell,-,11,3,11,0,1
Cisco,-,8,2,15,0,0
Cadence Design Systems,-,9,3,3,1,0
Verisk Analytics A,-,8,3,8,0,0
Cintas,-,8,2,8,1,0
Ross Stores,-,11,4,7,0,1
ANSYS,-,7,2,9,0,1
Keurig Dr Pepper,-,7,2,9,0,1
PepsiCo,-,9,2,10,1,1
Dollar Tree,-,10,1,13,3,0
Intuitive Surgical,-,11,5,10,0,0
Marriott,-,5,1,15,0,1
Zoom Video Communications,-,6,1,26,0,1
Tesla,-,17,4,20,1,5
Amgen,-,9,1,13,2,2
Seagen,-,3,1,13,0,0
Airbnb,-,13,3,19,0,5
Illumina,-,8,2,8,1,3
eBay,-,5,2,22,0,3
Old Dominion Freight Line,-,6,1,11,1,4
IDEXX Laboratories,-,5,3,3,1,0
Intel,-,6,2,28,1,5
Cognizant,-,4,0,19,1,5
Sirius XM,-,3,0,8,1,4
Walgreens Boots Alliance,-,1,1,15,1,1
Paccar,-,2,2,15,1,1
Automatic Data Processing,-,2,1,15,1,3
Fastenal,-,3,0,8,2,3
Paychex,-,2,1,14,1,3
Intuit,-,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
QUALCOMM,-,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
