Date,Buy/Sell/Hold,Name,Bank Name
02.11.22,Hold,AMD (Advanced Micro Devices)  Neutral,UBS AG
22.02.22,Buy,AMD (Advanced Micro Devices)  Outperform,Bernstein Research
02.02.22,Buy,AMD (Advanced Micro Devices)  Overweight,Barclays Capital
02.02.22,Buy,AMD (Advanced Micro Devices)  Conviction Buy List,Goldman Sachs Group Inc.
02.02.22,Hold,AMD (Advanced Micro Devices)  Neutral,JP Morgan Chase & Co.
12.08.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
01.08.19,Hold,AMD (Advanced Micro Devices)  Hold,The Benchmark Company
31.07.19,Hold,AMD (Advanced Micro Devices)  Hold,Craig Hallum
30.07.19,Hold,AMD (Advanced Micro Devices)  Hold,Deutsche Bank AG
18.07.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
01.05.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
10.04.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
30.01.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
30.10.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
18.10.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
01.10.18,Hold,AMD (Advanced Micro Devices)  Neutral,Robert W. Baird & Co. Incorporated
04.09.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
26.07.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
26.07.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
16.07.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
26.06.18,Hold,AMD (Advanced Micro Devices)  Hold,The Benchmark Company
15.06.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
18.05.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
26.04.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
05.04.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
28.07.17,Buy,AMD (Advanced Micro Devices)  Market Perform,BMO Capital Markets
26.07.17,Buy,AMD (Advanced Micro Devices)  Outperform,Robert W. Baird & Co. Incorporated
18.07.17,Sell,AMD (Advanced Micro Devices)  Underweight,Barclays Capital
21.06.17,Buy,AMD (Advanced Micro Devices)  Buy,Canaccord Adams
17.05.17,Hold,AMD (Advanced Micro Devices)  Hold,Loop Capital
02.05.17,Buy,AMD (Advanced Micro Devices)  Hold,"Stifel, Nicolaus & Co., Inc."
09.03.17,Buy,AMD (Advanced Micro Devices)  Buy,Canaccord Adams
22.02.17,Buy,AMD (Advanced Micro Devices)  Buy,Rosenblatt
01.02.17,Buy,AMD (Advanced Micro Devices)  Buy,Canaccord Adams
20.12.16,Buy,AMD (Advanced Micro Devices)  Buy,Mizuho
16.12.16,Buy,AMD (Advanced Micro Devices)  Outperform,BMO Capital Markets
06.12.16,Buy,AMD (Advanced Micro Devices)  Buy,Loop Capital
22.11.16,Buy,AMD (Advanced Micro Devices)  Buy,MKM Partners
07.10.16,Hold,AMD (Advanced Micro Devices)  Equal weight,Barclays Capital
22.07.16,Hold,AMD (Advanced Micro Devices)  Neutral,Mizuho
19.07.16,Buy,AMD (Advanced Micro Devices)  Buy,MKM Partners
16.06.16,Buy,AMD (Advanced Micro Devices)  Buy,Canaccord Adams
22.04.16,Buy,AMD (Advanced Micro Devices)  Buy,MKM Partners
22.04.16,Hold,AMD (Advanced Micro Devices)  Hold,Topeka Capital Markets
21.03.16,Hold,AMD (Advanced Micro Devices)  Neutral,Mizuho
13.08.15,Hold,AMD (Advanced Micro Devices)  Hold,Topeka Capital Markets
15.07.15,Hold,AMD (Advanced Micro Devices)  Neutral,Mizuho
07.07.15,Sell,AMD (Advanced Micro Devices)  Sell,UBS AG
07.07.15,Hold,AMD (Advanced Micro Devices)  Neutral,MKM Partners
07.07.15,Hold,AMD (Advanced Micro Devices)  Mkt Perform,FBR Capital
02.11.22,Hold,AMD (Advanced Micro Devices)  Neutral,UBS AG
22.02.22,Buy,AMD (Advanced Micro Devices)  Outperform,Bernstein Research
02.02.22,Buy,AMD (Advanced Micro Devices)  Overweight,Barclays Capital
02.02.22,Buy,AMD (Advanced Micro Devices)  Conviction Buy List,Goldman Sachs Group Inc.
02.02.22,Hold,AMD (Advanced Micro Devices)  Neutral,JP Morgan Chase & Co.
12.08.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
01.08.19,Hold,AMD (Advanced Micro Devices)  Hold,The Benchmark Company
31.07.19,Hold,AMD (Advanced Micro Devices)  Hold,Craig Hallum
30.07.19,Hold,AMD (Advanced Micro Devices)  Hold,Deutsche Bank AG
18.07.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
01.05.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
10.04.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
30.01.19,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
30.10.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
18.10.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
01.10.18,Hold,AMD (Advanced Micro Devices)  Neutral,Robert W. Baird & Co. Incorporated
04.09.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
26.07.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
26.07.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
16.07.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
26.06.18,Hold,AMD (Advanced Micro Devices)  Hold,The Benchmark Company
15.06.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
18.05.18,Buy,AMD (Advanced Micro Devices)  Outperform,"Cowen and Company, LLC"
26.04.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
05.04.18,Buy,AMD (Advanced Micro Devices)  Buy,"Stifel, Nicolaus & Co., Inc."
28.07.17,Buy,AMD (Advanced Micro Devices)  Market Perform,BMO Capital Markets
26.07.17,Buy,AMD (Advanced Micro Devices)  Outperform,Robert W. Baird & Co. Incorporated
18.07.17,Sell,AMD (Advanced Micro Devices)  Underweight,Barclays Capital
21.06.17,Buy,AMD (Advanced Micro Devices)  Buy,Canaccord Adams
17.05.17,Hold,AMD (Advanced Micro Devices)  Hold,Loop Capital
02.05.17,Buy,AMD (Advanced Micro Devices)  Hold,"Stifel, Nicolaus & Co., Inc."
09.03.17,Buy,AMD (Advanced Micro Devices)  Buy,Canaccord Adams
22.02.17,Buy,AMD (Advanced Micro Devices)  Buy,Rosenblatt
01.02.17,Buy,AMD (Advanced Micro Devices)  Buy,Canaccord Adams
20.12.16,Buy,AMD (Advanced Micro Devices)  Buy,Mizuho
16.12.16,Buy,AMD (Advanced Micro Devices)  Outperform,BMO Capital Markets
06.12.16,Buy,AMD (Advanced Micro Devices)  Buy,Loop Capital
22.11.16,Buy,AMD (Advanced Micro Devices)  Buy,MKM Partners
