Date,Buy/Sell/Hold,Name,Bank Name
03.05.19,Buy,ANSYS Buy,The Benchmark Company
19.12.18,Buy,ANSYS Hold,"Stifel, Nicolaus & Co., Inc."
05.11.18,Buy,ANSYS Buy,The Benchmark Company
02.11.18,Buy,ANSYS Outperform,Wedbush Morgan Securities Inc.
29.10.18,Buy,ANSYS Buy,"Needham & Company, LLC"
03.11.17,Hold,ANSYS Sector Perform,RBC Capital Markets
28.02.17,Buy,ANSYS Outperform,Robert W. Baird & Co. Incorporated
24.02.17,Hold,ANSYS Neutral,Wedbush Morgan Securities Inc.
06.01.17,Sell,ANSYS Underweight,Barclays Capital
22.11.16,Hold,ANSYS Hold,"Needham & Company, LLC"
04.11.16,Hold,ANSYS Hold,The Benchmark Company
06.05.16,Hold,ANSYS Neutral,Wedbush Morgan Securities Inc.
08.10.15,Hold,ANSYS Equal Weight,Pacific Crest Securities Inc.
03.08.12,Buy,ANSYS outperform,Robert W. Baird & Co. Incorporated
25.10.10,Hold,ANSYS hold,Jefferies & Company Inc.
03.11.09,Buy,ANSYS outperform,Oppenheimer & Co. Inc.
29.05.07,Buy,ANSYS buy,Deutsche Securities
06.02.07,Buy,ANSYS Buy,Banc of America Sec.
15.11.06,Buy,ANSYS Buy,Deutsche Securities
29.08.06,Buy,ANSYS buy,Deutsche Securities
19.07.06,Buy,ANSYS Buy,Deutsche Securities
22.06.06,Buy,ANSYS Buy,"Kaufman Bros., LP"
28.04.06,Hold,ANSYS Hold,Deutsche Securities
17.11.05,Buy,ANSYS Buy,Deutsche Securities
15.06.05,Buy,ANSYS Buy,Brean Murray
29.04.05,Buy,ANSYS Buy,KeyBanc Capital Markets / McDonald
