Date,Buy/Sell/Hold,Name,Bank Name
18.10.18,Hold,ASML Neutral,B. Riley FBR
17.01.18,Hold,ASML Neutral,"B. Riley FBR, Inc."
20.07.17,Hold,ASML Sector Perform,RBC Capital Markets
20.04.17,Hold,ASML Sector Perform,RBC Capital Markets
21.07.16,Hold,ASML Sector Perform,RBC Capital Markets
04.04.16,Hold,ASML Sector Perform,RBC Capital Markets
17.03.16,Hold,ASML Sector Perform,RBC Capital Markets
15.10.15,Sell,ASML Underperform,RBC Capital Markets
16.10.14,Sell,ASML Underperform,RBC Capital Markets
17.10.05,Buy,ASML buy,Banc of America Sec.
11.04.05,Buy,ASML Buy,Dresdner Kleinwort Wasserstein
24.02.05,Buy,ASML Overweight,JP Morgan
22.02.05,Buy,ASML Buy,Crédit Suisse
