Date,Buy/Sell/Hold,Name,Bank Name
04.09.19,Buy,Activision Blizzard Outperform,BMO Capital Markets
14.08.19,Buy,Activision Blizzard Market Perform,BMO Capital Markets
13.02.19,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
11.02.19,Buy,Activision Blizzard Buy,The Benchmark Company
22.01.19,Hold,Activision Blizzard Hold,Deutsche Bank AG
11.01.19,Buy,Activision Blizzard Buy,The Benchmark Company
14.12.18,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
04.12.18,Buy,Activision Blizzard Buy,Gabelli & Co
09.11.18,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
09.11.18,Buy,Activision Blizzard Outperform,Oppenheimer & Co. Inc.
05.11.18,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
16.10.18,Buy,Activision Blizzard Buy,BTIG Research
15.10.18,Buy,Activision Blizzard overweight,Barclays Capital
31.07.18,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
31.01.18,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
18.12.17,Buy,Activision Blizzard Buy,BTIG Research
04.10.17,Hold,Activision Blizzard Equal weight,Barclays Capital
04.08.17,Buy,Activision Blizzard Buy,UBS AG
04.08.17,Buy,Activision Blizzard Buy,The Benchmark Company
18.07.17,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
08.05.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
02.05.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
01.05.17,Buy,Activision Blizzard Buy,The Benchmark Company
26.04.17,Buy,Activision Blizzard Overweight,Pacific Crest Securities Inc.
13.02.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
10.02.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
03.02.17,Buy,Activision Blizzard Buy,The Benchmark Company
13.01.17,Buy,Activision Blizzard Buy,Mizuho
14.12.16,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
07.11.16,Buy,Activision Blizzard Buy,The Benchmark Company
04.11.16,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
06.09.16,Buy,Activision Blizzard Buy,Mizuho
16.06.16,Buy,Activision Blizzard overweight,Barclays Capital
09.05.16,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
06.05.16,Buy,Activision Blizzard overweight,Barclays Capital
06.05.16,Buy,Activision Blizzard Buy,UBS AG
06.05.16,Buy,Activision Blizzard Buy,MKM Partners
06.05.16,Buy,Activision Blizzard Buy,The Benchmark Company
06.05.16,Buy,Activision Blizzard Buy,Mizuho
03.05.16,Buy,Activision Blizzard Buy,MKM Partners
29.04.16,Buy,Activision Blizzard Market Perform,BMO Capital Markets
13.04.16,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
11.11.15,Buy,Activision Blizzard Buy,Argus Research Company
04.11.15,Buy,Activision Blizzard Buy,UBS AG
04.11.15,Buy,Activision Blizzard Buy,Mizuho
23.10.15,Buy,Activision Blizzard Buy,MKM Partners
02.10.15,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
15.09.15,Buy,Activision Blizzard overweight,Barclays Capital
18.08.15,Buy,Activision Blizzard Buy,Argus Research Company
06.08.15,Hold,Activision Blizzard Neutral,"J.J.B. Hilliard, W.L. Lyons, Inc."
04.09.19,Buy,Activision Blizzard Outperform,BMO Capital Markets
14.08.19,Buy,Activision Blizzard Market Perform,BMO Capital Markets
13.02.19,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
11.02.19,Buy,Activision Blizzard Buy,The Benchmark Company
22.01.19,Hold,Activision Blizzard Hold,Deutsche Bank AG
11.01.19,Buy,Activision Blizzard Buy,The Benchmark Company
14.12.18,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
04.12.18,Buy,Activision Blizzard Buy,Gabelli & Co
09.11.18,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
09.11.18,Buy,Activision Blizzard Outperform,Oppenheimer & Co. Inc.
05.11.18,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
16.10.18,Buy,Activision Blizzard Buy,BTIG Research
15.10.18,Buy,Activision Blizzard overweight,Barclays Capital
31.07.18,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
31.01.18,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
18.12.17,Buy,Activision Blizzard Buy,BTIG Research
04.10.17,Hold,Activision Blizzard Equal weight,Barclays Capital
04.08.17,Buy,Activision Blizzard Buy,UBS AG
04.08.17,Buy,Activision Blizzard Buy,The Benchmark Company
18.07.17,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
08.05.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
02.05.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
01.05.17,Buy,Activision Blizzard Buy,The Benchmark Company
26.04.17,Buy,Activision Blizzard Overweight,Pacific Crest Securities Inc.
13.02.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
10.02.17,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
03.02.17,Buy,Activision Blizzard Buy,The Benchmark Company
13.01.17,Buy,Activision Blizzard Buy,Mizuho
14.12.16,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
07.11.16,Buy,Activision Blizzard Buy,The Benchmark Company
04.11.16,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
06.09.16,Buy,Activision Blizzard Buy,Mizuho
16.06.16,Buy,Activision Blizzard overweight,Barclays Capital
09.05.16,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
06.05.16,Buy,Activision Blizzard overweight,Barclays Capital
06.05.16,Buy,Activision Blizzard Buy,UBS AG
06.05.16,Buy,Activision Blizzard Buy,MKM Partners
06.05.16,Buy,Activision Blizzard Buy,The Benchmark Company
06.05.16,Buy,Activision Blizzard Buy,Mizuho
03.05.16,Buy,Activision Blizzard Buy,MKM Partners
29.04.16,Buy,Activision Blizzard Market Perform,BMO Capital Markets
13.04.16,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
11.11.15,Buy,Activision Blizzard Buy,Argus Research Company
04.11.15,Buy,Activision Blizzard Buy,UBS AG
04.11.15,Buy,Activision Blizzard Buy,Mizuho
23.10.15,Buy,Activision Blizzard Buy,MKM Partners
02.10.15,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
15.09.15,Buy,Activision Blizzard overweight,Barclays Capital
18.08.15,Buy,Activision Blizzard Buy,Argus Research Company
06.08.15,Hold,Activision Blizzard Neutral,"J.J.B. Hilliard, W.L. Lyons, Inc."
06.08.15,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
05.08.15,Buy,Activision Blizzard overweight,Barclays Capital
05.08.15,Buy,Activision Blizzard Buy,MKM Partners
05.08.15,Buy,Activision Blizzard Buy,UBS AG
05.08.15,Hold,Activision Blizzard Buy,Mizuho
05.08.15,Buy,Activision Blizzard Buy,Brean Capital
28.07.15,Buy,Activision Blizzard Buy,Brean Capital
27.07.15,Buy,Activision Blizzard Buy,MKM Partners
26.06.15,Buy,Activision Blizzard Buy,Mizuho
29.05.15,Buy,Activision Blizzard Buy,"Stifel, Nicolaus & Co., Inc."
07.05.15,Buy,Activision Blizzard overweight,Barclays Capital
01.05.15,Buy,Activision Blizzard Buy,MKM Partners
15.04.15,Buy,Activision Blizzard Buy,Brean Capital
07.09.12,Buy,Activision Blizzard overweight,Piper Jaffray & Co.
28.03.12,Buy,Activision Blizzard buy,"Stifel, Nicolaus & Co., Inc."
10.11.11,Buy,Activision Blizzard buy,Citigroup Corp.
10.11.11,Hold,Activision Blizzard buy,Goldman Sachs Group Inc.
07.10.11,Buy,Activision Blizzard outperform,Robert W. Baird & Co. Incorporated
07.09.11,Buy,Activision Blizzard buy,Citigroup Corp.
10.05.11,Buy,Activision Blizzard buy,UBS AG
11.02.11,Buy,Activision Blizzard overweight,Morgan Stanley
10.02.11,Buy,Activision Blizzard outperform,RBC Capital Markets
27.10.10,Buy,Activision Blizzard outperform,Wedbush Morgan Securities Inc.
07.10.10,Buy,Activision Blizzard buy,"Janco Partners, Inc."
03.08.10,Buy,Activision Blizzard buy,"Kaufman Bros., LP"
02.08.10,Buy,Activision Blizzard outperform,Wedbush Morgan Securities Inc.
10.05.10,Buy,Activision Blizzard kaufen,Morgan Stanley
07.05.10,Buy,Activision Blizzard kaufen,Wedbush Morgan Securities Inc.
07.05.10,Buy,Activision Blizzard kaufen,ThinkEquity Partners LLC
18.12.09,Buy,Activision Blizzard strong buy,Standard & Poor
30.11.09,Buy,Activision Blizzard,Der Aktionär
20.11.09,Buy,Activision Blizzard,Frankfurter Tagesdienst
29.10.09,Buy,Activision Blizzard neutral,Piper Jaffray & Co.
27.10.09,Buy,Activision Blizzard outperform,"Cowen and Company, LLC"
20.10.09,Buy,Activision Blizzard outperform,RBC Capital Markets
12.08.09,Buy,Activision Blizzard buy,"Janco Partners, Inc."
06.08.09,Buy,Activision Blizzard outperform,Wedbush Morgan Securities Inc.
30.07.09,Buy,Activision Blizzard buy,UBS AG
29.06.09,Buy,Activision Blizzard buy,Goldman Sachs Group Inc.
08.05.09,Buy,Activision Blizzard strong buy,Wedbush Morgan Securities Inc.
27.03.09,Buy,Activision Blizzard buy,Citigroup Corp.
12.03.09,Buy,Activision Blizzard,Focus Money
06.02.09,Buy,Activision Blizzard buy,UBS AG
02.02.09,Buy,Activision Blizzard buy,"Kaufman Bros., LP"
14.01.09,Buy,Activision Blizzard buy,Janney Montgomery Scott
13.01.09,Buy,Activision Blizzard buy,Citigroup Corp.
07.01.09,Buy,Activision Blizzard buy,Piper Jaffray & Co.
23.12.08,Buy,Activision Blizzard neutral,Goldman Sachs Group Inc.
16.12.08,Buy,Activision Blizzard overweight,Barclays Capital
20.11.08,Hold,Activision Blizzard,Focus Money
04.09.19,Buy,Activision Blizzard Outperform,BMO Capital Markets
14.08.19,Buy,Activision Blizzard Market Perform,BMO Capital Markets
13.02.19,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
11.02.19,Buy,Activision Blizzard Buy,The Benchmark Company
22.01.19,Hold,Activision Blizzard Hold,Deutsche Bank AG
11.01.19,Buy,Activision Blizzard Buy,The Benchmark Company
14.12.18,Buy,Activision Blizzard Buy,"Needham & Company, LLC"
04.12.18,Buy,Activision Blizzard Buy,Gabelli & Co
09.11.18,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
09.11.18,Buy,Activision Blizzard Outperform,Oppenheimer & Co. Inc.
05.11.18,Buy,Activision Blizzard Outperform,Wedbush Morgan Securities Inc.
16.10.18,Buy,Activision Blizzard Buy,BTIG Research
15.10.18,Buy,Activision Blizzard overweight,Barclays Capital
