Date,Buy/Sell/Hold,Name,Bank Name
16.06.23,Buy,Adobe Buy,Goldman Sachs Group Inc.
15.06.23,Buy,Adobe Outperform,RBC Capital Markets
14.12.21,Hold,Adobe Neutral,JP Morgan Chase & Co.
16.09.20,Buy,Adobe Outperform,RBC Capital Markets
16.09.20,Buy,Adobe overweight,Barclays Capital
16.09.20,Buy,Adobe Outperform,Bernstein Research
16.09.20,Buy,Adobe overweight,JP Morgan Chase & Co.
16.09.20,Buy,Adobe Outperform,Credit Suisse Group
16.09.20,Buy,Adobe Outperform,Credit Suisse Group
19.06.19,Buy,Adobe Outperform,BMO Capital Markets
15.03.19,Buy,Adobe Buy,Canaccord Adams
15.02.19,Hold,Adobe Market Perform,"Cowen and Company, LLC"
07.01.19,Buy,Adobe Buy,Pivotal Research Group
14.12.18,Hold,Adobe Hold,Pivotal Research Group
14.12.18,Buy,Adobe Outperform,BMO Capital Markets
19.10.18,Hold,Adobe Neutral,Wedbush Morgan Securities Inc.
14.09.18,Buy,Adobe Buy,"Stifel, Nicolaus & Co., Inc."
14.09.18,Hold,Adobe Hold,Pivotal Research Group
14.09.18,Buy,Adobe Outperform,BMO Capital Markets
15.06.18,Buy,Adobe Buy,Canaccord Adams
15.06.18,Buy,Adobe Buy,"Stifel, Nicolaus & Co., Inc."
15.06.18,Buy,Adobe Outperform,BMO Capital Markets
16.03.18,Buy,Adobe Buy,Canaccord Adams
16.03.18,Buy,Adobe Outperform,BMO Capital Markets
16.03.18,Hold,Adobe Hold,Pivotal Research Group
12.03.18,Buy,Adobe Buy,"Stifel, Nicolaus & Co., Inc."
23.01.18,Buy,Adobe Buy,Canaccord Adams
23.01.18,Hold,Adobe Hold,Pivotal Research Group
23.01.18,Buy,Adobe overweight,Barclays Capital
15.12.17,Hold,Adobe Hold,Pivotal Research Group
15.12.17,Buy,Adobe Outperform,BMO Capital Markets
10.11.17,Buy,Adobe Buy,"Stifel, Nicolaus & Co., Inc."
09.11.17,Buy,Adobe Buy,UBS AG
