Date,Buy/Sell/Hold,Name,Bank Name
30.05.19,Hold,Align Technology Peer Perform,Wolfe Research
26.07.18,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
13.07.18,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
22.05.18,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
26.04.18,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
08.03.18,Buy,Align Technology overweight,Barclays Capital
30.01.18,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
08.12.17,Hold,Align Technology Hold,Deutsche Bank AG
21.11.17,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
23.10.17,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
23.06.17,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
28.04.17,Buy,Align Technology Outperform,Robert W. Baird & Co. Incorporated
28.11.16,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
03.10.16,Hold,Align Technology Neutral,Robert W. Baird & Co. Incorporated
23.10.15,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
24.07.15,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
24.04.15,Buy,Align Technology Buy,"Stifel, Nicolaus & Co., Inc."
24.04.15,Buy,Align Technology Buy,"ROTH Capital Partners, LLC"
30.01.15,Buy,Align Technology Buy,"ROTH Capital Partners, LLC"
02.01.15,Buy,Align Technology Outperform,Robert W. Baird & Co. Incorporated
08.11.12,Buy,Align Technology buy,"Stifel, Nicolaus & Co., Inc."
23.07.12,Buy,Align Technology outperform,Barrington Research
02.02.12,Buy,Align Technology outperform,Barrington Research
01.10.09,Buy,Align Technology buy,"Brean Murray, Carret & Co., LLC"
24.09.09,Buy,Align Technology buy,"SunTrust Robinson Humphrey, Inc."
17.08.09,Buy,Align Technology buy,"Brean Murray, Carret & Co., LLC"
24.04.09,Buy,Align Technology buy,"ROTH Capital Partners, LLC"
04.02.09,Buy,Align Technology buy,"Brean Murray, Carret & Co., LLC"
23.04.07,Buy,Align Technology overweight,JP Morgan
31.01.07,Hold,Align Technology Market Perform,Barrington Research
06.10.06,Buy,Align Technology Buy,Roth Capital
10.07.06,Hold,Align Technology Hold,Jefferies & Co
03.05.06,Buy,Align Technology market outperform,JMP Securities
02.05.06,Buy,Align Technology Market Outperform,JMP Securities
03.01.06,Sell,Align Technology underweight,JP Morgan
03.01.06,Sell,Align Technology Underweight,JP Morgan
15.12.05,Hold,Align Technology Market Perform,JMP Securities
25.10.05,Sell,Align Technology Sell,MDB Capital Group
03.08.05,Hold,Align Technology neutral,MDB Capital Group
02.08.05,Hold,Align Technology Neutral,MDB Capital Group
26.07.05,Buy,Align Technology Outperform,Barrington Research
23.05.05,Hold,Align Technology market perform,Piper Jaffray
23.05.05,Hold,Align Technology market perform,Piper Jaffray
23.05.05,Hold,Align Technology Market Perform,Piper Jaffray
13.04.05,Buy,Align Technology Buy,Jefferies & Co
