Date,Buy/Sell/Hold,Name,Bank Name
17.07.23,Buy,Alphabet A (ex Google) Outperform,Credit Suisse Group
17.07.23,Buy,Alphabet A (ex Google) Buy,Goldman Sachs Group Inc.
26.06.23,Hold,Alphabet A (ex Google) Neutral,UBS AG
27.04.23,Buy,Alphabet A (ex Google) Buy,UBS AG
26.04.23,Buy,Alphabet A (ex Google) Outperform,Credit Suisse Group
26.04.23,Buy,Alphabet A (ex Google) Buy,Goldman Sachs Group Inc.
26.04.23,Buy,Alphabet A (ex Google) Overweight,JP Morgan Chase & Co.
26.04.23,Buy,Alphabet A (ex Google) Buy,Goldman Sachs Group Inc.
24.04.23,Buy,Alphabet A (ex Google) Outperform,RBC Capital Markets
11.04.23,Buy,Alphabet A (ex Google) Outperform,Bernstein Research
06.04.23,Buy,Alphabet A (ex Google) Buy,UBS AG
06.04.23,Buy,Alphabet A (ex Google) Buy,Goldman Sachs Group Inc.
09.02.23,Buy,Alphabet A (ex Google) Overweight,JP Morgan Chase & Co.
06.02.23,Buy,Alphabet A (ex Google) Buy,UBS AG
06.02.23,Buy,Alphabet A (ex Google) Outperform,Bernstein Research
06.02.23,Buy,Alphabet A (ex Google) Buy,UBS AG
03.02.23,Buy,Alphabet A (ex Google) Outperform,RBC Capital Markets
03.02.23,Buy,Alphabet A (ex Google) Overweight,JP Morgan Chase & Co.
03.02.23,Buy,Alphabet A (ex Google) Outperform,Credit Suisse Group
03.02.23,Buy,Alphabet A (ex Google) Buy,Goldman Sachs Group Inc.
03.02.23,Buy,Alphabet A (ex Google) Buy,Jefferies & Company Inc.
25.01.23,Buy,Alphabet A (ex Google) Outperform,Credit Suisse Group
12.01.23,Buy,Alphabet A (ex Google) Outperform,Bernstein Research
09.01.23,Buy,Alphabet A (ex Google) Buy,Jefferies & Company Inc.
18.11.22,Buy,Alphabet A (ex Google) Buy,Goldman Sachs Group Inc.
26.10.22,Buy,Alphabet A (ex Google) Outperform,Credit Suisse Group
26.10.22,Buy,Alphabet A (ex Google) Overweight,JP Morgan Chase & Co.
26.10.22,Buy,Alphabet A (ex Google) Buy,Jefferies & Company Inc.
08.09.22,Buy,Alphabet A (ex Google) Overweight,Barclays Capital
27.07.22,Buy,Alphabet A (ex Google) Overweight,JP Morgan Chase & Co.
27.07.22,Buy,Alphabet A (ex Google) Outperform,RBC Capital Markets
27.07.22,Buy,Alphabet A (ex Google) Buy,Jefferies & Company Inc.
27.07.22,Buy,Alphabet A (ex Google) Buy,UBS AG
27.07.22,Buy,Alphabet A (ex Google) Buy,Goldman Sachs Group Inc.
21.07.22,Buy,Alphabet A (ex Google) Overweight,JP Morgan Chase & Co.
