Date,Buy/Sell/Hold,Name,Bank Name
19.07.23,Buy,Amazon Outperform,Bernstein Research
18.07.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
17.07.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
21.06.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
21.06.23,Buy,Amazon Buy,Jefferies & Company Inc.
16.06.23,Buy,Amazon Outperform,Credit Suisse Group
08.06.23,Buy,Amazon Buy,UBS AG
02.06.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
18.05.23,Buy,Amazon Buy,Jefferies & Company Inc.
28.04.23,Buy,Amazon Outperform,Credit Suisse Group
28.04.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
28.04.23,Buy,Amazon Buy,UBS AG
28.04.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
25.04.23,Buy,Amazon Outperform,Credit Suisse Group
25.04.23,Buy,Amazon Buy,UBS AG
24.04.23,Buy,Amazon Outperform,RBC Capital Markets
21.04.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
11.04.23,Buy,Amazon Outperform,Bernstein Research
06.04.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
04.04.23,Buy,Amazon Buy,Jefferies & Company Inc.
22.03.23,Buy,Amazon Buy,UBS AG
07.02.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
06.02.23,Buy,Amazon Outperform,Bernstein Research
06.02.23,Buy,Amazon Buy,UBS AG
03.02.23,Buy,Amazon Outperform,Credit Suisse Group
03.02.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
03.02.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
03.02.23,Buy,Amazon Outperform,RBC Capital Markets
03.02.23,Buy,Amazon Buy,Jefferies & Company Inc.
02.02.23,Buy,Amazon Buy,Jefferies & Company Inc.
30.01.23,Buy,Amazon Outperform,Credit Suisse Group
25.01.23,Buy,Amazon Buy,UBS AG
12.01.23,Buy,Amazon Buy,UBS AG
12.01.23,Buy,Amazon Outperform,Bernstein Research
09.01.23,Buy,Amazon Buy,Jefferies & Company Inc.
04.01.23,Buy,Amazon Buy,UBS AG
16.12.22,Buy,Amazon Overweight,JP Morgan Chase & Co.
16.12.22,Buy,Amazon Buy,UBS AG
05.12.22,Buy,Amazon Buy,Jefferies & Company Inc.
30.11.22,Buy,Amazon Overweight,JP Morgan Chase & Co.
18.11.22,Buy,Amazon Buy,Goldman Sachs Group Inc.
28.10.22,Buy,Amazon Outperform,Credit Suisse Group
28.10.22,Buy,Amazon Outperform,RBC Capital Markets
28.10.22,Buy,Amazon Buy,Jefferies & Company Inc.
26.10.22,Buy,Amazon Overweight,JP Morgan Chase & Co.
20.10.22,Buy,Amazon Buy,UBS AG
19.10.22,Buy,Amazon Outperform,Bernstein Research
04.10.22,Buy,Amazon Buy,Jefferies & Company Inc.
29.07.22,Buy,Amazon Outperform,Credit Suisse Group
29.07.22,Buy,Amazon Buy,Deutsche Bank AG
19.07.23,Buy,Amazon Outperform,Bernstein Research
18.07.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
17.07.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
21.06.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
21.06.23,Buy,Amazon Buy,Jefferies & Company Inc.
16.06.23,Buy,Amazon Outperform,Credit Suisse Group
08.06.23,Buy,Amazon Buy,UBS AG
02.06.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
18.05.23,Buy,Amazon Buy,Jefferies & Company Inc.
28.04.23,Buy,Amazon Outperform,Credit Suisse Group
28.04.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
28.04.23,Buy,Amazon Buy,UBS AG
28.04.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
25.04.23,Buy,Amazon Outperform,Credit Suisse Group
25.04.23,Buy,Amazon Buy,UBS AG
24.04.23,Buy,Amazon Outperform,RBC Capital Markets
21.04.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
11.04.23,Buy,Amazon Outperform,Bernstein Research
06.04.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
04.04.23,Buy,Amazon Buy,Jefferies & Company Inc.
22.03.23,Buy,Amazon Buy,UBS AG
07.02.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
06.02.23,Buy,Amazon Outperform,Bernstein Research
06.02.23,Buy,Amazon Buy,UBS AG
03.02.23,Buy,Amazon Outperform,Credit Suisse Group
03.02.23,Buy,Amazon Buy,Goldman Sachs Group Inc.
03.02.23,Buy,Amazon Overweight,JP Morgan Chase & Co.
03.02.23,Buy,Amazon Outperform,RBC Capital Markets
03.02.23,Buy,Amazon Buy,Jefferies & Company Inc.
