Date,Buy/Sell/Hold,Name,Bank Name
24.07.18,Hold,American Electric Power Sector Perform,Scotia Howard Weil
18.01.18,Buy,American Electric Power Buy,Deutsche Bank AG
13.10.16,Hold,American Electric Power Sector Perform,RBC Capital Markets
22.02.16,Buy,American Electric Power Buy,Argus Research Company
15.12.15,Buy,American Electric Power overweight,Barclays Capital
02.10.15,Buy,American Electric Power overweight,Barclays Capital
03.09.15,Buy,American Electric Power overweight,Barclays Capital
18.08.15,Buy,American Electric Power Buy,Mizuho
06.05.15,Buy,American Electric Power Buy,Argus Research Company
28.04.15,Hold,American Electric Power Sector Perform,RBC Capital Markets
24.04.15,Buy,American Electric Power Buy,Deutsche Bank AG
03.12.14,Buy,American Electric Power Buy,Argus Research Company
29.10.12,Hold,American Electric Power sector perform,RBC Capital Markets
08.08.12,Hold,American Electric Power sector perform,RBC Capital Markets
20.07.12,Hold,American Electric Power sector perform,RBC Capital Markets
19.07.12,Hold,American Electric Power neutral,UBS AG
24.04.12,Hold,American Electric Power sector perform,RBC Capital Markets
24.04.12,Buy,American Electric Power overweight,Barclays Capital
03.04.12,Hold,American Electric Power sector perform,RBC Capital Markets
23.03.12,Hold,American Electric Power sector perform,RBC Capital Markets
27.02.12,Buy,American Electric Power overweight,Barclays Capital
14.02.12,Buy,American Electric Power overweight,Barclays Capital
13.02.12,Sell,American Electric Power underperform,RBC Capital Markets
07.07.11,Buy,American Electric Power overweight,Barclays Capital
27.05.11,Buy,American Electric Power overweight,Barclays Capital
16.05.11,Hold,American Electric Power hold,Citigroup Corp.
21.10.10,Buy,American Electric Power buy,"J.J.B. Hilliard, W.L. Lyons, Inc."
02.08.10,Hold,American Electric Power perform,Oppenheimer & Co. Inc.
13.07.10,Hold,American Electric Power halten,UBS AG
15.12.09,Hold,American Electric Power hold,Jefferies & Company Inc.
03.08.09,Buy,American Electric Power buy,Jefferies & Company Inc.
16.07.09,Buy,American Electric Power buy,Jefferies & Company Inc.
06.04.09,Buy,American Electric Power outperform,Credit Suisse Group
22.05.08,Hold,American Electric Power hold,Jefferies & Company Inc.
20.03.07,Buy,American Electric Power buy,Deutsche Securities
07.02.07,Hold,American Electric Power Neutral,Goldman Sachs
06.02.07,Buy,American Electric Power buy,Deutsche Securities
26.10.06,Hold,American Electric Power Neutral,Calyon Securities
11.10.06,Buy,American Electric Power Add,Calyon Securities
06.10.06,Hold,American Electric Power Neutral,Goldman Sachs
25.05.06,Hold,American Electric Power Neutral,Prudential Securities
28.02.06,Buy,American Electric Power buy,Jefferies & Co
02.02.06,Hold,American Electric Power Neutral,Calyon Securities
19.08.05,Hold,American Electric Power Hold,Jefferies & Co
27.05.05,Hold,American Electric Power Underweight,Prudential Securities
27.05.05,Buy,American Electric Power Buy,FTN Midwest
26.05.05,Sell,American Electric Power Underperform,Goldman Sachs
21.01.05,Sell,American Electric Power Underweight,Morgan Stanley
