Date,Buy/Sell/Hold,Name,Bank Name
28.04.21,Buy,Amgen buy,Goldman Sachs Group Inc.
28.04.21,Hold,Amgen Neutral,JP Morgan Chase & Co.
04.03.21,Buy,Amgen buy,Goldman Sachs Group Inc.
04.03.21,Hold,Amgen Neutral,JP Morgan Chase & Co.
23.12.20,Hold,Amgen Sector Perform,RBC Capital Markets
28.07.20,Hold,Amgen Neutral,JP Morgan Chase & Co.
24.01.20,Hold,Amgen Neutral,JP Morgan Chase & Co.
21.05.19,Hold,Amgen Sector Perform,RBC Capital Markets
15.03.19,Buy,Amgen Outperform,BMO Capital Markets
01.02.19,Hold,Amgen Sector Perform,RBC Capital Markets
30.01.19,Hold,Amgen Neutral,JP Morgan Chase & Co.
17.01.19,Hold,Amgen Sector Perform,RBC Capital Markets
17.01.19,Buy,Amgen buy,Goldman Sachs Group Inc.
14.01.19,Hold,Amgen Sector Perform,RBC Capital Markets
07.12.18,Buy,Amgen buy,Goldman Sachs Group Inc.
04.12.18,Buy,Amgen buy,Goldman Sachs Group Inc.
04.12.18,Buy,Amgen overweight,Morgan Stanley
04.12.18,Hold,Amgen Sector Perform,RBC Capital Markets
04.12.18,Hold,Amgen Neutral,JP Morgan Chase & Co.
04.12.18,Hold,Amgen Neutral,Cantor Fitzgerald
04.12.18,Hold,Amgen Equal weight,Barclays Capital
04.12.18,Buy,Amgen buy,Jefferies & Company Inc.
01.11.18,Hold,Amgen Sector Perform,RBC Capital Markets
31.10.18,Buy,Amgen overweight,Morgan Stanley
31.10.18,Hold,Amgen Sector Perform,RBC Capital Markets
31.10.18,Buy,Amgen buy,Goldman Sachs Group Inc.
25.10.18,Hold,Amgen Neutral,JP Morgan Chase & Co.
12.10.18,Buy,Amgen buy,Goldman Sachs Group Inc.
09.10.18,Hold,Amgen Neutral,JP Morgan Chase & Co.
05.10.18,Buy,Amgen buy,Jefferies & Company Inc.
04.10.18,Hold,Amgen Neutral,Cantor Fitzgerald
02.10.18,Buy,Amgen Outperform,Oppenheimer & Co. Inc.
01.10.18,Buy,Amgen buy,Jefferies & Company Inc.
01.10.18,Hold,Amgen Neutral,Cantor Fitzgerald
