Date,Buy/Sell/Hold,Name,Bank Name
31.05.18,Buy,Analog Devices Buy,"B. Riley FBR, Inc."
31.05.18,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
01.03.18,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
28.02.18,Buy,Analog Devices Buy,"B. Riley FBR, Inc."
29.12.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
22.11.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
21.11.17,Buy,Analog Devices Buy,"B. Riley FBR, Inc."
16.11.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
31.08.17,Buy,Analog Devices Outperform,RBC Capital Markets
01.06.17,Buy,Analog Devices Outperform,RBC Capital Markets
31.05.17,Buy,Analog Devices Buy,Drexel Hamilton
24.04.17,Buy,Analog Devices Overweight,Stephens Inc.
13.03.17,Hold,Analog Devices Equal weight,Barclays Capital
13.03.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
07.03.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
16.02.17,Buy,Analog Devices Buy,Drexel Hamilton
30.01.17,Buy,Analog Devices Outperform,RBC Capital Markets
08.09.16,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
01.07.16,Buy,Analog Devices Outperform,RBC Capital Markets
15.01.16,Hold,Analog Devices Neutral,UBS AG
15.01.16,Hold,Analog Devices Neutral,MKM Partners
15.01.16,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
15.12.15,Hold,Analog Devices Perform,Oppenheimer & Co. Inc.
04.12.15,Hold,Analog Devices Equal weight,Barclays Capital
25.11.15,Hold,Analog Devices Neutral,MKM Partners
23.11.15,Buy,Analog Devices Outperform,RBC Capital Markets
16.10.15,Buy,Analog Devices Outperform,BMO Capital Markets
19.08.15,Hold,Analog Devices Neutral,MKM Partners
19.08.15,Hold,Analog Devices Neutral,UBS AG
19.08.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
06.08.15,Hold,Analog Devices Hold,Deutsche Bank AG
03.08.15,Buy,Analog Devices Outperform,RBC Capital Markets
23.07.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
20.05.15,Buy,Analog Devices Buy,Argus Research Company
20.05.15,Hold,Analog Devices Neutral,MKM Partners
20.05.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
30.03.15,Buy,Analog Devices overweight,Barclays Capital
18.02.15,Hold,Analog Devices Hold,Deutsche Bank AG
18.02.15,Hold,Analog Devices Neutral,MKM Partners
18.02.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
18.02.15,Hold,Analog Devices Sector Perform,RBC Capital Markets
05.01.15,Hold,Analog Devices Sector Perform,RBC Capital Markets
26.11.14,Hold,Analog Devices Sector Perform,RBC Capital Markets
14.10.14,Buy,Analog Devices Outperform,Oppenheimer & Co. Inc.
30.11.12,Buy,Analog Devices outperform,Pacific Crest Securities Inc.
29.11.12,Hold,Analog Devices hold,Deutsche Bank Securities
29.11.12,Buy,Analog Devices outperform,Robert W. Baird & Co. Incorporated
12.10.12,Hold,Analog Devices equal-weight,Morgan Stanley
19.09.12,Hold,Analog Devices sector perform,RBC Capital Markets
23.08.12,Buy,Analog Devices outperform,RBC Capital Markets
31.05.18,Buy,Analog Devices Buy,"B. Riley FBR, Inc."
31.05.18,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
01.03.18,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
28.02.18,Buy,Analog Devices Buy,"B. Riley FBR, Inc."
29.12.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
22.11.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
21.11.17,Buy,Analog Devices Buy,"B. Riley FBR, Inc."
16.11.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
31.08.17,Buy,Analog Devices Outperform,RBC Capital Markets
01.06.17,Buy,Analog Devices Outperform,RBC Capital Markets
31.05.17,Buy,Analog Devices Buy,Drexel Hamilton
24.04.17,Buy,Analog Devices Overweight,Stephens Inc.
13.03.17,Hold,Analog Devices Equal weight,Barclays Capital
13.03.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
07.03.17,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
16.02.17,Buy,Analog Devices Buy,Drexel Hamilton
30.01.17,Buy,Analog Devices Outperform,RBC Capital Markets
08.09.16,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
01.07.16,Buy,Analog Devices Outperform,RBC Capital Markets
15.01.16,Hold,Analog Devices Neutral,UBS AG
15.01.16,Hold,Analog Devices Neutral,MKM Partners
15.01.16,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
15.12.15,Hold,Analog Devices Perform,Oppenheimer & Co. Inc.
04.12.15,Hold,Analog Devices Equal weight,Barclays Capital
25.11.15,Hold,Analog Devices Neutral,MKM Partners
23.11.15,Buy,Analog Devices Outperform,RBC Capital Markets
16.10.15,Buy,Analog Devices Outperform,BMO Capital Markets
19.08.15,Hold,Analog Devices Neutral,MKM Partners
19.08.15,Hold,Analog Devices Neutral,UBS AG
19.08.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
06.08.15,Hold,Analog Devices Hold,Deutsche Bank AG
03.08.15,Buy,Analog Devices Outperform,RBC Capital Markets
23.07.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
20.05.15,Buy,Analog Devices Buy,Argus Research Company
20.05.15,Hold,Analog Devices Neutral,MKM Partners
20.05.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
30.03.15,Buy,Analog Devices overweight,Barclays Capital
18.02.15,Hold,Analog Devices Hold,Deutsche Bank AG
18.02.15,Hold,Analog Devices Neutral,MKM Partners
18.02.15,Buy,Analog Devices Buy,"Stifel, Nicolaus & Co., Inc."
18.02.15,Hold,Analog Devices Sector Perform,RBC Capital Markets
