Date,Buy/Sell/Hold,Name,Bank Name
18.07.23,Buy,Apple Buy,Jefferies & Company Inc.
05.07.23,Hold,Apple Neutral,UBS AG
30.06.23,Hold,Apple Neutral,UBS AG
26.06.23,Hold,Apple Neutral,UBS AG
20.06.23,Hold,Apple Neutral,UBS AG
13.06.23,Hold,Apple Neutral,UBS AG
08.06.23,Buy,Apple Buy,Jefferies & Company Inc.
06.06.23,Buy,Apple Overweight,JP Morgan Chase & Co.
06.06.23,Buy,Apple Outperform,Credit Suisse Group
06.06.23,Buy,Apple Buy,Jefferies & Company Inc.
06.06.23,Buy,Apple Conviction Buy List,Goldman Sachs Group Inc.
02.06.23,Buy,Apple Overweight,JP Morgan Chase & Co.
02.06.23,Buy,Apple Buy,Jefferies & Company Inc.
05.05.23,Buy,Apple Buy,UBS AG
05.05.23,Buy,Apple Outperform,Credit Suisse Group
05.05.23,Buy,Apple Buy,Jefferies & Company Inc.
05.05.23,Buy,Apple Buy,Goldman Sachs Group Inc.
05.05.23,Buy,Apple Overweight,JP Morgan Chase & Co.
04.05.23,Buy,Apple Buy,UBS AG
03.05.23,Buy,Apple Overweight,JP Morgan Chase & Co.
24.04.23,Buy,Apple Buy,Goldman Sachs Group Inc.
19.04.23,Buy,Apple Overweight,JP Morgan Chase & Co.
13.04.23,Buy,Apple Outperform,Credit Suisse Group
03.04.23,Buy,Apple Buy,UBS AG
07.03.23,Buy,Apple Buy,UBS AG
01.03.23,Buy,Apple Overweight,JP Morgan Chase & Co.
20.02.23,Buy,Apple Buy,UBS AG
06.02.23,Buy,Apple Buy,UBS AG
03.02.23,Buy,Apple Outperform,Credit Suisse Group
03.02.23,Buy,Apple Buy,Deutsche Bank AG
03.02.23,Buy,Apple Overweight,JP Morgan Chase & Co.
30.01.23,Buy,Apple Outperform,Credit Suisse Group
24.01.23,Hold,Apple Market-Perform,Bernstein Research
23.01.23,Buy,Apple Buy,UBS AG
19.01.23,Buy,Apple Overweight,JP Morgan Chase & Co.
12.01.23,Buy,Apple Buy,UBS AG
03.01.23,Buy,Apple Overweight,JP Morgan Chase & Co.
29.12.22,Buy,Apple Outperform,Credit Suisse Group
27.12.22,Buy,Apple Overweight,JP Morgan Chase & Co.
19.12.22,Buy,Apple Overweight,JP Morgan Chase & Co.
09.12.22,Buy,Apple Outperform,Credit Suisse Group
01.12.22,Buy,Apple Buy,UBS AG
23.11.22,Buy,Apple Outperform,Credit Suisse Group
23.11.22,Buy,Apple Buy,UBS AG
21.11.22,Buy,Apple Overweight,JP Morgan Chase & Co.
16.11.22,Buy,Apple Outperform,Credit Suisse Group
16.11.22,Buy,Apple Buy,UBS AG
14.11.22,Buy,Apple Overweight,JP Morgan Chase & Co.
08.11.22,Buy,Apple Buy,UBS AG
07.11.22,Hold,Apple Equal Weight,Barclays Capital
18.07.23,Buy,Apple Buy,Jefferies & Company Inc.
05.07.23,Hold,Apple Neutral,UBS AG
30.06.23,Hold,Apple Neutral,UBS AG
26.06.23,Hold,Apple Neutral,UBS AG
20.06.23,Hold,Apple Neutral,UBS AG
13.06.23,Hold,Apple Neutral,UBS AG
08.06.23,Buy,Apple Buy,Jefferies & Company Inc.
06.06.23,Buy,Apple Overweight,JP Morgan Chase & Co.
06.06.23,Buy,Apple Outperform,Credit Suisse Group
06.06.23,Buy,Apple Buy,Jefferies & Company Inc.
06.06.23,Buy,Apple Conviction Buy List,Goldman Sachs Group Inc.
02.06.23,Buy,Apple Overweight,JP Morgan Chase & Co.
02.06.23,Buy,Apple Buy,Jefferies & Company Inc.
05.05.23,Buy,Apple Buy,UBS AG
05.05.23,Buy,Apple Outperform,Credit Suisse Group
05.05.23,Buy,Apple Buy,Jefferies & Company Inc.
05.05.23,Buy,Apple Buy,Goldman Sachs Group Inc.
05.05.23,Buy,Apple Overweight,JP Morgan Chase & Co.
04.05.23,Buy,Apple Buy,UBS AG
03.05.23,Buy,Apple Overweight,JP Morgan Chase & Co.
24.04.23,Buy,Apple Buy,Goldman Sachs Group Inc.
19.04.23,Buy,Apple Overweight,JP Morgan Chase & Co.
13.04.23,Buy,Apple Outperform,Credit Suisse Group
03.04.23,Buy,Apple Buy,UBS AG
07.03.23,Buy,Apple Buy,UBS AG
