Date,Buy/Sell/Hold,Name,Bank Name
19.05.23,Buy,Applied Materials Buy,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
19.11.21,Buy,Applied Materials Kaufen,DZ BANK
16.08.19,Hold,Applied Materials Hold,Craig Hallum
16.08.19,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
17.05.19,Buy,Applied Materials Buy,B. Riley FBR
17.05.19,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
21.12.18,Buy,Applied Materials Buy,"Needham & Company, LLC"
20.11.18,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
20.11.18,Buy,Applied Materials Outperform,Imperial Capital
16.11.18,Hold,Applied Materials Neutral,B. Riley FBR
29.10.18,Hold,Applied Materials Neutral,B. Riley FBR
01.10.18,Hold,Applied Materials Hold,Deutsche Bank AG
06.08.18,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
21.05.18,Buy,Applied Materials Strong Buy,"Needham & Company, LLC"
18.05.18,Buy,Applied Materials Buy,"B. Riley FBR, Inc."
18.05.18,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
15.02.18,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
08.01.18,Buy,Applied Materials Strong Buy,"Needham & Company, LLC"
17.11.17,Buy,Applied Materials Outperform,RBC Capital Markets
18.09.17,Buy,Applied Materials Outperform,RBC Capital Markets
18.08.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
19.05.17,Buy,Applied Materials Buy,"Needham & Company, LLC"
19.05.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
19.05.17,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
15.05.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
15.05.17,Buy,Applied Materials Buy,"Needham & Company, LLC"
16.02.17,Hold,Applied Materials Sector Perform,RBC Capital Markets
13.02.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
13.02.17,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
12.07.16,Buy,Applied Materials Buy,"Needham & Company, LLC"
27.06.16,Buy,Applied Materials Buy,D.A. Davidson & Co.
10.06.16,Hold,Applied Materials Sector Perform,RBC Capital Markets
20.05.16,Hold,Applied Materials Sector Perform,RBC Capital Markets
20.05.16,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
18.04.16,Buy,Applied Materials Buy,Deutsche Bank AG
18.04.16,Hold,Applied Materials Sector Perform,RBC Capital Markets
14.04.16,Buy,Applied Materials Buy,UBS AG
06.04.16,Hold,Applied Materials Neutral,D.A. Davidson & Co.
01.04.16,Buy,Applied Materials Outperform,BNP PARIBAS
30.03.16,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
17.03.16,Hold,Applied Materials Sector Perform,RBC Capital Markets
11.11.15,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
05.10.15,Sell,Applied Materials Underperform,RBC Capital Markets
17.08.15,Buy,Applied Materials Buy,Argus Research Company
14.08.15,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
14.08.15,Hold,Applied Materials Sector Perform,RBC Capital Markets
03.08.15,Buy,Applied Materials Buy,Deutsche Bank AG
15.05.15,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
15.05.15,Hold,Applied Materials Sector Perform,RBC Capital Markets
28.04.15,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
19.05.23,Buy,Applied Materials Buy,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
19.11.21,Buy,Applied Materials Kaufen,DZ BANK
16.08.19,Hold,Applied Materials Hold,Craig Hallum
16.08.19,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
17.05.19,Buy,Applied Materials Buy,B. Riley FBR
17.05.19,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
21.12.18,Buy,Applied Materials Buy,"Needham & Company, LLC"
20.11.18,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
20.11.18,Buy,Applied Materials Outperform,Imperial Capital
16.11.18,Hold,Applied Materials Neutral,B. Riley FBR
29.10.18,Hold,Applied Materials Neutral,B. Riley FBR
01.10.18,Hold,Applied Materials Hold,Deutsche Bank AG
06.08.18,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
21.05.18,Buy,Applied Materials Strong Buy,"Needham & Company, LLC"
18.05.18,Buy,Applied Materials Buy,"B. Riley FBR, Inc."
18.05.18,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
15.02.18,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
08.01.18,Buy,Applied Materials Strong Buy,"Needham & Company, LLC"
17.11.17,Buy,Applied Materials Outperform,RBC Capital Markets
18.09.17,Buy,Applied Materials Outperform,RBC Capital Markets
18.08.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
19.05.17,Buy,Applied Materials Buy,"Needham & Company, LLC"
19.05.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
19.05.17,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
15.05.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
15.05.17,Buy,Applied Materials Buy,"Needham & Company, LLC"
16.02.17,Hold,Applied Materials Sector Perform,RBC Capital Markets
13.02.17,Buy,Applied Materials Buy,"Stifel, Nicolaus & Co., Inc."
13.02.17,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
12.07.16,Buy,Applied Materials Buy,"Needham & Company, LLC"
27.06.16,Buy,Applied Materials Buy,D.A. Davidson & Co.
10.06.16,Hold,Applied Materials Sector Perform,RBC Capital Markets
20.05.16,Hold,Applied Materials Sector Perform,RBC Capital Markets
20.05.16,Buy,Applied Materials Outperform,"Cowen and Company, LLC"
18.04.16,Buy,Applied Materials Buy,Deutsche Bank AG
18.04.16,Hold,Applied Materials Sector Perform,RBC Capital Markets
14.04.16,Buy,Applied Materials Buy,UBS AG
06.04.16,Hold,Applied Materials Neutral,D.A. Davidson & Co.
