Date,Buy/Sell/Hold,Name,Bank Name
15.08.19,Hold,Autodesk Hold,Deutsche Bank AG
19.12.18,Buy,Autodesk Buy,"Stifel, Nicolaus & Co., Inc."
24.08.18,Buy,Autodesk Outperform,Oppenheimer & Co. Inc.
07.03.18,Buy,Autodesk Buy,Canaccord Adams
07.03.18,Buy,Autodesk Outperform,Oppenheimer & Co. Inc.
22.12.17,Buy,Autodesk Outperform,Oppenheimer & Co. Inc.
22.11.17,Buy,Autodesk Outperform,RBC Capital Markets
21.11.17,Buy,Autodesk overweight,Barclays Capital
25.08.17,Buy,Autodesk Outperform,Wedbush Morgan Securities Inc.
25.08.17,Buy,Autodesk Buy,Canaccord Adams
18.08.17,Buy,Autodesk overweight,Barclays Capital
19.05.17,Buy,Autodesk overweight,Barclays Capital
17.05.17,Hold,Autodesk Sector Perform,RBC Capital Markets
09.05.17,Buy,Autodesk Outperform,Wedbush Morgan Securities Inc.
03.03.17,Hold,Autodesk Neutral,UBS AG
03.03.17,Buy,Autodesk Buy,Griffin Securities
03.03.17,Hold,Autodesk Sector Perform,RBC Capital Markets
03.03.17,Hold,Autodesk Neutral,Wedbush Morgan Securities Inc.
28.02.17,Buy,Autodesk Outperform,Robert W. Baird & Co. Incorporated
09.12.16,Hold,Autodesk Hold,Canaccord Adams
08.12.16,Hold,Autodesk Neutral,Rosenblatt
07.12.16,Buy,Autodesk overweight,Barclays Capital
07.12.16,Buy,Autodesk Outperform,RBC Capital Markets
30.11.16,Hold,Autodesk Sector Perform,RBC Capital Markets
30.11.16,Hold,Autodesk Neutral,Wedbush Morgan Securities Inc.
09.09.16,Hold,Autodesk Neutral,Wedbush Morgan Securities Inc.
20.05.16,Hold,Autodesk Hold,Canaccord Adams
20.05.16,Hold,Autodesk Neutral,Wedbush Morgan Securities Inc.
12.05.16,Hold,Autodesk Neutral,Wedbush Morgan Securities Inc.
22.02.16,Buy,Autodesk overweight,Barclays Capital
04.12.15,Hold,Autodesk Sector Perform,RBC Capital Markets
20.11.15,Buy,Autodesk overweight,Barclays Capital
20.11.15,Hold,Autodesk Sector Perform,RBC Capital Markets
10.11.15,Hold,Autodesk Neutral,Rosenblatt
09.11.15,Hold,Autodesk Neutral,UBS AG
07.10.15,Buy,Autodesk Buy,Rosenblatt
30.09.15,Buy,Autodesk Buy,UBS AG
30.09.15,Buy,Autodesk Buy,Canaccord Adams
28.08.15,Buy,Autodesk overweight,Barclays Capital
28.08.15,Buy,Autodesk Buy,UBS AG
28.08.15,Buy,Autodesk Outperform,RBC Capital Markets
20.05.15,Buy,Autodesk overweight,Barclays Capital
20.05.15,Buy,Autodesk Buy,Canaccord Adams
27.02.15,Buy,Autodesk Buy,Canaccord Adams
27.02.15,Buy,Autodesk Outperform,RBC Capital Markets
21.11.14,Buy,Autodesk Buy,Canaccord Adams
08.01.13,Buy,Autodesk kaufen,UBS AG
16.11.12,Buy,Autodesk buy,UBS AG
