Date,Buy/Sell/Hold,Name,Bank Name
06.11.17,Hold,Automatic Data Processing Sector Perform,RBC Capital Markets
01.08.17,Hold,Automatic Data Processing Sector Perform,RBC Capital Markets
18.07.17,Hold,Automatic Data Processing Equal weight,Barclays Capital
30.01.17,Buy,Automatic Data Processing Hold,"Stifel, Nicolaus & Co., Inc."
20.12.16,Buy,Automatic Data Processing overweight,Barclays Capital
09.09.16,Hold,Automatic Data Processing Neutral,Wedbush Morgan Securities Inc.
02.05.16,Hold,Automatic Data Processing Sector Perform,RBC Capital Markets
03.11.15,Buy,Automatic Data Processing Buy,Argus Research Company
30.10.15,Buy,Automatic Data Processing Market Perform,BMO Capital Markets
29.10.15,Sell,Automatic Data Processing Sell,Topeka Capital Markets
03.08.15,Hold,Automatic Data Processing Sector Perform,RBC Capital Markets
06.02.15,Buy,Automatic Data Processing Market Perform,BMO Capital Markets
05.02.15,Buy,Automatic Data Processing Buy,Argus Research Company
05.02.15,Hold,Automatic Data Processing Hold,Deutsche Bank AG
05.12.14,Buy,Automatic Data Processing Hold,"Stifel, Nicolaus & Co., Inc."
21.11.14,Sell,Automatic Data Processing Sell,Topeka Capital Markets
25.09.12,Hold,Automatic Data Processing neutral,UBS AG
28.05.12,Buy,Automatic Data Processing overweight,Barclays Capital
01.03.12,Buy,Automatic Data Processing buy,UBS AG
09.02.12,Buy,Automatic Data Processing overweight,Barclays Capital
20.10.11,Buy,Automatic Data Processing overweight,Barclays Capital
10.10.11,Buy,Automatic Data Processing overweight,Barclays Capital
10.10.11,Buy,Automatic Data Processing overweight,Barclays Capital
10.10.11,Hold,Automatic Data Processing hold,Deutsche Bank Securities
06.10.11,Buy,Automatic Data Processing outperform,Robert W. Baird & Co. Incorporated
04.05.11,Buy,Automatic Data Processing overweight,Barclays Capital
04.05.11,Hold,Automatic Data Processing neutral,Credit Suisse Group
07.02.11,Buy,Automatic Data Processing buy,"Stifel, Nicolaus & Co., Inc."
19.06.09,Hold,Automatic Data Processing neutral,JP Morgan Chase & Co.
17.05.06,Buy,Automatic Data Processing Outperform,Bear Stearns
07.02.06,Buy,Automatic Data Processing Strong Buy,Stifel Nicolaus & Co.
23.12.05,Buy,Automatic Data Processing,Der Aktionärsbrief
29.06.05,Buy,Automatic Data Processing buy,Moors & Cabot
29.06.05,Buy,Automatic Data Processing Buy,Moors & Cabot
02.06.05,Buy,Automatic Data Processing Overweight,Lehman Brothers
11.04.05,Hold,Automatic Data Processing Hold,Moors & Cabot
04.03.05,Buy,Automatic Data Processing Buy,Moors & Cabot
