Date,Buy/Sell/Hold,Name,Bank Name
04.02.19,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
10.10.18,Buy,Baker Hughes Outperform,Wolfe Research
20.08.18,Buy,Baker Hughes Buy,B. Riley FBR
06.07.18,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
08.03.18,Buy,Baker Hughes Buy,UBS AG
26.01.18,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
25.10.17,Buy,Baker Hughes Outperform,RBC Capital Markets
19.10.17,Hold,Baker Hughes Neutral,UBS AG
10.10.17,Hold,Baker Hughes Hold,Deutsche Bank AG
31.08.17,Buy,Baker Hughes overweight,Barclays Capital
17.07.17,Hold,Baker Hughes Mkt Perform,FBR & Co.
14.07.17,Hold,Baker Hughes No Rating at Time,BMO Capital Markets
21.06.17,Hold,Baker Hughes Neutral,Seaport Global Securities
28.04.17,Buy,Baker Hughes Market Perform,BMO Capital Markets
22.02.17,Buy,Baker Hughes Outperform,FBR & Co.
18.01.17,Hold,Baker Hughes Hold,SunTrust
27.10.16,Buy,Baker Hughes Sector Outperform,Scotia Howard Weil
26.10.16,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
10.10.16,Buy,Baker Hughes Outperform,RBC Capital Markets
02.05.16,Hold,Baker Hughes Hold,Deutsche Bank AG
28.04.16,Buy,Baker Hughes Buy,UBS AG
06.04.16,Hold,Baker Hughes Hold,Deutsche Bank AG
22.10.15,Buy,Baker Hughes Buy,Argus Research Company
06.10.15,Buy,Baker Hughes Accumulate,Seaport Global Securities
22.04.15,Buy,Baker Hughes Outperform,RBC Capital Markets
12.03.15,Hold,Baker Hughes Perform,Oppenheimer & Co. Inc.
04.03.15,Hold,Baker Hughes Sector Perform,Scotia Howard Weil
20.02.15,Buy,Baker Hughes Outperform,BMO Capital Markets
18.12.14,Buy,Baker Hughes Outperform,RBC Capital Markets
17.12.14,Buy,Baker Hughes Focus Stock,Howard Weil
16.12.14,Buy,Baker Hughes Outperform,FBR Capital
03.12.14,Hold,Baker Hughes Perform,Oppenheimer & Co. Inc.
18.11.14,Hold,Baker Hughes Hold,Argus Research Company
17.10.14,Hold,Baker Hughes Sector Perform,RBC Capital Markets
14.10.14,Buy,Baker Hughes Outperform,FBR Capital
17.09.14,Buy,Baker Hughes Sector Outperform,Howard Weil
08.01.13,Hold,Baker Hughes halten,RBC Capital Markets
16.11.12,Hold,Baker Hughes hold,Société Générale Group S.A. (SG)
23.10.12,Hold,Baker Hughes hold,Société Générale Group S.A. (SG)
22.10.12,Buy,Baker Hughes outperform,RBC Capital Markets
22.10.12,Buy,Baker Hughes buy,UBS AG
09.10.12,Buy,Baker Hughes outperform,RBC Capital Markets
24.07.12,Buy,Baker Hughes buy,UBS AG
20.07.12,Buy,Baker Hughes outperform,RBC Capital Markets
11.07.12,Buy,Baker Hughes outperform,RBC Capital Markets
06.06.12,Buy,Baker Hughes overweight,Barclays Capital
25.05.12,Hold,Baker Hughes hold,Société Générale Group S.A. (SG)
16.05.12,Buy,Baker Hughes outperform,RBC Capital Markets
30.04.12,Buy,Baker Hughes kaufen,Die Actien-Börse
26.04.12,Buy,Baker Hughes outperform,RBC Capital Markets
04.02.19,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
10.10.18,Buy,Baker Hughes Outperform,Wolfe Research
20.08.18,Buy,Baker Hughes Buy,B. Riley FBR
06.07.18,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
08.03.18,Buy,Baker Hughes Buy,UBS AG
26.01.18,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
25.10.17,Buy,Baker Hughes Outperform,RBC Capital Markets
19.10.17,Hold,Baker Hughes Neutral,UBS AG
10.10.17,Hold,Baker Hughes Hold,Deutsche Bank AG
31.08.17,Buy,Baker Hughes overweight,Barclays Capital
17.07.17,Hold,Baker Hughes Mkt Perform,FBR & Co.
14.07.17,Hold,Baker Hughes No Rating at Time,BMO Capital Markets
21.06.17,Hold,Baker Hughes Neutral,Seaport Global Securities
28.04.17,Buy,Baker Hughes Market Perform,BMO Capital Markets
22.02.17,Buy,Baker Hughes Outperform,FBR & Co.
18.01.17,Hold,Baker Hughes Hold,SunTrust
27.10.16,Buy,Baker Hughes Sector Outperform,Scotia Howard Weil
26.10.16,Buy,Baker Hughes Outperform,"Cowen and Company, LLC"
10.10.16,Buy,Baker Hughes Outperform,RBC Capital Markets
02.05.16,Hold,Baker Hughes Hold,Deutsche Bank AG
28.04.16,Buy,Baker Hughes Buy,UBS AG
06.04.16,Hold,Baker Hughes Hold,Deutsche Bank AG
22.10.15,Buy,Baker Hughes Buy,Argus Research Company
06.10.15,Buy,Baker Hughes Accumulate,Seaport Global Securities
22.04.15,Buy,Baker Hughes Outperform,RBC Capital Markets
12.03.15,Hold,Baker Hughes Perform,Oppenheimer & Co. Inc.
04.03.15,Hold,Baker Hughes Sector Perform,Scotia Howard Weil
20.02.15,Buy,Baker Hughes Outperform,BMO Capital Markets
18.12.14,Buy,Baker Hughes Outperform,RBC Capital Markets
17.12.14,Buy,Baker Hughes Focus Stock,Howard Weil
16.12.14,Buy,Baker Hughes Outperform,FBR Capital
03.12.14,Hold,Baker Hughes Perform,Oppenheimer & Co. Inc.
18.11.14,Hold,Baker Hughes Hold,Argus Research Company
17.10.14,Hold,Baker Hughes Sector Perform,RBC Capital Markets
14.10.14,Buy,Baker Hughes Outperform,FBR Capital
17.09.14,Buy,Baker Hughes Sector Outperform,Howard Weil
08.01.13,Hold,Baker Hughes halten,RBC Capital Markets
16.11.12,Hold,Baker Hughes hold,Société Générale Group S.A. (SG)
23.10.12,Hold,Baker Hughes hold,Société Générale Group S.A. (SG)
22.10.12,Buy,Baker Hughes outperform,RBC Capital Markets
22.10.12,Buy,Baker Hughes buy,UBS AG
09.10.12,Buy,Baker Hughes outperform,RBC Capital Markets
24.07.12,Buy,Baker Hughes buy,UBS AG
20.07.12,Buy,Baker Hughes outperform,RBC Capital Markets
11.07.12,Buy,Baker Hughes outperform,RBC Capital Markets
06.06.12,Buy,Baker Hughes overweight,Barclays Capital
25.05.12,Hold,Baker Hughes hold,Société Générale Group S.A. (SG)
16.05.12,Buy,Baker Hughes outperform,RBC Capital Markets
30.04.12,Buy,Baker Hughes kaufen,Die Actien-Börse
26.04.12,Buy,Baker Hughes outperform,RBC Capital Markets
26.04.12,Buy,Baker Hughes overweight,Barclays Capital
23.03.12,Buy,Baker Hughes buy,UBS AG
23.03.12,Buy,Baker Hughes buy,Société Générale Group S.A. (SG)
23.03.12,Buy,Baker Hughes overweight,Barclays Capital
06.03.12,Buy,Baker Hughes outperform,RBC Capital Markets
26.01.12,Buy,Baker Hughes overweight,Barclays Capital
