Date,Buy/Sell/Hold,Name,Bank Name
05.06.19,Buy,Biogen Buy,Standpoint Research
25.03.19,Buy,Biogen Buy,H.C. Wainwright & Co.
22.03.19,Buy,Biogen Market Perform,BMO Capital Markets
22.03.19,Hold,Biogen Hold,Canaccord Adams
22.02.19,Buy,Biogen Market Perform,BMO Capital Markets
21.12.18,Buy,Biogen Buy,BTIG Research
01.10.18,Buy,Biogen Overweight,Cantor Fitzgerald
07.08.18,Buy,Biogen Buy,"Stifel, Nicolaus & Co., Inc."
10.07.18,Hold,Biogen Neutral,Robert W. Baird & Co. Incorporated
06.07.18,Buy,Biogen kaufen,Nomura
31.05.18,Buy,Biogen Buy,Canaccord Adams
05.04.18,Hold,Biogen Equal weight,Barclays Capital
05.02.18,Buy,Biogen Buy,Mizuho
26.01.18,Buy,Biogen Buy,H.C. Wainwright & Co.
25.01.18,Buy,Biogen Conviction Buy List,Goldman Sachs Group Inc.
25.01.18,Buy,Biogen overweight,JP Morgan Chase & Co.
24.01.18,Hold,Biogen Hold,Canaccord Adams
17.01.18,Hold,Biogen Hold,Canaccord Adams
27.10.17,Buy,Biogen Outperform,BMO Capital Markets
27.10.17,Hold,Biogen Hold,Canaccord Adams
25.10.17,Hold,Biogen Sector Perform,RBC Capital Markets
17.10.17,Buy,Biogen Buy,Mizuho
17.10.17,Buy,Biogen Buy,"Stifel, Nicolaus & Co., Inc."
15.09.17,Hold,Biogen Sector Perform,RBC Capital Markets
23.06.17,Buy,Biogen Buy,Deutsche Bank AG
19.06.17,Hold,Biogen Neutral,UBS AG
02.03.17,Buy,Biogen Buy,Instinet
09.12.16,Buy,Biogen Hold,"Stifel, Nicolaus & Co., Inc."
08.11.16,Buy,Biogen Buy,Mizuho
07.01.16,Buy,Biogen Buy,Standpoint Research
22.10.15,Buy,Biogen Buy,H.C. Wainwright & Co.
11.08.15,Buy,Biogen Buy,H.C. Wainwright & Co.
27.07.15,Buy,Biogen Buy,Argus Research Company
27.07.15,Hold,Biogen Neutral,Robert W. Baird & Co. Incorporated
27.07.15,Buy,Biogen Outperform,RBC Capital Markets
24.07.15,Buy,Biogen Market Perform,BMO Capital Markets
27.04.15,Buy,Biogen Buy,Argus Research Company
27.04.15,Hold,Biogen Neutral,UBS AG
23.03.15,Buy,Biogen Hold,"Stifel, Nicolaus & Co., Inc."
02.02.15,Buy,Biogen Buy,Argus Research Company
30.01.15,Buy,Biogen Buy,Deutsche Bank AG
30.01.15,Buy,Biogen Outperform,RBC Capital Markets
22.10.14,Buy,Biogen Outperform,Robert W. Baird & Co. Incorporated
17.12.12,Buy,Biogen buy,Goldman Sachs Group Inc.
11.12.12,Buy,Biogen outperform,Credit Suisse Group
18.10.12,Buy,Biogen buy,Jefferies & Company Inc.
12.10.12,Hold,Biogen neutral,UBS AG
05.10.12,Hold,Biogen perform,Oppenheimer & Co. Inc.
