Date,Buy/Sell/Hold,Name,Bank Name
08.08.19,Buy,Booking Outperform,"Cowen and Company, LLC"
08.08.19,Buy,Booking Buy,Deutsche Bank AG
08.08.19,Buy,Booking overweight,Barclays Capital
21.05.19,Buy,Booking Buy,"Needham & Company, LLC"
19.03.19,Buy,Booking Market Perform,Telsey Advisory Group
05.02.19,Buy,Booking Buy,Deutsche Bank AG
29.11.18,Buy,Booking Outperform,Telsey Advisory Group
22.06.18,Hold,Booking Hold,The Benchmark Company
10.05.18,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
04.04.18,Buy,Booking Outperform,Wedbush Morgan Securities Inc.
15.03.18,Buy,Booking Buy,"Needham & Company, LLC"
07.11.17,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
07.11.17,Buy,Booking Outperform,RBC Capital Markets
07.11.17,Buy,Booking Buy,"Needham & Company, LLC"
09.08.17,Buy,Booking Outperform,RBC Capital Markets
03.04.17,Hold,Booking Neutral,MoffettNathanson
28.02.17,Buy,Booking overweight,Barclays Capital
28.02.17,Buy,Booking Buy,The Benchmark Company
18.01.17,Buy,Booking Buy,Miller Tabak
04.01.17,Buy,Booking Buy,"Needham & Company, LLC"
10.11.16,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
08.11.16,Buy,Booking Buy,The Benchmark Company
07.10.16,Buy,Booking Outperform,RBC Capital Markets
22.06.16,Buy,Booking overweight,Barclays Capital
05.05.16,Buy,Booking Buy,UBS AG
05.05.16,Buy,Booking Outperform,RBC Capital Markets
05.05.16,Buy,Booking Buy,The Benchmark Company
31.03.16,Hold,Booking Sector Weight,Pacific Crest Securities Inc.
10.11.15,Hold,Booking Equal weight,Barclays Capital
10.11.15,Buy,Booking Outperform,Oppenheimer & Co. Inc.
06.08.15,Hold,Booking Hold,Deutsche Bank AG
06.08.15,Buy,Booking Outperform,Oppenheimer & Co. Inc.
31.07.15,Hold,Booking Hold,Deutsche Bank AG
22.06.15,Hold,Booking Hold,Deutsche Bank AG
03.06.15,Hold,Booking Equal weight,Barclays Capital
06.04.15,Buy,Booking Buy,Argus Research Company
31.03.15,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
20.02.15,Buy,Booking Buy,Deutsche Bank AG
20.02.15,Buy,Booking Buy,UBS AG
20.02.15,Buy,Booking Outperform,Oppenheimer & Co. Inc.
09.02.15,Buy,Booking Outperform,RBC Capital Markets
14.01.15,Buy,Booking Outperform,Oppenheimer & Co. Inc.
08.01.15,Buy,Booking Hold,"Stifel, Nicolaus & Co., Inc."
02.12.14,Hold,Booking Mkt Perform,FBR Capital
05.11.14,Buy,Booking Buy,UBS AG
05.11.14,Buy,Booking Outperform,Oppenheimer & Co. Inc.
04.11.14,Buy,Booking Outperform,FBR Capital
11.12.12,Hold,Booking hold,Deutsche Bank Securities
15.11.12,Buy,Booking overweight,Piper Jaffray & Co.
05.11.12,Buy,Booking overweight,JP Morgan Chase & Co.
08.08.19,Buy,Booking Outperform,"Cowen and Company, LLC"
08.08.19,Buy,Booking Buy,Deutsche Bank AG
08.08.19,Buy,Booking overweight,Barclays Capital
21.05.19,Buy,Booking Buy,"Needham & Company, LLC"
19.03.19,Buy,Booking Market Perform,Telsey Advisory Group
05.02.19,Buy,Booking Buy,Deutsche Bank AG
29.11.18,Buy,Booking Outperform,Telsey Advisory Group
22.06.18,Hold,Booking Hold,The Benchmark Company
10.05.18,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
04.04.18,Buy,Booking Outperform,Wedbush Morgan Securities Inc.
15.03.18,Buy,Booking Buy,"Needham & Company, LLC"
07.11.17,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
07.11.17,Buy,Booking Outperform,RBC Capital Markets
07.11.17,Buy,Booking Buy,"Needham & Company, LLC"
09.08.17,Buy,Booking Outperform,RBC Capital Markets
03.04.17,Hold,Booking Neutral,MoffettNathanson
28.02.17,Buy,Booking overweight,Barclays Capital
28.02.17,Buy,Booking Buy,The Benchmark Company
18.01.17,Buy,Booking Buy,Miller Tabak
04.01.17,Buy,Booking Buy,"Needham & Company, LLC"
10.11.16,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
08.11.16,Buy,Booking Buy,The Benchmark Company
07.10.16,Buy,Booking Outperform,RBC Capital Markets
22.06.16,Buy,Booking overweight,Barclays Capital
05.05.16,Buy,Booking Buy,UBS AG
05.05.16,Buy,Booking Outperform,RBC Capital Markets
05.05.16,Buy,Booking Buy,The Benchmark Company
31.03.16,Hold,Booking Sector Weight,Pacific Crest Securities Inc.
10.11.15,Hold,Booking Equal weight,Barclays Capital
10.11.15,Buy,Booking Outperform,Oppenheimer & Co. Inc.
06.08.15,Hold,Booking Hold,Deutsche Bank AG
06.08.15,Buy,Booking Outperform,Oppenheimer & Co. Inc.
31.07.15,Hold,Booking Hold,Deutsche Bank AG
22.06.15,Hold,Booking Hold,Deutsche Bank AG
03.06.15,Hold,Booking Equal weight,Barclays Capital
06.04.15,Buy,Booking Buy,Argus Research Company
31.03.15,Buy,Booking Buy,"Stifel, Nicolaus & Co., Inc."
20.02.15,Buy,Booking Buy,Deutsche Bank AG
20.02.15,Buy,Booking Buy,UBS AG
20.02.15,Buy,Booking Outperform,Oppenheimer & Co. Inc.
09.02.15,Buy,Booking Outperform,RBC Capital Markets
