Date,Buy/Sell/Hold,Name,Bank Name
17.07.19,Hold,CSX Hold,Cascend Securities
17.07.19,Hold,CSX Market Perform,"Cowen and Company, LLC"
17.01.19,Hold,CSX Market Perform,"Cowen and Company, LLC"
17.10.18,Hold,CSX Market Perform,"Cowen and Company, LLC"
07.09.18,Buy,CSX Market Perform,BMO Capital Markets
18.07.18,Buy,CSX Buy,"Stifel, Nicolaus & Co., Inc."
24.05.18,Buy,CSX Buy,"Stifel, Nicolaus & Co., Inc."
18.04.18,Buy,CSX Outperform,"Cowen and Company, LLC"
02.03.18,Buy,CSX Outperform,"Cowen and Company, LLC"
17.01.18,Buy,CSX Buy,UBS AG
17.01.18,Hold,CSX Market Perform,"Cowen and Company, LLC"
07.09.17,Buy,CSX Outperform,RBC Capital Markets
24.07.17,Buy,CSX Hold,"Stifel, Nicolaus & Co., Inc."
20.04.17,Buy,CSX Outperform,FBR & Co.
20.04.17,Buy,CSX Hold,"Stifel, Nicolaus & Co., Inc."
28.02.17,Buy,CSX Buy,Deutsche Bank AG
18.10.12,Hold,CSX sector perform,RBC Capital Markets
17.10.12,Hold,CSX neutral,UBS AG
19.09.12,Hold,CSX neutral,UBS AG
17.09.12,Buy,CSX buy,UBS AG
20.07.12,Hold,CSX sector perform,RBC Capital Markets
19.07.12,Hold,CSX sector perform,RBC Capital Markets
18.07.12,Buy,CSX buy,UBS AG
12.06.12,Buy,CSX overweight,Barclays Capital
18.05.12,Buy,CSX overweight,Barclays Capital
23.04.12,Hold,CSX sector perform,RBC Capital Markets
19.04.12,Hold,CSX sector perform,RBC Capital Markets
19.04.12,Buy,CSX overweight,Barclays Capital
18.04.12,Buy,CSX buy,UBS AG
26.01.12,Hold,CSX sector perform,RBC Capital Markets
25.01.12,Buy,CSX overweight,Barclays Capital
24.01.12,Buy,CSX buy,UBS AG
20.10.11,Hold,CSX sector perform,RBC Capital Markets
20.10.11,Buy,CSX buy,Citigroup Corp.
20.10.11,Buy,CSX overweight,Barclays Capital
20.10.11,Buy,CSX buy,UBS AG
19.10.11,Hold,CSX sector perform,RBC Capital Markets
12.09.11,Buy,CSX buy,UBS AG
08.08.11,Hold,CSX neutral,Robert W. Baird & Co. Incorporated
22.07.11,Hold,CSX sector perform,RBC Capital Markets
21.07.11,Buy,CSX overweight,Barclays Capital
21.07.11,Hold,CSX sector perform,RBC Capital Markets
20.05.11,Buy,CSX buy,Citigroup Corp.
20.05.11,Buy,CSX outperform,Credit Suisse Group
16.05.11,Buy,CSX buy,UBS AG
13.05.11,Buy,CSX overweight,Barclays Capital
21.04.11,Buy,CSX buy,"Stifel, Nicolaus & Co., Inc."
20.04.11,Buy,CSX buy,UBS AG
26.01.11,Buy,CSX outperform,Credit Suisse Group
15.07.10,Buy,CSX kaufen,Davenport & Company LLC
17.07.19,Hold,CSX Hold,Cascend Securities
17.07.19,Hold,CSX Market Perform,"Cowen and Company, LLC"
17.01.19,Hold,CSX Market Perform,"Cowen and Company, LLC"
17.10.18,Hold,CSX Market Perform,"Cowen and Company, LLC"
07.09.18,Buy,CSX Market Perform,BMO Capital Markets
18.07.18,Buy,CSX Buy,"Stifel, Nicolaus & Co., Inc."
24.05.18,Buy,CSX Buy,"Stifel, Nicolaus & Co., Inc."
18.04.18,Buy,CSX Outperform,"Cowen and Company, LLC"
02.03.18,Buy,CSX Outperform,"Cowen and Company, LLC"
17.01.18,Buy,CSX Buy,UBS AG
17.01.18,Hold,CSX Market Perform,"Cowen and Company, LLC"
07.09.17,Buy,CSX Outperform,RBC Capital Markets
24.07.17,Buy,CSX Hold,"Stifel, Nicolaus & Co., Inc."
20.04.17,Buy,CSX Outperform,FBR & Co.
20.04.17,Buy,CSX Hold,"Stifel, Nicolaus & Co., Inc."
28.02.17,Buy,CSX Buy,Deutsche Bank AG
18.10.12,Hold,CSX sector perform,RBC Capital Markets
17.10.12,Hold,CSX neutral,UBS AG
19.09.12,Hold,CSX neutral,UBS AG
17.09.12,Buy,CSX buy,UBS AG
20.07.12,Hold,CSX sector perform,RBC Capital Markets
19.07.12,Hold,CSX sector perform,RBC Capital Markets
18.07.12,Buy,CSX buy,UBS AG
12.06.12,Buy,CSX overweight,Barclays Capital
18.05.12,Buy,CSX overweight,Barclays Capital
23.04.12,Hold,CSX sector perform,RBC Capital Markets
19.04.12,Hold,CSX sector perform,RBC Capital Markets
19.04.12,Buy,CSX overweight,Barclays Capital
18.04.12,Buy,CSX buy,UBS AG
26.01.12,Hold,CSX sector perform,RBC Capital Markets
25.01.12,Buy,CSX overweight,Barclays Capital
24.01.12,Buy,CSX buy,UBS AG
20.10.11,Hold,CSX sector perform,RBC Capital Markets
20.10.11,Buy,CSX buy,Citigroup Corp.
20.10.11,Buy,CSX overweight,Barclays Capital
20.10.11,Buy,CSX buy,UBS AG
19.10.11,Hold,CSX sector perform,RBC Capital Markets
12.09.11,Buy,CSX buy,UBS AG
08.08.11,Hold,CSX neutral,Robert W. Baird & Co. Incorporated
22.07.11,Hold,CSX sector perform,RBC Capital Markets
21.07.11,Buy,CSX overweight,Barclays Capital
21.07.11,Hold,CSX sector perform,RBC Capital Markets
20.05.11,Buy,CSX buy,Citigroup Corp.
20.05.11,Buy,CSX outperform,Credit Suisse Group
16.05.11,Buy,CSX buy,UBS AG
13.05.11,Buy,CSX overweight,Barclays Capital
21.04.11,Buy,CSX buy,"Stifel, Nicolaus & Co., Inc."
20.04.11,Buy,CSX buy,UBS AG
26.01.11,Buy,CSX outperform,Credit Suisse Group
15.07.10,Buy,CSX kaufen,Davenport & Company LLC
15.07.10,Hold,CSX kaufen,RBC Capital Markets
14.07.10,Hold,CSX kaufen,Credit Suisse Group
13.07.10,Hold,CSX kaufen,UBS AG
17.06.10,Hold,CSX kaufen,UBS AG
18.05.10,Buy,CSX kaufen,"Stifel, Nicolaus & Co., Inc."
12.04.10,Buy,CSX kaufen,UBS AG
14.10.09,Buy,CSX buy,UBS AG
16.09.09,Buy,CSX buy,UBS AG
27.05.09,Buy,CSX buy,UBS AG
15.04.09,Buy,CSX buy,UBS AG
06.03.09,Hold,CSX hold,Citigroup Corp.
17.09.07,Buy,CSX buy,UBS AG
19.07.07,Buy,CSX neutral,Calyon Securities
05.04.07,Buy,CSX reduce,Calyon Securities
06.02.07,Buy,CSX Hold,Stifel Nicolaus & Co.
23.01.07,Buy,CSX Neutral,Calyon Securities
13.12.06,Hold,CSX Peer Perform,Bear Stearns
19.09.06,Hold,CSX Buy,Citigroup
20.04.06,Hold,CSX Outperform,Credit Suisse
07.04.06,Buy,CSX Strong Buy,Stifel Nicolaus & Co.
27.01.06,Hold,CSX kaufen,Der Aktionärsbrief
17.08.05,Hold,CSX Neutral,Credit Suisse First Boston
15.07.05,Buy,CSX Overweight,JP Morgan
10.06.05,Buy,CSX Buy,BB&T Capital Markets
04.03.05,Buy,CSX Equal-weight,Morgan Stanley
