Date,Buy/Sell/Hold,Name,Bank Name
14.03.19,Buy,Cadence Design Systems Buy,"Needham & Company, LLC"
23.10.18,Buy,Cadence Design Systems Buy,The Benchmark Company
24.07.18,Buy,Cadence Design Systems Buy,"Needham & Company, LLC"
24.04.18,Buy,Cadence Design Systems Buy,"Needham & Company, LLC"
11.10.17,Buy,Cadence Design Systems Outperform,RBC Capital Markets
25.07.17,Buy,Cadence Design Systems Outperform,RBC Capital Markets
09.02.17,Buy,Cadence Design Systems Outperform,RBC Capital Markets
14.06.16,Hold,Cadence Design Systems Hold,"Needham & Company, LLC"
06.06.16,Buy,Cadence Design Systems Outperform,RBC Capital Markets
26.04.16,Buy,Cadence Design Systems Buy,Topeka Capital Markets
06.04.16,Hold,Cadence Design Systems Neutral,D.A. Davidson & Co.
19.11.15,Buy,Cadence Design Systems Outperform,Northland Capital
27.10.15,Buy,Cadence Design Systems Buy,"Needham & Company, LLC"
27.10.15,Buy,Cadence Design Systems Buy,Topeka Capital Markets
27.10.15,Buy,Cadence Design Systems Outperform,Northland Capital
27.10.15,Buy,Cadence Design Systems Outperform,RBC Capital Markets
28.04.15,Buy,Cadence Design Systems Buy,"Needham & Company, LLC"
28.04.15,Buy,Cadence Design Systems Outperform,RBC Capital Markets
10.04.15,Hold,Cadence Design Systems Neutral,D.A. Davidson & Co.
21.10.14,Buy,Cadence Design Systems Outperform,RBC Capital Markets
08.10.14,Buy,Cadence Design Systems Outperform,Northland Capital
26.10.12,Hold,Cadence Design Systems sector perform,RBC Capital Markets
26.10.10,Hold,Cadence Design Systems sector perform,RBC Capital Markets
18.12.08,Buy,Cadence Design Systems buy,"Needham & Company, LLC"
23.10.08,Hold,Cadence Design Systems hold,Citigroup Corp.
18.08.08,Buy,Cadence Design Systems buy,Citigroup Corp.
26.03.08,Buy,Cadence Design Systems,Nasd@q Inside
01.02.07,Buy,Cadence Design Systems Buy,Deutsche Securities
01.02.07,Sell,Cadence Design Systems Underweight,HSBC Securities
07.12.06,Hold,Cadence Design Systems Hold,Citigroup
26.10.06,Buy,Cadence Design Systems buy,Needham & Co
26.10.06,Buy,Cadence Design Systems Outperform,RBC Capital Markets
27.04.06,Buy,Cadence Design Systems Buy,Needham & Co
15.03.06,Buy,Cadence Design Systems buy,Deutsche Securities
07.12.05,Buy,Cadence Design Systems Outperform,RBC Capital Markets
28.10.05,Buy,Cadence Design Systems buy,Needham & Co
08.03.05,Buy,Cadence Design Systems Overweight,Morgan Stanley
11.01.05,Hold,Cadence Design Systems Hold,AmTech Research
04.01.05,Hold,Cadence Design Systems Neutral,Prudential Securities
