Date,Buy/Sell/Hold,Name,Bank Name
15.08.19,Hold,Charter A Hold,The Benchmark Company
12.07.19,Buy,Charter A Buy,Pivotal Research Group
31.07.18,Buy,Charter A Buy,Pivotal Research Group
27.04.18,Buy,Charter A Buy,Pivotal Research Group
05.02.18,Buy,Charter A Buy,Pivotal Research Group
04.12.17,Sell,Charter A Underweight,Barclays Capital
27.10.17,Hold,Charter A Equal weight,Barclays Capital
27.10.17,Buy,Charter A Buy,Pivotal Research Group
05.09.17,Buy,Charter A Market Perform,Telsey Advisory Group
09.08.17,Buy,Charter A Outperform,Telsey Advisory Group
07.08.17,Buy,Charter A Outperform,RBC Capital Markets
03.05.17,Buy,Charter A Market Perform,Telsey Advisory Group
22.02.17,Hold,Charter A Neutral,MoffettNathanson
17.02.17,Buy,Charter A Market Perform,Telsey Advisory Group
16.02.17,Buy,Charter A Buy,Pivotal Research Group
06.12.16,Buy,Charter A Outperform,RBC Capital Markets
10.11.16,Buy,Charter A Buy,MoffettNathanson
11.10.16,Hold,Charter A Neutral,MoffettNathanson
10.10.16,Buy,Charter A Outperform,Telsey Advisory Group
26.09.16,Buy,Charter A Buy,Pivotal Research Group
20.07.16,Buy,Charter A Buy,Argus Research Company
20.06.16,Buy,Charter A Buy,Wunderlich
26.05.16,Hold,Charter A Equal weight,Barclays Capital
24.05.16,Buy,Charter A Buy,Pivotal Research Group
12.05.16,Buy,Charter A Buy,Deutsche Bank AG
12.05.16,Buy,Charter A Buy,Deutsche Bank AG
02.05.16,Hold,Charter A Hold,Wunderlich
29.03.16,Buy,Charter A Buy,UBS AG
02.11.15,Buy,Charter A Outperform,Telsey Advisory Group
30.10.15,Buy,Charter A Buy,Canaccord Adams
28.08.15,Hold,Charter A Equal weight,Barclays Capital
28.08.15,Hold,Charter A Equal weight,Barclays Capital
05.08.15,Buy,Charter A Buy,Canaccord Adams
03.08.15,Hold,Charter A Sector Perform,RBC Capital Markets
31.07.15,Buy,Charter A Buy,Canaccord Adams
31.07.15,Buy,Charter A Buy,Wunderlich
14.07.15,Buy,Charter A Buy,Deutsche Bank AG
14.07.15,Buy,Charter A Buy,Deutsche Bank AG
05.06.15,Buy,Charter A Outperform,Telsey Advisory Group
27.05.15,Hold,Charter A Hold,"Needham & Company, LLC"
27.05.15,Buy,Charter A Buy,Pivotal Research Group
21.05.15,Buy,Charter A Buy,Wunderlich
20.05.15,Hold,Charter A Equal weight,Barclays Capital
04.05.15,Buy,Charter A Buy,Canaccord Adams
04.05.15,Hold,Charter A Sector Perform,RBC Capital Markets
01.05.15,Buy,Charter A Buy,Wunderlich
01.04.15,Buy,Charter A Buy,Canaccord Adams
01.04.15,Hold,Charter A Hold,Wunderlich
13.03.15,Buy,Charter A Buy,Wunderlich
02.03.15,Hold,Charter A Underperform,"Needham & Company, LLC"
15.08.19,Hold,Charter A Hold,The Benchmark Company
12.07.19,Buy,Charter A Buy,Pivotal Research Group
31.07.18,Buy,Charter A Buy,Pivotal Research Group
27.04.18,Buy,Charter A Buy,Pivotal Research Group
05.02.18,Buy,Charter A Buy,Pivotal Research Group
04.12.17,Sell,Charter A Underweight,Barclays Capital
27.10.17,Hold,Charter A Equal weight,Barclays Capital
27.10.17,Buy,Charter A Buy,Pivotal Research Group
05.09.17,Buy,Charter A Market Perform,Telsey Advisory Group
09.08.17,Buy,Charter A Outperform,Telsey Advisory Group
07.08.17,Buy,Charter A Outperform,RBC Capital Markets
03.05.17,Buy,Charter A Market Perform,Telsey Advisory Group
22.02.17,Hold,Charter A Neutral,MoffettNathanson
17.02.17,Buy,Charter A Market Perform,Telsey Advisory Group
16.02.17,Buy,Charter A Buy,Pivotal Research Group
06.12.16,Buy,Charter A Outperform,RBC Capital Markets
10.11.16,Buy,Charter A Buy,MoffettNathanson
11.10.16,Hold,Charter A Neutral,MoffettNathanson
10.10.16,Buy,Charter A Outperform,Telsey Advisory Group
26.09.16,Buy,Charter A Buy,Pivotal Research Group
20.07.16,Buy,Charter A Buy,Argus Research Company
20.06.16,Buy,Charter A Buy,Wunderlich
26.05.16,Hold,Charter A Equal weight,Barclays Capital
24.05.16,Buy,Charter A Buy,Pivotal Research Group
12.05.16,Buy,Charter A Buy,Deutsche Bank AG
12.05.16,Buy,Charter A Buy,Deutsche Bank AG
02.05.16,Hold,Charter A Hold,Wunderlich
29.03.16,Buy,Charter A Buy,UBS AG
02.11.15,Buy,Charter A Outperform,Telsey Advisory Group
30.10.15,Buy,Charter A Buy,Canaccord Adams
28.08.15,Hold,Charter A Equal weight,Barclays Capital
28.08.15,Hold,Charter A Equal weight,Barclays Capital
05.08.15,Buy,Charter A Buy,Canaccord Adams
03.08.15,Hold,Charter A Sector Perform,RBC Capital Markets
31.07.15,Buy,Charter A Buy,Canaccord Adams
31.07.15,Buy,Charter A Buy,Wunderlich
14.07.15,Buy,Charter A Buy,Deutsche Bank AG
14.07.15,Buy,Charter A Buy,Deutsche Bank AG
05.06.15,Buy,Charter A Outperform,Telsey Advisory Group
27.05.15,Hold,Charter A Hold,"Needham & Company, LLC"
27.05.15,Buy,Charter A Buy,Pivotal Research Group
21.05.15,Buy,Charter A Buy,Wunderlich
20.05.15,Hold,Charter A Equal weight,Barclays Capital
04.05.15,Buy,Charter A Buy,Canaccord Adams
04.05.15,Hold,Charter A Sector Perform,RBC Capital Markets
01.05.15,Buy,Charter A Buy,Wunderlich
01.04.15,Buy,Charter A Buy,Canaccord Adams
01.04.15,Hold,Charter A Hold,Wunderlich
13.03.15,Buy,Charter A Buy,Wunderlich
02.03.15,Hold,Charter A Underperform,"Needham & Company, LLC"
06.02.15,Hold,Charter A Buy,Wunderlich
06.02.15,Buy,Charter A Outperform,Telsey Advisory Group
18.12.14,Buy,Charter A Neutral,BTIG Research
31.10.14,Buy,Charter A Hold,Brean Capital
29.11.12,Buy,Charter A buy,UBS AG
09.11.12,Sell,Charter A hold,"Stifel, Nicolaus & Co., Inc."
07.11.12,Hold,Charter A outperform,RBC Capital Markets
07.11.12,Buy,Charter A buy,Nomura
07.11.12,Buy,Charter A neutral,JP Morgan Chase & Co.
16.10.12,Buy,Charter A sector outperform,Scotia Capital Markets
01.10.12,Buy,Charter A buy,Nomura
24.09.12,Buy,Charter A outperform,Barrington Research
17.09.12,Hold,Charter A buy,UBS AG
09.08.12,Buy,Charter A outperform,Barrington Research
08.08.12,Buy,Charter A hold,Jefferies & Company Inc.
06.08.12,Buy,Charter A buy,Nomura
11.05.12,Buy,Charter A outperform,Barrington Research
30.04.12,Hold,Charter A buy,Nomura
01.02.12,Buy,Charter A sector outperform,Scotia Capital Markets
30.01.12,Buy,Charter A outperform,Barrington Research
30.01.12,Buy,Charter A outperform,RBC Capital Markets
30.01.12,Buy,Charter A buy,Nomura
27.01.12,Hold,Charter A buy,UBS AG
06.01.12,Buy,Charter A buy,Nomura
05.12.11,Buy,Charter A buy,"Stifel, Nicolaus & Co., Inc."
02.12.11,Buy,Charter A buy,Nomura
25.08.11,Hold,Charter A outperform,Barrington Research
16.08.11,Buy,Charter A buy,Nomura
02.03.11,Buy,Charter A sector perform,RBC Capital Markets
03.02.11,Buy,Charter A equal-weight,Barclays Capital
02.02.11,Hold,Charter A buy,UBS AG
28.01.11,Hold,Charter A outperform,RBC Capital Markets
28.01.11,Buy,Charter A buy,"Kaufman Bros., LP"
28.01.11,Hold,Charter A buy,UBS AG
28.01.11,Buy,Charter A equal-weight,Barclays Capital
15.12.10,Buy,Charter A outperform,Credit Suisse Group
05.11.10,Buy,Charter A outperform,RBC Capital Markets
05.11.10,Buy,Charter A buy,UBS AG
22.10.10,Buy,Charter A outperform,RBC Capital Markets
19.10.10,Hold,Charter A outperform,Credit Suisse Group
20.08.10,Buy,Charter A outperform,Barrington Research
09.08.10,Buy,Charter A equal-weight,Barclays Capital
16.07.10,Hold,Charter A buy,"Kaufman Bros., LP"
12.05.10,Buy,Charter A kaufen,RBC Capital Markets
10.05.10,Hold,Charter A kaufen,UBS AG
03.05.10,Buy,Charter A kaufen,Barrington Research
30.04.10,Buy,Charter A halten,UBS AG
30.04.10,Hold,Charter A halten,Credit Suisse Group
29.12.08,Buy,Charter A sell,Citigroup Corp.
02.07.08,Hold,Charter A neutral,JP Morgan Chase & Co.
15.08.19,Hold,Charter A Hold,The Benchmark Company
12.07.19,Buy,Charter A Buy,Pivotal Research Group
31.07.18,Buy,Charter A Buy,Pivotal Research Group
27.04.18,Buy,Charter A Buy,Pivotal Research Group
05.02.18,Buy,Charter A Buy,Pivotal Research Group
04.12.17,Sell,Charter A Underweight,Barclays Capital
27.10.17,Hold,Charter A Equal weight,Barclays Capital
27.10.17,Buy,Charter A Buy,Pivotal Research Group
05.09.17,Buy,Charter A Market Perform,Telsey Advisory Group
09.08.17,Buy,Charter A Outperform,Telsey Advisory Group
07.08.17,Buy,Charter A Outperform,RBC Capital Markets
03.05.17,Buy,Charter A Market Perform,Telsey Advisory Group
22.02.17,Hold,Charter A Neutral,MoffettNathanson
17.02.17,Buy,Charter A Market Perform,Telsey Advisory Group
16.02.17,Buy,Charter A Buy,Pivotal Research Group
06.12.16,Buy,Charter A Outperform,RBC Capital Markets
10.11.16,Buy,Charter A Buy,MoffettNathanson
11.10.16,Hold,Charter A Neutral,MoffettNathanson
10.10.16,Buy,Charter A Outperform,Telsey Advisory Group
26.09.16,Buy,Charter A Buy,Pivotal Research Group
20.07.16,Buy,Charter A Buy,Argus Research Company
20.06.16,Buy,Charter A Buy,Wunderlich
26.05.16,Hold,Charter A Equal weight,Barclays Capital
24.05.16,Buy,Charter A Buy,Pivotal Research Group
12.05.16,Buy,Charter A Buy,Deutsche Bank AG
12.05.16,Buy,Charter A Buy,Deutsche Bank AG
02.05.16,Hold,Charter A Hold,Wunderlich
29.03.16,Buy,Charter A Buy,UBS AG
02.11.15,Buy,Charter A Outperform,Telsey Advisory Group
30.10.15,Buy,Charter A Buy,Canaccord Adams
28.08.15,Hold,Charter A Equal weight,Barclays Capital
28.08.15,Hold,Charter A Equal weight,Barclays Capital
05.08.15,Buy,Charter A Buy,Canaccord Adams
03.08.15,Hold,Charter A Sector Perform,RBC Capital Markets
31.07.15,Buy,Charter A Buy,Canaccord Adams
31.07.15,Buy,Charter A Buy,Wunderlich
14.07.15,Buy,Charter A Buy,Deutsche Bank AG
14.07.15,Buy,Charter A Buy,Deutsche Bank AG
05.06.15,Buy,Charter A Outperform,Telsey Advisory Group
27.05.15,Hold,Charter A Hold,"Needham & Company, LLC"
27.05.15,Buy,Charter A Buy,Pivotal Research Group
21.05.15,Buy,Charter A Buy,Wunderlich
20.05.15,Hold,Charter A Equal weight,Barclays Capital
04.05.15,Buy,Charter A Buy,Canaccord Adams
04.05.15,Hold,Charter A Sector Perform,RBC Capital Markets
01.05.15,Buy,Charter A Buy,Wunderlich
01.04.15,Buy,Charter A Buy,Canaccord Adams
01.04.15,Hold,Charter A Hold,Wunderlich
13.03.15,Buy,Charter A Buy,Wunderlich
02.03.15,Hold,Charter A Underperform,"Needham & Company, LLC"
06.02.15,Hold,Charter A Buy,Wunderlich
06.02.15,Buy,Charter A Outperform,Telsey Advisory Group
18.12.14,Buy,Charter A Neutral,BTIG Research
31.10.14,Buy,Charter A Hold,Brean Capital
29.11.12,Buy,Charter A buy,UBS AG
09.11.12,Sell,Charter A hold,"Stifel, Nicolaus & Co., Inc."
07.11.12,Hold,Charter A outperform,RBC Capital Markets
07.11.12,Buy,Charter A buy,Nomura
07.11.12,Buy,Charter A neutral,JP Morgan Chase & Co.
16.10.12,Buy,Charter A sector outperform,Scotia Capital Markets
01.10.12,Buy,Charter A buy,Nomura
24.09.12,Buy,Charter A outperform,Barrington Research
17.09.12,Hold,Charter A buy,UBS AG
09.08.12,Buy,Charter A outperform,Barrington Research
08.08.12,Buy,Charter A hold,Jefferies & Company Inc.
06.08.12,Buy,Charter A buy,Nomura
11.05.12,Buy,Charter A outperform,Barrington Research
30.04.12,Hold,Charter A buy,Nomura
01.02.12,Buy,Charter A sector outperform,Scotia Capital Markets
30.01.12,Buy,Charter A outperform,Barrington Research
30.01.12,Buy,Charter A outperform,RBC Capital Markets
30.01.12,Buy,Charter A buy,Nomura
27.01.12,Hold,Charter A buy,UBS AG
06.01.12,Buy,Charter A buy,Nomura
05.12.11,Buy,Charter A buy,"Stifel, Nicolaus & Co., Inc."
02.12.11,Buy,Charter A buy,Nomura
25.08.11,Hold,Charter A outperform,Barrington Research
16.08.11,Buy,Charter A buy,Nomura
02.03.11,Buy,Charter A sector perform,RBC Capital Markets
03.02.11,Buy,Charter A equal-weight,Barclays Capital
02.02.11,Hold,Charter A buy,UBS AG
28.01.11,Hold,Charter A outperform,RBC Capital Markets
28.01.11,Buy,Charter A buy,"Kaufman Bros., LP"
28.01.11,Hold,Charter A buy,UBS AG
28.01.11,Buy,Charter A equal-weight,Barclays Capital
15.12.10,Buy,Charter A outperform,Credit Suisse Group
05.11.10,Buy,Charter A outperform,RBC Capital Markets
05.11.10,Buy,Charter A buy,UBS AG
22.10.10,Buy,Charter A outperform,RBC Capital Markets
19.10.10,Hold,Charter A outperform,Credit Suisse Group
20.08.10,Buy,Charter A outperform,Barrington Research
09.08.10,Buy,Charter A equal-weight,Barclays Capital
16.07.10,Hold,Charter A buy,"Kaufman Bros., LP"
12.05.10,Buy,Charter A kaufen,RBC Capital Markets
10.05.10,Hold,Charter A kaufen,UBS AG
03.05.10,Buy,Charter A kaufen,Barrington Research
30.04.10,Buy,Charter A halten,UBS AG
30.04.10,Hold,Charter A halten,Credit Suisse Group
29.12.08,Buy,Charter A sell,Citigroup Corp.
02.07.08,Hold,Charter A neutral,JP Morgan Chase & Co.
09.11.07,Hold,Charter A hold,Wedbush Morgan Securities Inc.
12.10.07,Buy,Charter A hold,Wedbush Morgan Securities Inc.
01.10.07,Buy,Charter A overweight,JP Morgan Chase & Co.
12.09.07,Buy,Charter A underweight,Lehman Brothers Inc.
04.06.07,Buy,Charter A outperform,Crédit Suisse
08.12.06,Sell,Charter A buy,UBS
02.11.06,Hold,Charter A buy,Citigroup
30.10.06,Buy,Charter A Accumulate,Janco Partners
17.10.06,Buy,Charter A Buy,UBS
12.09.06,Buy,Charter A Hold,Citigroup
11.09.06,Buy,Charter A Accumulate,Janco Partners
09.06.05,Buy,Charter A underperform,Goldman Sachs
09.06.05,Hold,Charter A Underperform,Goldman Sachs
