Date,Buy/Sell/Hold,Name,Bank Name
20.07.18,Buy,Cintas overweight,Barclays Capital
23.03.18,Buy,Cintas Hold,"Stifel, Nicolaus & Co., Inc."
27.09.17,Buy,Cintas Hold,"Stifel, Nicolaus & Co., Inc."
21.07.17,Buy,Cintas Hold,"Stifel, Nicolaus & Co., Inc."
23.03.17,Buy,Cintas overweight,Barclays Capital
23.02.17,Hold,Cintas Hold,Deutsche Bank AG
20.12.16,Buy,Cintas Hold,"Stifel, Nicolaus & Co., Inc."
23.03.16,Hold,Cintas Sector Perform,RBC Capital Markets
22.12.15,Hold,Cintas Equal weight,Barclays Capital
22.12.15,Hold,Cintas Sector Perform,RBC Capital Markets
25.09.15,Hold,Cintas Sector Perform,RBC Capital Markets
04.11.14,Hold,Cintas Sector Perform,RBC Capital Markets
30.09.14,Buy,Cintas Outperform,RBC Capital Markets
23.03.12,Buy,Cintas outperform,Barrington Research
21.03.12,Hold,Cintas neutral,Robert W. Baird & Co. Incorporated
20.07.11,Buy,Cintas outperform,Barrington Research
14.03.11,Buy,Cintas outperform,Robert W. Baird & Co. Incorporated
13.09.07,Hold,Cintas,PROFIT-Report
14.07.06,Hold,Cintas Neutral,Robert W. Baird
29.09.05,Buy,Cintas Overweight,JP Morgan
02.09.05,Hold,Cintas Market Perform,William Blair
02.06.05,Hold,Cintas Neutral,FTN Midwest
