Date,Buy/Sell/Hold,Name,Bank Name
18.05.23,Hold,Cisco Neutral,JP Morgan Chase & Co.
18.05.23,Buy,Cisco Outperform,Credit Suisse Group
16.09.21,Buy,Cisco Buy,Goldman Sachs Group Inc.
16.09.21,Buy,Cisco Overweight,JP Morgan Chase & Co.
16.09.21,Buy,Cisco Outperform,Credit Suisse Group
19.08.21,Hold,Cisco Neutral,Credit Suisse Group
10.02.21,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.11.20,Buy,Cisco Outperform,RBC Capital Markets
13.11.20,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.08.20,Buy,Cisco Outperform,RBC Capital Markets
13.08.20,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.02.20,Hold,Cisco Neutral,Credit Suisse Group
14.11.19,Hold,Cisco Equal weight,Barclays Capital
14.11.19,Hold,Cisco Neutral,Credit Suisse Group
14.11.19,Hold,Cisco Neutral,Goldman Sachs Group Inc.
14.11.19,Buy,Cisco buy,UBS AG
14.11.19,Buy,Cisco Outperform,RBC Capital Markets
13.11.19,Buy,Cisco Outperform,RBC Capital Markets
27.08.19,Hold,Cisco Neutral,Credit Suisse Group
15.08.19,Buy,Cisco Outperform,RBC Capital Markets
15.08.19,Buy,Cisco buy,UBS AG
08.08.19,Hold,Cisco Equal weight,Barclays Capital
12.06.19,Buy,Cisco overweight,JP Morgan Chase & Co.
14.12.18,Hold,Cisco Neutral,Nomura
16.08.18,Buy,Cisco Conviction Buy,Goldman Sachs Group Inc.
15.02.18,Hold,Cisco Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
15.02.18,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
15.02.18,Buy,Cisco buy,Nomura
15.02.18,Buy,Cisco buy,Goldman Sachs Group Inc.
15.12.17,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
16.11.17,Buy,Cisco overweight,Barclays Capital
16.11.17,Buy,Cisco buy,UBS AG
18.05.17,Buy,Cisco Outperform,RBC Capital Markets
15.05.17,Buy,Cisco overweight,Morgan Stanley
12.05.17,Buy,Cisco Market Perform,BMO Capital Markets
16.02.17,Buy,Cisco Outperform,RBC Capital Markets
18.11.16,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
14.09.16,Buy,Cisco Buy,Deutsche Bank AG
20.05.16,Hold,Cisco Halten,Independent Research GmbH
19.05.16,Buy,Cisco overweight,Barclays Capital
19.05.16,Hold,Cisco Hold,Wunderlich
19.05.16,Buy,Cisco Outperform,RBC Capital Markets
16.03.16,Buy,Cisco Outperform,RBC Capital Markets
13.11.15,Hold,Cisco Neutral,MKM Partners
13.11.15,Buy,Cisco Outperform,RBC Capital Markets
14.05.15,Hold,Cisco Neutral,MKM Partners
12.05.15,Buy,Cisco Outperform,RBC Capital Markets
05.05.15,Buy,Cisco Outperform,Oppenheimer & Co. Inc.
13.03.15,Buy,Cisco Buy,UBS AG
13.02.15,Buy,Cisco Buy,Argus Research Company
18.05.23,Hold,Cisco Neutral,JP Morgan Chase & Co.
18.05.23,Buy,Cisco Outperform,Credit Suisse Group
16.09.21,Buy,Cisco Buy,Goldman Sachs Group Inc.
16.09.21,Buy,Cisco Overweight,JP Morgan Chase & Co.
16.09.21,Buy,Cisco Outperform,Credit Suisse Group
19.08.21,Hold,Cisco Neutral,Credit Suisse Group
10.02.21,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.11.20,Buy,Cisco Outperform,RBC Capital Markets
13.11.20,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.08.20,Buy,Cisco Outperform,RBC Capital Markets
13.08.20,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.02.20,Hold,Cisco Neutral,Credit Suisse Group
14.11.19,Hold,Cisco Equal weight,Barclays Capital
14.11.19,Hold,Cisco Neutral,Credit Suisse Group
14.11.19,Hold,Cisco Neutral,Goldman Sachs Group Inc.
14.11.19,Buy,Cisco buy,UBS AG
14.11.19,Buy,Cisco Outperform,RBC Capital Markets
13.11.19,Buy,Cisco Outperform,RBC Capital Markets
27.08.19,Hold,Cisco Neutral,Credit Suisse Group
15.08.19,Buy,Cisco Outperform,RBC Capital Markets
15.08.19,Buy,Cisco buy,UBS AG
08.08.19,Hold,Cisco Equal weight,Barclays Capital
12.06.19,Buy,Cisco overweight,JP Morgan Chase & Co.
14.12.18,Hold,Cisco Neutral,Nomura
16.08.18,Buy,Cisco Conviction Buy,Goldman Sachs Group Inc.
15.02.18,Hold,Cisco Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
15.02.18,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
15.02.18,Buy,Cisco buy,Nomura
15.02.18,Buy,Cisco buy,Goldman Sachs Group Inc.
15.12.17,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
16.11.17,Buy,Cisco overweight,Barclays Capital
16.11.17,Buy,Cisco buy,UBS AG
18.05.17,Buy,Cisco Outperform,RBC Capital Markets
15.05.17,Buy,Cisco overweight,Morgan Stanley
12.05.17,Buy,Cisco Market Perform,BMO Capital Markets
16.02.17,Buy,Cisco Outperform,RBC Capital Markets
18.11.16,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
14.09.16,Buy,Cisco Buy,Deutsche Bank AG
20.05.16,Hold,Cisco Halten,Independent Research GmbH
19.05.16,Buy,Cisco overweight,Barclays Capital
19.05.16,Hold,Cisco Hold,Wunderlich
19.05.16,Buy,Cisco Outperform,RBC Capital Markets
16.03.16,Buy,Cisco Outperform,RBC Capital Markets
13.11.15,Hold,Cisco Neutral,MKM Partners
13.11.15,Buy,Cisco Outperform,RBC Capital Markets
14.05.15,Hold,Cisco Neutral,MKM Partners
12.05.15,Buy,Cisco Outperform,RBC Capital Markets
05.05.15,Buy,Cisco Outperform,Oppenheimer & Co. Inc.
13.03.15,Buy,Cisco Buy,UBS AG
13.02.15,Buy,Cisco Buy,Argus Research Company
12.02.15,Hold,Cisco Neutral,MKM Partners
12.02.15,Buy,Cisco Outperform,RBC Capital Markets
12.02.15,Buy,Cisco Outperform,Oppenheimer & Co. Inc.
12.02.15,Buy,Cisco Hold,Wunderlich
03.02.15,Buy,Cisco Outperform,Oppenheimer & Co. Inc.
12.01.15,Hold,Cisco Buy,Deutsche Bank AG
01.12.14,Hold,Cisco Buy,UBS AG
24.11.14,Buy,Cisco Outperform,RBC Capital Markets
13.11.14,Hold,Cisco Neutral,MKM Partners
28.06.13,Buy,Cisco kaufen,Independent Research GmbH
23.05.13,Hold,Cisco kaufen,Independent Research GmbH
16.05.13,Hold,Cisco verkaufen,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
05.04.13,Hold,Cisco halten,Independent Research GmbH
06.03.13,Hold,Cisco verkaufen,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
14.01.13,Hold,Cisco kaufen,Robert W. Baird & Co. Incorporated
03.01.13,Buy,Cisco kaufen,RBC Capital Markets
14.12.12,Buy,Cisco halten,Independent Research GmbH
12.12.12,Buy,Cisco buy,Goldman Sachs Group Inc.
11.12.12,Hold,Cisco buy,Nomura
11.12.12,Buy,Cisco buy,Deutsche Bank Securities
11.12.12,Buy,Cisco overweight,Piper Jaffray & Co.
11.12.12,Hold,Cisco outperform,"Raymond James Financial, Inc."
10.12.12,Buy,Cisco buy,UBS AG
07.12.12,Hold,Cisco outperform,Credit Suisse Group
05.12.12,Buy,Cisco sector perform,RBC Capital Markets
05.12.12,Hold,Cisco buy,Nomura
04.12.12,Buy,Cisco buy,UBS AG
04.12.12,Buy,Cisco buy,"Stifel, Nicolaus & Co., Inc."
03.12.12,Buy,Cisco outperform,"Raymond James Financial, Inc."
29.11.12,Buy,Cisco buy,Nomura
20.11.12,Buy,Cisco kaufen,Independent Research GmbH
16.11.12,Buy,Cisco buy,Goldman Sachs Group Inc.
15.11.12,Buy,Cisco outperform,Oppenheimer & Co. Inc.
15.11.12,Buy,Cisco overweight,Piper Jaffray & Co.
15.11.12,Buy,Cisco buy,Nomura
15.11.12,Buy,Cisco buy,UBS AG
15.11.12,Buy,Cisco outperform,Pacific Crest Securities Inc.
15.11.12,Buy,Cisco buy,Deutsche Bank Securities
13.11.12,Hold,Cisco buy,Nomura
13.11.12,Buy,Cisco outperform,Credit Suisse Group
12.11.12,Hold,Cisco neutral,JP Morgan Chase & Co.
07.11.12,Buy,Cisco outperform,Oppenheimer & Co. Inc.
06.11.12,Buy,Cisco sector perform,RBC Capital Markets
06.11.12,Hold,Cisco buy,Deutsche Bank Securities
17.10.12,Buy,Cisco buy,Nomura
01.10.12,Hold,Cisco outperform,"Raymond James Financial, Inc."
27.09.12,Buy,Cisco buy,Deutsche Bank Securities
14.09.12,Buy,Cisco buy,Deutsche Bank Securities
30.08.12,Buy,Cisco buy,Deutsche Bank Securities
30.08.12,Buy,Cisco hold,Jefferies & Company Inc.
18.05.23,Hold,Cisco Neutral,JP Morgan Chase & Co.
18.05.23,Buy,Cisco Outperform,Credit Suisse Group
16.09.21,Buy,Cisco Buy,Goldman Sachs Group Inc.
16.09.21,Buy,Cisco Overweight,JP Morgan Chase & Co.
16.09.21,Buy,Cisco Outperform,Credit Suisse Group
19.08.21,Hold,Cisco Neutral,Credit Suisse Group
10.02.21,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.11.20,Buy,Cisco Outperform,RBC Capital Markets
13.11.20,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.08.20,Buy,Cisco Outperform,RBC Capital Markets
13.08.20,Hold,Cisco Neutral,Goldman Sachs Group Inc.
13.02.20,Hold,Cisco Neutral,Credit Suisse Group
14.11.19,Hold,Cisco Equal weight,Barclays Capital
14.11.19,Hold,Cisco Neutral,Credit Suisse Group
14.11.19,Hold,Cisco Neutral,Goldman Sachs Group Inc.
14.11.19,Buy,Cisco buy,UBS AG
14.11.19,Buy,Cisco Outperform,RBC Capital Markets
13.11.19,Buy,Cisco Outperform,RBC Capital Markets
27.08.19,Hold,Cisco Neutral,Credit Suisse Group
15.08.19,Buy,Cisco Outperform,RBC Capital Markets
15.08.19,Buy,Cisco buy,UBS AG
08.08.19,Hold,Cisco Equal weight,Barclays Capital
12.06.19,Buy,Cisco overweight,JP Morgan Chase & Co.
14.12.18,Hold,Cisco Neutral,Nomura
16.08.18,Buy,Cisco Conviction Buy,Goldman Sachs Group Inc.
15.02.18,Hold,Cisco Hold,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
15.02.18,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
15.02.18,Buy,Cisco buy,Nomura
15.02.18,Buy,Cisco buy,Goldman Sachs Group Inc.
15.12.17,Buy,Cisco Hold,"Stifel, Nicolaus & Co., Inc."
16.11.17,Buy,Cisco overweight,Barclays Capital
16.11.17,Buy,Cisco buy,UBS AG
