Date,Buy/Sell/Hold,Name,Bank Name
24.04.19,Buy,CoStar Group Buy,"Needham & Company, LLC"
12.09.18,Buy,CoStar Group Buy,"Needham & Company, LLC"
25.07.18,Buy,CoStar Group Buy,"Needham & Company, LLC"
17.08.17,Buy,CoStar Group Buy,"Needham & Company, LLC"
28.07.17,Buy,CoStar Group Buy,"Needham & Company, LLC"
28.04.17,Buy,CoStar Group Buy,"Needham & Company, LLC"
01.05.15,Buy,CoStar Group Buy,"Needham & Company, LLC"
07.09.06,Sell,CoStar Group Strong Sell,Matrix Research
26.07.05,Hold,CoStar Group Neutral,Credit Suisse First Boston
22.07.05,Buy,CoStar Group Buy,Needham & Co
21.04.05,Hold,CoStar Group Hold,Deutsche Securities
05.04.05,Buy,CoStar Group Outperform,Credit Suisse First Boston
18.02.05,Sell,CoStar Group Sell,Deutsche Securities
