Date,Buy/Sell/Hold,Name,Bank Name
03.05.19,Hold,Cognizant Hold,"Needham & Company, LLC"
03.05.19,Hold,Cognizant Perform,Oppenheimer & Co. Inc.
07.02.19,Buy,Cognizant Outperform,BMO Capital Markets
02.11.18,Buy,Cognizant Market Perform,BMO Capital Markets
08.02.18,Buy,Cognizant overweight,Barclays Capital
08.02.18,Buy,Cognizant Strong Buy,"Needham & Company, LLC"
08.11.17,Buy,Cognizant Buy,Pivotal Research Group
02.11.17,Buy,Cognizant Strong Buy,"Needham & Company, LLC"
15.05.17,Buy,Cognizant Buy,"Needham & Company, LLC"
13.04.17,Buy,Cognizant buy,SunTrust
10.01.17,Hold,Cognizant Hold,Loop Capital
06.01.17,Buy,Cognizant Outperform,Wedbush Morgan Securities Inc.
08.11.16,Buy,Cognizant Buy,"Needham & Company, LLC"
30.09.16,Hold,Cognizant Hold,Argus Research Company
09.09.16,Hold,Cognizant Neutral,Wedbush Morgan Securities Inc.
12.07.16,Buy,Cognizant Overweight,Pacific Crest Securities Inc.
12.07.16,Hold,Cognizant Neutral,SunTrust
05.11.15,Buy,Cognizant Buy,"Monness, Crespi, Hardt & Co."
20.08.15,Buy,Cognizant overweight,Barclays Capital
11.08.15,Buy,Cognizant Buy,Argus Research Company
06.08.15,Buy,Cognizant Buy,"Needham & Company, LLC"
05.05.15,Buy,Cognizant Buy,"Needham & Company, LLC"
05.05.15,Buy,Cognizant Buy,"Monness, Crespi, Hardt & Co."
05.05.15,Buy,Cognizant Outperform,Oppenheimer & Co. Inc.
03.03.15,Buy,Cognizant Buy,Argus Research Company
02.03.15,Buy,Cognizant overweight,Barclays Capital
05.02.15,Buy,Cognizant Outperform,Oppenheimer & Co. Inc.
05.02.15,Buy,Cognizant Buy,"Needham & Company, LLC"
14.01.15,Buy,Cognizant Buy,"Monness, Crespi, Hardt & Co."
16.12.14,Buy,Cognizant Buy,Deutsche Bank AG
23.10.12,Buy,Cognizant outperform,Oppenheimer & Co. Inc.
07.08.12,Buy,Cognizant outperform,RBC Capital Markets
22.05.12,Buy,Cognizant overweight,Barclays Capital
09.05.12,Buy,Cognizant overweight,Barclays Capital
08.05.12,Buy,Cognizant outperform,Robert W. Baird & Co. Incorporated
08.05.12,Buy,Cognizant buy,"Needham & Company, LLC"
02.05.12,Buy,Cognizant overweight,Barclays Capital
20.03.12,Buy,Cognizant overweight,Barclays Capital
28.02.12,Buy,Cognizant outperform,RBC Capital Markets
06.02.12,Buy,Cognizant overweight,Barclays Capital
04.01.12,Buy,Cognizant buy,Nomura
01.12.11,Buy,Cognizant buy,Citigroup Corp.
04.11.11,Buy,Cognizant overweight,Barclays Capital
10.10.11,Buy,Cognizant buy,Deutsche Bank Securities
09.09.11,Buy,Cognizant buy,Citigroup Corp.
05.09.11,Hold,Cognizant neutral,Nomura
01.09.11,Buy,Cognizant strong buy,"Needham & Company, LLC"
04.08.11,Buy,Cognizant overweight,Barclays Capital
14.07.11,Buy,Cognizant buy,"Needham & Company, LLC"
27.05.11,Buy,Cognizant overweight,Barclays Capital
03.05.19,Hold,Cognizant Hold,"Needham & Company, LLC"
03.05.19,Hold,Cognizant Perform,Oppenheimer & Co. Inc.
07.02.19,Buy,Cognizant Outperform,BMO Capital Markets
02.11.18,Buy,Cognizant Market Perform,BMO Capital Markets
08.02.18,Buy,Cognizant overweight,Barclays Capital
08.02.18,Buy,Cognizant Strong Buy,"Needham & Company, LLC"
08.11.17,Buy,Cognizant Buy,Pivotal Research Group
02.11.17,Buy,Cognizant Strong Buy,"Needham & Company, LLC"
15.05.17,Buy,Cognizant Buy,"Needham & Company, LLC"
13.04.17,Buy,Cognizant buy,SunTrust
10.01.17,Hold,Cognizant Hold,Loop Capital
06.01.17,Buy,Cognizant Outperform,Wedbush Morgan Securities Inc.
08.11.16,Buy,Cognizant Buy,"Needham & Company, LLC"
30.09.16,Hold,Cognizant Hold,Argus Research Company
09.09.16,Hold,Cognizant Neutral,Wedbush Morgan Securities Inc.
12.07.16,Buy,Cognizant Overweight,Pacific Crest Securities Inc.
12.07.16,Hold,Cognizant Neutral,SunTrust
05.11.15,Buy,Cognizant Buy,"Monness, Crespi, Hardt & Co."
20.08.15,Buy,Cognizant overweight,Barclays Capital
11.08.15,Buy,Cognizant Buy,Argus Research Company
06.08.15,Buy,Cognizant Buy,"Needham & Company, LLC"
05.05.15,Buy,Cognizant Buy,"Needham & Company, LLC"
05.05.15,Buy,Cognizant Buy,"Monness, Crespi, Hardt & Co."
05.05.15,Buy,Cognizant Outperform,Oppenheimer & Co. Inc.
03.03.15,Buy,Cognizant Buy,Argus Research Company
02.03.15,Buy,Cognizant overweight,Barclays Capital
05.02.15,Buy,Cognizant Outperform,Oppenheimer & Co. Inc.
05.02.15,Buy,Cognizant Buy,"Needham & Company, LLC"
14.01.15,Buy,Cognizant Buy,"Monness, Crespi, Hardt & Co."
16.12.14,Buy,Cognizant Buy,Deutsche Bank AG
23.10.12,Buy,Cognizant outperform,Oppenheimer & Co. Inc.
07.08.12,Buy,Cognizant outperform,RBC Capital Markets
22.05.12,Buy,Cognizant overweight,Barclays Capital
09.05.12,Buy,Cognizant overweight,Barclays Capital
08.05.12,Buy,Cognizant outperform,Robert W. Baird & Co. Incorporated
08.05.12,Buy,Cognizant buy,"Needham & Company, LLC"
02.05.12,Buy,Cognizant overweight,Barclays Capital
20.03.12,Buy,Cognizant overweight,Barclays Capital
28.02.12,Buy,Cognizant outperform,RBC Capital Markets
06.02.12,Buy,Cognizant overweight,Barclays Capital
04.01.12,Buy,Cognizant buy,Nomura
01.12.11,Buy,Cognizant buy,Citigroup Corp.
04.11.11,Buy,Cognizant overweight,Barclays Capital
10.10.11,Buy,Cognizant buy,Deutsche Bank Securities
09.09.11,Buy,Cognizant buy,Citigroup Corp.
05.09.11,Hold,Cognizant neutral,Nomura
01.09.11,Buy,Cognizant strong buy,"Needham & Company, LLC"
04.08.11,Buy,Cognizant overweight,Barclays Capital
14.07.11,Buy,Cognizant buy,"Needham & Company, LLC"
27.05.11,Buy,Cognizant overweight,Barclays Capital
06.05.11,Hold,Cognizant kaufen,Nasd@q Inside
05.05.11,Hold,Cognizant overweight,Barclays Capital
04.05.11,Buy,Cognizant buy,UBS AG
15.03.11,Buy,Cognizant neutral,Robert W. Baird & Co. Incorporated
01.03.11,Buy,Cognizant buy,"Kaufman Bros., LP"
15.02.11,Buy,Cognizant outperform,Credit Suisse Group
09.02.11,Buy,Cognizant equal-weight,Barclays Capital
09.02.11,Buy,Cognizant buy,Goldman Sachs Group Inc.
08.02.11,Buy,Cognizant outperform,Oppenheimer & Co. Inc.
07.02.11,Buy,Cognizant equal-weight,Barclays Capital
24.01.11,Hold,Cognizant outperform,Credit Suisse Group
07.01.11,Buy,Cognizant buy,UBS AG
22.12.10,Buy,Cognizant buy,BB&T Capital Markets
03.11.10,Hold,Cognizant overweight,Barclays Capital
20.10.10,Hold,Cognizant outperform,Credit Suisse Group
21.09.10,Buy,Cognizant outperform,Oppenheimer & Co. Inc.
20.09.10,Hold,Cognizant buy,UBS AG
04.08.10,Buy,Cognizant outperform,Credit Suisse Group
04.08.10,Buy,Cognizant buy,"Kaufman Bros., LP"
03.08.10,Buy,Cognizant overweight,Barclays Capital
05.05.10,Buy,Cognizant kaufen,Barclays Capital
05.05.10,Buy,Cognizant kaufen,"Kaufman Bros., LP"
19.04.10,Buy,Cognizant kaufen,Credit Suisse Group
26.02.10,Buy,Cognizant kaufen,Der Aktionärsbrief
03.12.09,Buy,Cognizant overweight,Barclays Capital
10.11.09,Buy,Cognizant kaufen,Nasd@q Inside
04.11.09,Buy,Cognizant outperform,Credit Suisse Group
