Date,Buy/Sell/Hold,Name,Bank Name
13.11.18,Buy,Comcast overweight,Barclays Capital
02.10.18,Buy,Comcast Buy,Pivotal Research Group
06.04.18,Buy,Comcast Buy,Pivotal Research Group
27.10.17,Buy,Comcast overweight,Barclays Capital
27.10.17,Buy,Comcast Buy,Pivotal Research Group
01.05.17,Buy,Comcast Outperform,RBC Capital Markets
28.04.17,Buy,Comcast Outperform,Telsey Advisory Group
22.02.17,Buy,Comcast overweight,Barclays Capital
31.01.17,Buy,Comcast Outperform,RBC Capital Markets
27.01.17,Hold,Comcast Sector Weight,Pacific Crest Securities Inc.
26.01.17,Buy,Comcast Buy,Pivotal Research Group
24.01.17,Buy,Comcast Outperform,Telsey Advisory Group
13.01.17,Buy,Comcast Buy,Deutsche Bank AG
27.09.16,Buy,Comcast Buy,Pivotal Research Group
07.07.16,Buy,Comcast Buy,Pivotal Research Group
28.04.16,Buy,Comcast Outperform,RBC Capital Markets
29.02.16,Buy,Comcast overweight,Barclays Capital
21.12.15,Hold,Comcast Hold,Deutsche Bank AG
17.12.15,Buy,Comcast Buy,Pivotal Research Group
28.10.15,Buy,Comcast Outperform,RBC Capital Markets
16.09.15,Buy,Comcast Buy,Wunderlich
27.07.15,Buy,Comcast Outperform,RBC Capital Markets
24.07.15,Buy,Comcast Buy,UBS AG
24.07.15,Buy,Comcast Buy,Canaccord Adams
23.07.15,Buy,Comcast Buy,Pivotal Research Group
14.07.15,Hold,Comcast Hold,Deutsche Bank AG
14.07.15,Buy,Comcast Outperform,Telsey Advisory Group
01.07.15,Buy,Comcast Buy,Brean Capital
20.05.15,Buy,Comcast overweight,Barclays Capital
05.05.15,Buy,Comcast Buy,Brean Capital
25.02.15,Buy,Comcast Buy,Canaccord Adams
12.11.14,Hold,Comcast Hold,Maxim Group
30.10.12,Buy,Comcast buy,Nomura
30.10.12,Buy,Comcast outperform,"Raymond James Financial, Inc."
30.10.12,Hold,Comcast neutral,Credit Suisse Group
30.10.12,Hold,Comcast sector perform,RBC Capital Markets
29.10.12,Buy,Comcast buy,UBS AG
02.08.12,Buy,Comcast buy,UBS AG
31.07.12,Buy,Comcast buy,Deutsche Bank Securities
06.07.12,Buy,Comcast sector outperform,Scotia Capital Markets
03.05.12,Buy,Comcast buy,UBS AG
16.02.12,Buy,Comcast buy,UBS AG
24.01.12,Buy,Comcast buy,Nomura
06.12.11,Buy,Comcast buy,"Stifel, Nicolaus & Co., Inc."
05.12.11,Buy,Comcast buy,"Stifel, Nicolaus & Co., Inc."
03.11.11,Buy,Comcast outperform,"Sanford C. Bernstein and Co., Inc."
20.10.11,Buy,Comcast buy,Nomura
05.08.11,Buy,Comcast buy,Nomura
08.06.11,Buy,Comcast buy,Nomura
05.05.11,Hold,Comcast neutral,Credit Suisse Group
13.11.18,Buy,Comcast overweight,Barclays Capital
02.10.18,Buy,Comcast Buy,Pivotal Research Group
06.04.18,Buy,Comcast Buy,Pivotal Research Group
27.10.17,Buy,Comcast overweight,Barclays Capital
27.10.17,Buy,Comcast Buy,Pivotal Research Group
