Date,Buy/Sell/Hold,Name,Bank Name
20.09.18,Buy,Copart Buy,Gabelli & Co
24.11.17,Hold,Copart Hold,Gabelli & Co
23.09.16,Hold,Copart Mkt Perform,Barrington Research
05.04.16,Hold,Copart Hold,Gabelli & Co
29.11.12,Buy,Copart buy,BB&T Capital Markets
29.11.12,Buy,Copart buy,BB&T Capital Markets
31.10.12,Buy,Copart outperform,Robert W. Baird & Co. Incorporated
23.09.11,Buy,Copart outperform,Barrington Research
22.09.11,Hold,Copart sector perform,RBC Capital Markets
16.12.10,Hold,Copart sector perform,RBC Capital Markets
22.12.09,Buy,Copart overweight,Thomas Weisel Partners LLC
11.12.06,Hold,Copart Equal weight,Lehman Brothers
06.10.06,Hold,Copart Neutral,Robert W. Baird
30.05.06,Buy,Copart Outperform,Thomas Weisel Partners
29.09.05,Buy,Copart Outperform,Barrington Research
