Date,Buy/Sell/Hold,Name,Bank Name
09.04.19,Buy,Costco Wholesale Outperform,Telsey Advisory Group
05.09.18,Buy,Costco Wholesale Outperform,Telsey Advisory Group
07.08.18,Buy,Costco Wholesale Outperform,Telsey Advisory Group
01.06.18,Buy,Costco Wholesale Outperform,Telsey Advisory Group
08.03.18,Buy,Costco Wholesale Outperform,RBC Capital Markets
12.01.18,Buy,Costco Wholesale Outperform,Telsey Advisory Group
15.12.17,Buy,Costco Wholesale Outperform,Telsey Advisory Group
30.11.17,Buy,Costco Wholesale Buy,"Stifel, Nicolaus & Co., Inc."
14.07.17,Buy,Costco Wholesale Market Perform,BMO Capital Markets
23.06.17,Buy,Costco Wholesale Buy,"Stifel, Nicolaus & Co., Inc."
26.05.17,Buy,Costco Wholesale Buy,"Stifel, Nicolaus & Co., Inc."
09.05.17,Buy,Costco Wholesale Accumulate,Gordon Haskett
21.04.17,Buy,Costco Wholesale overweight,Barclays Capital
03.03.17,Hold,Costco Wholesale Equal weight,Barclays Capital
20.01.17,Buy,Costco Wholesale Buy,"Stifel, Nicolaus & Co., Inc."
05.01.17,Buy,Costco Wholesale Outperform,Telsey Advisory Group
08.12.16,Buy,Costco Wholesale Outperform,RBC Capital Markets
30.09.16,Buy,Costco Wholesale Outperform,RBC Capital Markets
27.05.16,Buy,Costco Wholesale Outperform,RBC Capital Markets
03.05.16,Buy,Costco Wholesale Outperform,RBC Capital Markets
31.03.16,Hold,Costco Wholesale Equal weight,Barclays Capital
04.03.16,Buy,Costco Wholesale Outperform,Telsey Advisory Group
10.12.15,Hold,Costco Wholesale Equal weight,Barclays Capital
10.12.15,Buy,Costco Wholesale Buy,Argus Research Company
03.12.15,Buy,Costco Wholesale Buy,Deutsche Bank AG
03.12.15,Buy,Costco Wholesale Buy,"Stifel, Nicolaus & Co., Inc."
09.11.15,Buy,Costco Wholesale Outperform,Telsey Advisory Group
26.10.15,Buy,Costco Wholesale Buy,UBS AG
23.10.15,Hold,Costco Wholesale Hold,Williams Capital
01.10.15,Buy,Costco Wholesale Outperform,Telsey Advisory Group
30.09.15,Hold,Costco Wholesale Hold,Deutsche Bank AG
10.07.15,Buy,Costco Wholesale Outperform,Oppenheimer & Co. Inc.
