Date,Buy/Sell/Hold,Name,Bank Name
02.08.18,Buy,DexCom Buy,Canaccord Adams
03.05.18,Buy,DexCom Buy,Canaccord Adams
23.03.18,Buy,DexCom Outperform,Robert W. Baird & Co. Incorporated
28.09.17,Buy,DexCom Outperform,Wedbush Morgan Securities Inc.
15.09.17,Hold,DexCom Equal weight,Barclays Capital
03.05.17,Buy,DexCom Buy,Canaccord Adams
02.11.16,Buy,DexCom Buy,Canaccord Adams
24.02.16,Buy,DexCom Buy,The Benchmark Company
06.08.15,Buy,DexCom Buy,Canaccord Adams
08.07.15,Buy,DexCom Outperform,Robert W. Baird & Co. Incorporated
30.04.15,Hold,DexCom Perform,Oppenheimer & Co. Inc.
27.01.15,Hold,DexCom Perform,Oppenheimer & Co. Inc.
24.10.06,Buy,DexCom Outperform,Piper Jaffray
