Date,Buy/Sell/Hold,Name,Bank Name
16.01.19,Buy,Diamondback Energy overweight,Barclays Capital
11.01.19,Buy,Diamondback Energy Outperform,BMO Capital Markets
20.12.18,Buy,Diamondback Energy Outperform,Imperial Capital
30.11.18,Buy,Diamondback Energy Outperform,"Cowen and Company, LLC"
20.08.18,Buy,Diamondback Energy Buy,Williams Capital
17.08.18,Buy,Diamondback Energy Market Perform,BMO Capital Markets
16.08.18,Buy,Diamondback Energy Outperform,Imperial Capital
10.08.18,Buy,Diamondback Energy Outperform,Imperial Capital
06.02.18,Hold,Diamondback Energy Neutral,"B. Riley FBR, Inc."
02.02.18,Buy,Diamondback Energy Buy,Deutsche Bank AG
18.10.17,Hold,Diamondback Energy Hold,Williams Capital
11.10.17,Hold,Diamondback Energy Equal weight,Barclays Capital
03.10.17,Hold,Diamondback Energy Hold,Williams Capital
18.08.17,Buy,Diamondback Energy Outperform,BMO Capital Markets
18.07.17,Buy,Diamondback Energy Outperform,Imperial Capital
13.04.17,Buy,Diamondback Energy Buy,"Stifel, Nicolaus & Co., Inc."
23.03.17,Hold,Diamondback Energy Neutral,UBS AG
11.10.16,Buy,Diamondback Energy Buy,Wunderlich
10.10.16,Hold,Diamondback Energy Hold,Williams Capital
06.10.16,Buy,Diamondback Energy Buy,Mizuho
14.07.16,Buy,Diamondback Energy Buy,Wunderlich
05.05.16,Buy,Diamondback Energy Buy,Wunderlich
04.05.16,Buy,Diamondback Energy Buy,Topeka Capital Markets
14.01.16,Buy,Diamondback Energy Buy,Wunderlich
13.01.16,Buy,Diamondback Energy Sector Outperform,Scotia Howard Weil
13.01.16,Buy,Diamondback Energy Buy,Topeka Capital Markets
02.12.15,Buy,Diamondback Energy Buy,Deutsche Bank AG
17.11.15,Buy,Diamondback Energy Buy,"ROTH Capital Partners, LLC"
05.11.15,Buy,Diamondback Energy Outperform,Northland Capital
04.11.15,Buy,Diamondback Energy Buy,Topeka Capital Markets
06.10.15,Buy,Diamondback Energy Buy,Topeka Capital Markets
07.08.15,Buy,Diamondback Energy Outperform,Northland Capital
14.07.15,Buy,Diamondback Energy Buy,Topeka Capital Markets
04.06.15,Hold,Diamondback Energy Perform,Oppenheimer & Co. Inc.
13.05.15,Buy,Diamondback Energy Buy,"ROTH Capital Partners, LLC"
08.05.15,Buy,Diamondback Energy Outperform,Northland Capital
08.05.15,Buy,Diamondback Energy Buy,Wunderlich
07.05.15,Buy,Diamondback Energy Buy,Topeka Capital Markets
08.04.15,Buy,Diamondback Energy Buy,Topeka Capital Markets
17.03.15,Buy,Diamondback Energy Buy,Global Hunter Securities
