Date,Buy/Sell/Hold,Name,Bank Name
05.08.19,Hold,Dollar Tree Hold,Deutsche Bank AG
31.05.19,Buy,Dollar Tree Market Perform,BMO Capital Markets
20.03.19,Buy,Dollar Tree Outperform,Telsey Advisory Group
07.03.19,Buy,Dollar Tree Market Perform,Telsey Advisory Group
11.01.19,Buy,Dollar Tree Market Perform,BMO Capital Markets
31.08.18,Buy,Dollar Tree Market Perform,Telsey Advisory Group
01.06.18,Buy,Dollar Tree Outperform,Telsey Advisory Group
08.03.18,Buy,Dollar Tree Outperform,Telsey Advisory Group
22.11.17,Buy,Dollar Tree Top Pick,RBC Capital Markets
22.11.17,Buy,Dollar Tree Outperform,Telsey Advisory Group
25.08.17,Buy,Dollar Tree Outperform,Telsey Advisory Group
09.05.17,Buy,Dollar Tree Buy,Gordon Haskett
02.03.17,Buy,Dollar Tree Top Pick,RBC Capital Markets
01.03.17,Buy,Dollar Tree Outperform,Telsey Advisory Group
07.12.16,Hold,Dollar Tree Hold,Loop Capital
23.09.16,Hold,Dollar Tree Equal weight,Barclays Capital
27.05.16,Buy,Dollar Tree Top Pick,RBC Capital Markets
27.05.16,Buy,Dollar Tree Outperform,Telsey Advisory Group
24.05.16,Buy,Dollar Tree Buy,Topeka Capital Markets
02.03.16,Buy,Dollar Tree Buy,MKM Partners
04.12.15,Buy,Dollar Tree Top Pick,RBC Capital Markets
25.11.15,Buy,Dollar Tree Outperform,RBC Capital Markets
04.09.15,Buy,Dollar Tree Market Perform,BMO Capital Markets
02.09.15,Hold,Dollar Tree Hold,Deutsche Bank AG
02.09.15,Buy,Dollar Tree Buy,UBS AG
02.09.15,Buy,Dollar Tree Buy,MKM Partners
14.08.15,Hold,Dollar Tree Hold,Deutsche Bank AG
06.08.15,Buy,Dollar Tree Outperform,RBC Capital Markets
26.02.15,Buy,Dollar Tree Buy,UBS AG
26.02.15,Buy,Dollar Tree Hold,"Stifel, Nicolaus & Co., Inc."
26.02.15,Buy,Dollar Tree Outperform,RBC Capital Markets
26.02.15,Buy,Dollar Tree Market Perform,Telsey Advisory Group
26.02.15,Hold,Dollar Tree Mkt Perform,FBR Capital
25.02.15,Hold,Dollar Tree Hold,BB&T Capital Markets
17.02.15,Buy,Dollar Tree Buy,"Stifel, Nicolaus & Co., Inc."
23.01.15,Buy,Dollar Tree Buy,MKM Partners
22.01.15,Buy,Dollar Tree Market Perform,Telsey Advisory Group
15.01.15,Hold,Dollar Tree Hold,Deutsche Bank AG
16.12.14,Hold,Dollar Tree Hold,Deutsche Bank AG
20.11.14,Buy,Dollar Tree Market Perform,Telsey Advisory Group
19.11.14,Hold,Dollar Tree Hold,Canaccord Adams
18.11.14,Buy,Dollar Tree Buy,MKM Partners
17.10.14,Buy,Dollar Tree Buy,"Stifel, Nicolaus & Co., Inc."
19.11.12,Hold,Dollar Tree neutral,Nomura
16.11.12,Buy,Dollar Tree outperform,RBC Capital Markets
07.11.12,Buy,Dollar Tree outperform,RBC Capital Markets
16.10.12,Hold,Dollar Tree neutral,Nomura
15.10.12,Buy,Dollar Tree outperform,RBC Capital Markets
16.08.12,Buy,Dollar Tree outperform,RBC Capital Markets
29.06.12,Hold,Dollar Tree equal-weight,Barclays Capital
05.08.19,Hold,Dollar Tree Hold,Deutsche Bank AG
31.05.19,Buy,Dollar Tree Market Perform,BMO Capital Markets
20.03.19,Buy,Dollar Tree Outperform,Telsey Advisory Group
07.03.19,Buy,Dollar Tree Market Perform,Telsey Advisory Group
11.01.19,Buy,Dollar Tree Market Perform,BMO Capital Markets
31.08.18,Buy,Dollar Tree Market Perform,Telsey Advisory Group
01.06.18,Buy,Dollar Tree Outperform,Telsey Advisory Group
08.03.18,Buy,Dollar Tree Outperform,Telsey Advisory Group
22.11.17,Buy,Dollar Tree Top Pick,RBC Capital Markets
22.11.17,Buy,Dollar Tree Outperform,Telsey Advisory Group
25.08.17,Buy,Dollar Tree Outperform,Telsey Advisory Group
09.05.17,Buy,Dollar Tree Buy,Gordon Haskett
02.03.17,Buy,Dollar Tree Top Pick,RBC Capital Markets
01.03.17,Buy,Dollar Tree Outperform,Telsey Advisory Group
07.12.16,Hold,Dollar Tree Hold,Loop Capital
23.09.16,Hold,Dollar Tree Equal weight,Barclays Capital
27.05.16,Buy,Dollar Tree Top Pick,RBC Capital Markets
27.05.16,Buy,Dollar Tree Outperform,Telsey Advisory Group
24.05.16,Buy,Dollar Tree Buy,Topeka Capital Markets
02.03.16,Buy,Dollar Tree Buy,MKM Partners
04.12.15,Buy,Dollar Tree Top Pick,RBC Capital Markets
25.11.15,Buy,Dollar Tree Outperform,RBC Capital Markets
04.09.15,Buy,Dollar Tree Market Perform,BMO Capital Markets
02.09.15,Hold,Dollar Tree Hold,Deutsche Bank AG
02.09.15,Buy,Dollar Tree Buy,UBS AG
02.09.15,Buy,Dollar Tree Buy,MKM Partners
14.08.15,Hold,Dollar Tree Hold,Deutsche Bank AG
06.08.15,Buy,Dollar Tree Outperform,RBC Capital Markets
26.02.15,Buy,Dollar Tree Buy,UBS AG
26.02.15,Buy,Dollar Tree Hold,"Stifel, Nicolaus & Co., Inc."
26.02.15,Buy,Dollar Tree Outperform,RBC Capital Markets
26.02.15,Buy,Dollar Tree Market Perform,Telsey Advisory Group
