Date,Buy/Sell/Hold,Name,Bank Name
31.07.19,Buy,Electronic Arts Buy,"Needham & Company, LLC"
31.07.19,Buy,Electronic Arts Outperform,"Cowen and Company, LLC"
02.07.19,Buy,Electronic Arts Outperform,BMO Capital Markets
08.05.19,Buy,Electronic Arts Buy,The Benchmark Company
06.02.19,Buy,Electronic Arts Buy,The Benchmark Company
22.01.19,Hold,Electronic Arts Hold,Deutsche Bank AG
14.12.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
31.08.18,Buy,Electronic Arts Buy,The Benchmark Company
31.08.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
27.07.18,Buy,Electronic Arts Outperform,Wedbush Morgan Securities Inc.
22.06.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
01.02.18,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
31.01.18,Buy,Electronic Arts Buy,The Benchmark Company
31.01.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
26.01.18,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
18.12.17,Hold,Electronic Arts Neutral,BTIG Research
04.10.17,Buy,Electronic Arts overweight,Barclays Capital
13.09.17,Buy,Electronic Arts Buy,The Benchmark Company
18.07.17,Buy,Electronic Arts Buy,"Needham & Company, LLC"
26.04.17,Buy,Electronic Arts Overweight,Pacific Crest Securities Inc.
01.02.17,Buy,Electronic Arts Buy,The Benchmark Company
01.02.17,Hold,Electronic Arts Neutral,Mizuho
08.12.16,Buy,Electronic Arts Buy,The Benchmark Company
02.11.16,Buy,Electronic Arts Buy,The Benchmark Company
02.11.16,Hold,Electronic Arts Neutral,Mizuho
26.10.16,Hold,Electronic Arts Neutral,Wedbush Morgan Securities Inc.
17.10.16,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
12.09.16,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
23.05.16,Buy,Electronic Arts Buy,The Benchmark Company
12.05.16,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
11.05.16,Buy,Electronic Arts Buy,The Benchmark Company
29.04.16,Buy,Electronic Arts Market Perform,BMO Capital Markets
12.11.15,Buy,Electronic Arts Outperform,Oppenheimer & Co. Inc.
30.10.15,Buy,Electronic Arts Buy,MKM Partners
30.10.15,Buy,Electronic Arts Buy,Mizuho
26.10.15,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
14.10.15,Buy,Electronic Arts Buy,MKM Partners
31.07.15,Buy,Electronic Arts overweight,Barclays Capital
28.07.15,Buy,Electronic Arts Buy,Brean Capital
27.07.15,Hold,Electronic Arts Neutral,MKM Partners
07.07.15,Buy,Electronic Arts Buy,UBS AG
26.06.15,Buy,Electronic Arts Buy,Mizuho
24.06.15,Buy,Electronic Arts Buy,Brean Capital
06.05.15,Hold,Electronic Arts Neutral,UBS AG
06.05.15,Hold,Electronic Arts Neutral,MKM Partners
06.05.15,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
06.05.15,Buy,Electronic Arts Buy,Brean Capital
10.03.15,Hold,Electronic Arts Hold,"Needham & Company, LLC"
28.01.15,Hold,Electronic Arts Neutral,UBS AG
28.01.15,Buy,Electronic Arts overweight,Barclays Capital
31.07.19,Buy,Electronic Arts Buy,"Needham & Company, LLC"
31.07.19,Buy,Electronic Arts Outperform,"Cowen and Company, LLC"
02.07.19,Buy,Electronic Arts Outperform,BMO Capital Markets
08.05.19,Buy,Electronic Arts Buy,The Benchmark Company
06.02.19,Buy,Electronic Arts Buy,The Benchmark Company
22.01.19,Hold,Electronic Arts Hold,Deutsche Bank AG
14.12.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
31.08.18,Buy,Electronic Arts Buy,The Benchmark Company
31.08.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
27.07.18,Buy,Electronic Arts Outperform,Wedbush Morgan Securities Inc.
22.06.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
01.02.18,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
31.01.18,Buy,Electronic Arts Buy,The Benchmark Company
31.01.18,Buy,Electronic Arts Buy,"Needham & Company, LLC"
26.01.18,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
18.12.17,Hold,Electronic Arts Neutral,BTIG Research
04.10.17,Buy,Electronic Arts overweight,Barclays Capital
13.09.17,Buy,Electronic Arts Buy,The Benchmark Company
18.07.17,Buy,Electronic Arts Buy,"Needham & Company, LLC"
26.04.17,Buy,Electronic Arts Overweight,Pacific Crest Securities Inc.
01.02.17,Buy,Electronic Arts Buy,The Benchmark Company
01.02.17,Hold,Electronic Arts Neutral,Mizuho
08.12.16,Buy,Electronic Arts Buy,The Benchmark Company
02.11.16,Buy,Electronic Arts Buy,The Benchmark Company
02.11.16,Hold,Electronic Arts Neutral,Mizuho
26.10.16,Hold,Electronic Arts Neutral,Wedbush Morgan Securities Inc.
17.10.16,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
12.09.16,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
23.05.16,Buy,Electronic Arts Buy,The Benchmark Company
12.05.16,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
11.05.16,Buy,Electronic Arts Buy,The Benchmark Company
29.04.16,Buy,Electronic Arts Market Perform,BMO Capital Markets
12.11.15,Buy,Electronic Arts Outperform,Oppenheimer & Co. Inc.
30.10.15,Buy,Electronic Arts Buy,MKM Partners
30.10.15,Buy,Electronic Arts Buy,Mizuho
26.10.15,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
14.10.15,Buy,Electronic Arts Buy,MKM Partners
31.07.15,Buy,Electronic Arts overweight,Barclays Capital
28.07.15,Buy,Electronic Arts Buy,Brean Capital
27.07.15,Hold,Electronic Arts Neutral,MKM Partners
07.07.15,Buy,Electronic Arts Buy,UBS AG
26.06.15,Buy,Electronic Arts Buy,Mizuho
24.06.15,Buy,Electronic Arts Buy,Brean Capital
06.05.15,Hold,Electronic Arts Neutral,UBS AG
06.05.15,Hold,Electronic Arts Neutral,MKM Partners
06.05.15,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
06.05.15,Buy,Electronic Arts Buy,Brean Capital
10.03.15,Hold,Electronic Arts Hold,"Needham & Company, LLC"
28.01.15,Hold,Electronic Arts Neutral,UBS AG
28.01.15,Buy,Electronic Arts overweight,Barclays Capital
28.01.15,Buy,Electronic Arts Buy,"Stifel, Nicolaus & Co., Inc."
28.01.15,Buy,Electronic Arts Buy,Brean Capital
26.01.15,Buy,Electronic Arts Neutral,MKM Partners
26.01.15,Buy,Electronic Arts Buy,"Needham & Company, LLC"
