Date,Buy/Sell/Hold,Name,Bank Name
31.07.19,Buy,Enphase Energy Buy,H.C. Wainwright & Co.
20.06.19,Hold,Enphase Energy Neutral,H.C. Wainwright & Co.
12.06.19,Buy,Enphase Energy Buy,B. Riley FBR
28.02.19,Buy,Enphase Energy Buy,H.C. Wainwright & Co.
05.06.18,Buy,Enphase Energy Buy,Craig Hallum
16.05.18,Buy,Enphase Energy Buy,H.C. Wainwright & Co.
27.03.18,Buy,Enphase Energy Buy,"B. Riley FBR, Inc."
20.11.17,Buy,Enphase Energy Buy,Craig Hallum
20.06.17,Hold,Enphase Energy Hold,Deutsche Bank AG
16.12.15,Buy,Enphase Energy Buy,"ROTH Capital Partners, LLC"
18.11.15,Hold,Enphase Energy Neutral,"ROTH Capital Partners, LLC"
04.11.15,Sell,Enphase Energy Sell,Deutsche Bank AG
04.11.15,Buy,Enphase Energy Outperform,Oppenheimer & Co. Inc.
04.11.15,Hold,Enphase Energy Hold,"Needham & Company, LLC"
02.11.15,Buy,Enphase Energy Buy,"ROTH Capital Partners, LLC"
20.10.15,Sell,Enphase Energy Sell,Deutsche Bank AG
15.09.15,Buy,Enphase Energy Strong Buy,"Needham & Company, LLC"
09.09.15,Buy,Enphase Energy Outperform,Oppenheimer & Co. Inc.
05.08.15,Buy,Enphase Energy Strong Buy,"Needham & Company, LLC"
23.07.15,Hold,Enphase Energy Neutral,Dougherty & Company LLC
17.07.15,Buy,Enphase Energy Outperform,Northland Capital
16.07.15,Buy,Enphase Energy Strong Buy,"Needham & Company, LLC"
19.05.15,Buy,Enphase Energy Strong Buy,"Needham & Company, LLC"
06.05.15,Buy,Enphase Energy Buy,Canaccord Adams
06.05.15,Buy,Enphase Energy Outperform,Northland Capital
18.02.15,Buy,Enphase Energy Outperform,Northland Capital
06.11.14,Hold,Enphase Energy In-line,Imperial Capital
