Date,Buy/Sell/Hold,Name,Bank Name
13.08.19,Buy,Exelon overweight,Barclays Capital
24.07.18,Buy,Exelon Sector Outperform,Scotia Howard Weil
23.01.18,Hold,Exelon Neutral,Mizuho
15.05.17,Buy,Exelon Buy,UBS AG
13.10.16,Hold,Exelon Neutral,UBS AG
24.03.16,Buy,Exelon overweight,Barclays Capital
07.03.16,Buy,Exelon Buy,Argus Research Company
13.01.16,Hold,Exelon Neutral,UBS AG
17.11.15,Hold,Exelon Sector Perform,Scotia Howard Weil
26.08.15,Hold,Exelon Neutral,UBS AG
30.04.15,Buy,Exelon Buy,Deutsche Bank AG
09.01.15,Buy,Exelon Outperform,RBC Capital Markets
02.01.13,Hold,Exelon halten,UBS AG
26.11.12,Buy,Exelon buy,Deutsche Bank Securities
08.11.12,Hold,Exelon neutral,UBS AG
02.11.12,Sell,Exelon sell,UBS AG
05.10.12,Buy,Exelon outperform,RBC Capital Markets
12.09.12,Sell,Exelon sell,UBS AG
12.04.12,Buy,Exelon outperform,RBC Capital Markets
27.01.12,Hold,Exelon neutral,UBS AG
14.10.11,Buy,Exelon outperform,RBC Capital Markets
05.10.11,Buy,Exelon buy,Citigroup Corp.
28.07.11,Buy,Exelon outperform,RBC Capital Markets
30.06.11,Hold,Exelon neutral,UBS AG
24.06.11,Buy,Exelon outperform,RBC Capital Markets
16.05.11,Hold,Exelon neutral,UBS AG
13.12.10,Buy,Exelon buy,Jefferies & Company Inc.
26.10.10,Hold,Exelon equal-weight,Barclays Capital
03.09.10,Hold,Exelon equal-weight,Barclays Capital
02.09.10,Buy,Exelon outperform,RBC Capital Markets
26.07.10,Hold,Exelon equal-weight,Barclays Capital
21.04.10,Hold,Exelon halten,"Soleil Securities Group, Inc."
26.10.09,Hold,Exelon hold,Jefferies & Company Inc.
27.07.09,Hold,Exelon hold,Jefferies & Company Inc.
27.07.09,Hold,Exelon equal-weight,Barclays Capital
03.07.09,Buy,Exelon,boerse.de-Aktienbrief
11.07.08,Buy,Exelon,Der Aktionärsbrief
20.05.08,Buy,Exelon outperform,Credit Suisse Group
10.01.08,Buy,Exelon,Focus Money
30.10.07,Buy,Exelon overweight,Lehman Brothers Inc.
06.02.07,Buy,Exelon buy,Deutsche Securities
27.09.06,Buy,Exelon Overweight,HSBC Securities
07.08.06,Buy,Exelon Buy,Matrix Research
20.06.06,Hold,Exelon neutral,Banc of America Sec.
17.10.05,Buy,Exelon buy,KeyBanc Capital Markets / McDonald
17.10.05,Buy,Exelon Buy,KeyBanc Capital Markets / McDonald
06.09.05,Buy,Exelon Outperform,Wachovia Sec
02.09.05,Hold,Exelon hold,KeyBanc Capital Markets / McDonald
01.09.05,Hold,Exelon Hold,KeyBanc Capital Markets / McDonald
01.09.05,Hold,Exelon Hold,KeyBanc Capital Markets / McDonald
13.08.19,Buy,Exelon overweight,Barclays Capital
24.07.18,Buy,Exelon Sector Outperform,Scotia Howard Weil
23.01.18,Hold,Exelon Neutral,Mizuho
15.05.17,Buy,Exelon Buy,UBS AG
13.10.16,Hold,Exelon Neutral,UBS AG
24.03.16,Buy,Exelon overweight,Barclays Capital
07.03.16,Buy,Exelon Buy,Argus Research Company
13.01.16,Hold,Exelon Neutral,UBS AG
17.11.15,Hold,Exelon Sector Perform,Scotia Howard Weil
26.08.15,Hold,Exelon Neutral,UBS AG
30.04.15,Buy,Exelon Buy,Deutsche Bank AG
09.01.15,Buy,Exelon Outperform,RBC Capital Markets
02.01.13,Hold,Exelon halten,UBS AG
26.11.12,Buy,Exelon buy,Deutsche Bank Securities
08.11.12,Hold,Exelon neutral,UBS AG
02.11.12,Sell,Exelon sell,UBS AG
05.10.12,Buy,Exelon outperform,RBC Capital Markets
12.09.12,Sell,Exelon sell,UBS AG
12.04.12,Buy,Exelon outperform,RBC Capital Markets
27.01.12,Hold,Exelon neutral,UBS AG
14.10.11,Buy,Exelon outperform,RBC Capital Markets
05.10.11,Buy,Exelon buy,Citigroup Corp.
28.07.11,Buy,Exelon outperform,RBC Capital Markets
30.06.11,Hold,Exelon neutral,UBS AG
24.06.11,Buy,Exelon outperform,RBC Capital Markets
16.05.11,Hold,Exelon neutral,UBS AG
13.12.10,Buy,Exelon buy,Jefferies & Company Inc.
26.10.10,Hold,Exelon equal-weight,Barclays Capital
03.09.10,Hold,Exelon equal-weight,Barclays Capital
02.09.10,Buy,Exelon outperform,RBC Capital Markets
26.07.10,Hold,Exelon equal-weight,Barclays Capital
21.04.10,Hold,Exelon halten,"Soleil Securities Group, Inc."
26.10.09,Hold,Exelon hold,Jefferies & Company Inc.
27.07.09,Hold,Exelon hold,Jefferies & Company Inc.
27.07.09,Hold,Exelon equal-weight,Barclays Capital
03.07.09,Buy,Exelon,boerse.de-Aktienbrief
11.07.08,Buy,Exelon,Der Aktionärsbrief
20.05.08,Buy,Exelon outperform,Credit Suisse Group
10.01.08,Buy,Exelon,Focus Money
30.10.07,Buy,Exelon overweight,Lehman Brothers Inc.
06.02.07,Buy,Exelon buy,Deutsche Securities
27.09.06,Buy,Exelon Overweight,HSBC Securities
07.08.06,Buy,Exelon Buy,Matrix Research
20.06.06,Hold,Exelon neutral,Banc of America Sec.
17.10.05,Buy,Exelon buy,KeyBanc Capital Markets / McDonald
17.10.05,Buy,Exelon Buy,KeyBanc Capital Markets / McDonald
06.09.05,Buy,Exelon Outperform,Wachovia Sec
02.09.05,Hold,Exelon hold,KeyBanc Capital Markets / McDonald
01.09.05,Hold,Exelon Hold,KeyBanc Capital Markets / McDonald
01.09.05,Hold,Exelon Hold,KeyBanc Capital Markets / McDonald
26.08.05,Buy,Exelon buy,A.G. Edwards & Sons
25.08.05,Buy,Exelon Buy,AG Edwards
26.05.05,Hold,Exelon In-Line,Goldman Sachs
12.01.05,Buy,Exelon Outperform,Bernstein
