Date,Buy/Sell/Hold,Name,Bank Name
06.07.18,Buy,Fastenal Market Perform,BMO Capital Markets
03.07.18,Hold,Fastenal Neutral,Robert W. Baird & Co. Incorporated
14.07.17,Hold,Fastenal No Rating at Time,BMO Capital Markets
12.07.17,Buy,Fastenal Outperform,Robert W. Baird & Co. Incorporated
18.04.17,Buy,Fastenal Buy,Argus Research Company
19.01.17,Buy,Fastenal Hold,"Stifel, Nicolaus & Co., Inc."
14.10.16,Hold,Fastenal Hold,Argus Research Company
08.04.16,Sell,Fastenal Underweight,Barclays Capital
08.04.16,Buy,Fastenal Market Perform,BMO Capital Markets
01.04.16,Buy,Fastenal Hold,"Stifel, Nicolaus & Co., Inc."
17.03.16,Buy,Fastenal Buy,"Stifel, Nicolaus & Co., Inc."
08.03.16,Buy,Fastenal Buy,Argus Research Company
14.10.15,Buy,Fastenal Buy,"Stifel, Nicolaus & Co., Inc."
24.08.15,Hold,Fastenal Neutral,Robert W. Baird & Co. Incorporated
12.12.14,Buy,Fastenal Buy,"Stifel, Nicolaus & Co., Inc."
12.10.12,Hold,Fastenal neutral,UBS AG
06.03.12,Hold,Fastenal neutral,UBS AG
06.10.11,Hold,Fastenal neutral,Robert W. Baird & Co. Incorporated
07.07.11,Hold,Fastenal hold,BB&T Capital Markets
11.10.05,Buy,Fastenal,BörseGo
06.07.05,Hold,Fastenal Neutral,Robert W. Baird
14.06.05,Buy,Fastenal Outperform,Morgan Keegan
06.06.05,Hold,Fastenal Market Perform,Piper Jaffray
14.04.05,Hold,Fastenal Market Perform,Morgan Keegan
14.04.05,Hold,Fastenal Market Perform,Morgan Keegan
