Date,Buy/Sell/Hold,Name,Bank Name
31.07.19,Buy,Fiserv Buy,Deutsche Bank AG
04.08.17,Buy,Fiserv Market Perform,BMO Capital Markets
02.08.17,Hold,Fiserv Sector Perform,RBC Capital Markets
03.04.17,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
09.01.17,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
06.01.17,Buy,Fiserv Market Perform,BMO Capital Markets
18.11.16,Hold,Fiserv Sector Weight,Pacific Crest Securities Inc.
28.10.16,Buy,Fiserv Outperform,Robert W. Baird & Co. Incorporated
04.10.16,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
09.09.16,Buy,Fiserv Outperform,Wedbush Morgan Securities Inc.
07.07.16,Hold,Fiserv Equal weight,Barclays Capital
15.04.16,Sell,Fiserv Sell,Compass Point
28.10.15,Hold,Fiserv Equal weight,Barclays Capital
28.10.15,Buy,Fiserv Outperform,Oppenheimer & Co. Inc.
28.10.15,Hold,Fiserv Hold,Topeka Capital Markets
30.07.15,Hold,Fiserv Equal weight,Barclays Capital
30.07.15,Hold,Fiserv Sector Perform,RBC Capital Markets
19.06.15,Buy,Fiserv Outperform,Oppenheimer & Co. Inc.
07.05.15,Hold,Fiserv Hold,Argus Research Company
06.05.15,Hold,Fiserv Sector Perform,RBC Capital Markets
23.02.15,Hold,Fiserv Neutral,"Monness, Crespi, Hardt & Co."
06.02.15,Buy,Fiserv Buy,Argus Research Company
06.02.15,Buy,Fiserv Market Perform,BMO Capital Markets
04.02.15,Hold,Fiserv Hold,Deutsche Bank AG
04.02.15,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
21.11.14,Hold,Fiserv Hold,Topeka Capital Markets
16.09.14,Buy,Fiserv Buy,Argus Research Company
10.12.12,Buy,Fiserv buy,Jefferies & Company Inc.
09.10.12,Hold,Fiserv sector perform,RBC Capital Markets
31.07.12,Hold,Fiserv sector perform,RBC Capital Markets
11.07.12,Buy,Fiserv outperform,Oppenheimer & Co. Inc.
03.05.12,Hold,Fiserv sector perform,RBC Capital Markets
06.02.12,Hold,Fiserv sector perform,RBC Capital Markets
02.11.11,Hold,Fiserv sector perform,RBC Capital Markets
13.10.11,Buy,Fiserv buy,D.A. Davidson & Co.
10.10.11,Hold,Fiserv hold,Deutsche Bank Securities
03.08.11,Buy,Fiserv outperform,Robert W. Baird & Co. Incorporated
01.07.11,Buy,Fiserv buy,Citigroup Corp.
29.04.11,Hold,Fiserv equal-weight,Barclays Capital
29.04.11,Hold,Fiserv neutral,Credit Suisse Group
04.02.11,Hold,Fiserv sector perform,RBC Capital Markets
04.02.11,Hold,Fiserv neutral,Credit Suisse Group
31.01.11,Hold,Fiserv equal-weight,Barclays Capital
07.01.11,Buy,Fiserv outperform,Oppenheimer & Co. Inc.
05.01.11,Hold,Fiserv equal-weight,Barclays Capital
20.12.10,Hold,Fiserv neutral,Robert W. Baird & Co. Incorporated
27.10.10,Hold,Fiserv sector perform,RBC Capital Markets
27.10.10,Hold,Fiserv sector perform,RBC Capital Markets
27.10.10,Hold,Fiserv neutral,Credit Suisse Group
08.10.10,Hold,Fiserv equal-weight,Barclays Capital
31.07.19,Buy,Fiserv Buy,Deutsche Bank AG
04.08.17,Buy,Fiserv Market Perform,BMO Capital Markets
02.08.17,Hold,Fiserv Sector Perform,RBC Capital Markets
03.04.17,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
09.01.17,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
06.01.17,Buy,Fiserv Market Perform,BMO Capital Markets
18.11.16,Hold,Fiserv Sector Weight,Pacific Crest Securities Inc.
28.10.16,Buy,Fiserv Outperform,Robert W. Baird & Co. Incorporated
04.10.16,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
09.09.16,Buy,Fiserv Outperform,Wedbush Morgan Securities Inc.
07.07.16,Hold,Fiserv Equal weight,Barclays Capital
15.04.16,Sell,Fiserv Sell,Compass Point
28.10.15,Hold,Fiserv Equal weight,Barclays Capital
28.10.15,Buy,Fiserv Outperform,Oppenheimer & Co. Inc.
28.10.15,Hold,Fiserv Hold,Topeka Capital Markets
30.07.15,Hold,Fiserv Equal weight,Barclays Capital
30.07.15,Hold,Fiserv Sector Perform,RBC Capital Markets
19.06.15,Buy,Fiserv Outperform,Oppenheimer & Co. Inc.
07.05.15,Hold,Fiserv Hold,Argus Research Company
06.05.15,Hold,Fiserv Sector Perform,RBC Capital Markets
23.02.15,Hold,Fiserv Neutral,"Monness, Crespi, Hardt & Co."
06.02.15,Buy,Fiserv Buy,Argus Research Company
06.02.15,Buy,Fiserv Market Perform,BMO Capital Markets
04.02.15,Hold,Fiserv Hold,Deutsche Bank AG
04.02.15,Buy,Fiserv Buy,"Monness, Crespi, Hardt & Co."
21.11.14,Hold,Fiserv Hold,Topeka Capital Markets
16.09.14,Buy,Fiserv Buy,Argus Research Company
10.12.12,Buy,Fiserv buy,Jefferies & Company Inc.
09.10.12,Hold,Fiserv sector perform,RBC Capital Markets
31.07.12,Hold,Fiserv sector perform,RBC Capital Markets
11.07.12,Buy,Fiserv outperform,Oppenheimer & Co. Inc.
03.05.12,Hold,Fiserv sector perform,RBC Capital Markets
06.02.12,Hold,Fiserv sector perform,RBC Capital Markets
02.11.11,Hold,Fiserv sector perform,RBC Capital Markets
13.10.11,Buy,Fiserv buy,D.A. Davidson & Co.
10.10.11,Hold,Fiserv hold,Deutsche Bank Securities
03.08.11,Buy,Fiserv outperform,Robert W. Baird & Co. Incorporated
01.07.11,Buy,Fiserv buy,Citigroup Corp.
29.04.11,Hold,Fiserv equal-weight,Barclays Capital
29.04.11,Hold,Fiserv neutral,Credit Suisse Group
04.02.11,Hold,Fiserv sector perform,RBC Capital Markets
04.02.11,Hold,Fiserv neutral,Credit Suisse Group
31.01.11,Hold,Fiserv equal-weight,Barclays Capital
07.01.11,Buy,Fiserv outperform,Oppenheimer & Co. Inc.
05.01.11,Hold,Fiserv equal-weight,Barclays Capital
20.12.10,Hold,Fiserv neutral,Robert W. Baird & Co. Incorporated
27.10.10,Hold,Fiserv sector perform,RBC Capital Markets
27.10.10,Hold,Fiserv sector perform,RBC Capital Markets
27.10.10,Hold,Fiserv neutral,Credit Suisse Group
08.10.10,Hold,Fiserv equal-weight,Barclays Capital
06.10.10,Buy,Fiserv neutral,Credit Suisse Group
28.07.10,Buy,Fiserv hold,"Kaufman Bros., LP"
19.07.10,Hold,Fiserv buy,D.A. Davidson & Co.
17.12.09,Buy,Fiserv outperform,Credit Suisse Group
06.11.09,Buy,Fiserv,boerse.de-Aktienbrief
26.08.09,Buy,Fiserv buy,Citigroup Corp.
08.06.09,Hold,Fiserv outperform,Credit Suisse Group
15.04.09,Buy,Fiserv sector perform,RBC Capital Markets
07.04.09,Buy,Fiserv equal weight,Barclays Capital
02.04.09,Buy,Fiserv market perform,JMP Securities LLC
26.09.08,Hold,Fiserv,boerse.de-Aktienbrief
11.01.08,Sell,Fiserv,PROFIT-Report
05.11.07,Hold,Fiserv buy,DA Davidson
03.10.07,Buy,Fiserv sector outperform,CIBC World Markets Inc.
18.06.07,Hold,Fiserv sector perform,CIBC World Markets
30.05.07,Hold,Fiserv outperform,Cowen & Co
01.02.07,Hold,Fiserv Neutral,Goldman Sachs
03.01.07,Buy,Fiserv hold,A.G. Edwards & Sons
03.01.07,Hold,Fiserv Hold,AG Edwards
25.10.06,Hold,Fiserv Market Perform,"Friedman, Billings Ramsey & Co"
28.09.06,Hold,Fiserv Buy,AG Edwards
02.06.06,Buy,Fiserv outperform,Goldman Sachs
26.04.06,Buy,Fiserv Buy,AG Edwards
05.12.05,Hold,Fiserv Equal-weight,Morgan Stanley
21.10.05,Buy,Fiserv Underperform,Wachovia Sec
06.10.05,Hold,Fiserv Sector Perform,CIBC World Markets
22.08.05,Buy,Fiserv neutral,Robert W. Baird
22.08.05,Buy,Fiserv Neutral,Robert W. Baird
25.07.05,Hold,Fiserv Hold,Legg Mason
22.07.05,Hold,Fiserv Market Perform,Wachovia Sec
01.03.05,Buy,Fiserv Neutral,JP Morgan
23.02.05,Hold,Fiserv Underweight,Lehman Brothers
31.01.05,Hold,Fiserv Underperform,Needham & Co
28.01.05,Hold,Fiserv Underweight,Prudential Securities
28.01.05,Buy,Fiserv In-Line,Goldman Sachs
06.01.05,Hold,Fiserv Buy,Sandler O´Neill
