Date,Buy/Sell/Hold,Name,Bank Name
02.08.19,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
23.05.19,Hold,Fortinet Market Perform,"Cowen and Company, LLC"
03.05.19,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
08.02.19,Buy,Fortinet Outperform,First Analysis Securities
07.02.19,Hold,Fortinet Hold,Gabelli & Co
07.02.19,Buy,Fortinet Market Perform,BMO Capital Markets
25.01.19,Buy,Fortinet Market Perform,BMO Capital Markets
22.01.19,Buy,Fortinet Market Perform,BMO Capital Markets
05.11.18,Buy,Fortinet Buy,Dougherty & Company LLC
02.11.18,Buy,Fortinet Outperform,BMO Capital Markets
02.11.18,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
19.10.18,Buy,Fortinet Outperform,Wedbush Morgan Securities Inc.
18.10.18,Hold,Fortinet Neutral,Robert W. Baird & Co. Incorporated
02.08.18,Hold,Fortinet Equal weight,Barclays Capital
02.08.18,Buy,Fortinet Outperform,Oppenheimer & Co. Inc.
02.08.18,Buy,Fortinet Buy,"Stifel, Nicolaus & Co., Inc."
02.08.18,Buy,Fortinet Outperform,BMO Capital Markets
31.07.18,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
04.05.18,Buy,Fortinet Hold,"Stifel, Nicolaus & Co., Inc."
04.05.18,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
04.05.18,Buy,Fortinet Outperform,BMO Capital Markets
29.03.18,Buy,Fortinet Outperform,BMO Capital Markets
28.02.18,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
06.02.18,Buy,Fortinet Hold,"Stifel, Nicolaus & Co., Inc."
06.02.18,Buy,Fortinet Outperform,BMO Capital Markets
01.02.18,Hold,Fortinet Neutral,Dougherty & Company LLC
23.01.18,Hold,Fortinet Hold,Deutsche Bank AG
19.01.18,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
09.01.18,Hold,Fortinet Equal weight,Barclays Capital
23.10.17,Buy,Fortinet Buy,Dougherty & Company LLC
18.10.17,Buy,Fortinet Buy,Deutsche Bank AG
27.07.17,Buy,Fortinet Buy,Dougherty & Company LLC
14.06.17,Buy,Fortinet Buy,"Monness, Crespi, Hardt & Co."
28.04.17,Buy,Fortinet Buy,UBS AG
28.04.17,Buy,Fortinet Outperform,RBC Capital Markets
21.04.17,Buy,Fortinet Buy,Dougherty & Company LLC
21.04.17,Buy,Fortinet Outperform,BMO Capital Markets
17.04.17,Buy,Fortinet Hold,"Stifel, Nicolaus & Co., Inc."
29.03.17,Buy,Fortinet Outperform,Robert W. Baird & Co. Incorporated
03.02.17,Hold,Fortinet Sector Perform,RBC Capital Markets
