Date,Buy/Sell/Hold,Name,Bank Name
15.06.20,Buy,Gilead Sciences kaufen,DZ BANK
15.03.19,Buy,Gilead Sciences Outperform,BMO Capital Markets
03.01.19,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
26.10.18,Buy,Gilead Sciences overweight,Barclays Capital
01.10.18,Buy,Gilead Sciences Overweight,Cantor Fitzgerald
26.07.18,Hold,Gilead Sciences Neutral,Robert W. Baird & Co. Incorporated
02.05.18,Buy,Gilead Sciences Buy,Maxim Group
06.03.18,Buy,Gilead Sciences overweight,Barclays Capital
12.02.18,Buy,Gilead Sciences Buy,Mizuho
30.11.17,Buy,Gilead Sciences Buy,Maxim Group
08.11.17,Buy,Gilead Sciences Buy,Mizuho
11.10.17,Buy,Gilead Sciences overweight,Barclays Capital
05.10.17,Hold,Gilead Sciences Perform,Oppenheimer & Co. Inc.
15.09.17,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.06.17,Buy,Gilead Sciences Buy,Deutsche Bank AG
09.03.17,Hold,Gilead Sciences Neutral,UBS AG
14.11.16,Buy,Gilead Sciences Buy,"Stifel, Nicolaus & Co., Inc."
08.11.16,Buy,Gilead Sciences Buy,Mizuho
02.11.16,Buy,Gilead Sciences Outperform,RBC Capital Markets
03.10.16,Buy,Gilead Sciences Outperform,RBC Capital Markets
01.06.16,Buy,Gilead Sciences Buy,Gabelli & Co
29.04.16,Buy,Gilead Sciences Buy,UBS AG
29.04.16,Hold,Gilead Sciences Hold,Maxim Group
08.04.16,Buy,Gilead Sciences Market Perform,BMO Capital Markets
28.10.15,Buy,Gilead Sciences Buy,Maxim Group
20.10.15,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
29.07.15,Buy,Gilead Sciences overweight,Barclays Capital
29.07.15,Buy,Gilead Sciences Buy,Deutsche Bank AG
29.07.15,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
29.07.15,Buy,Gilead Sciences Buy,"Needham & Company, LLC"
29.07.15,Buy,Gilead Sciences Buy,Maxim Group
29.07.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.06.15,Buy,Gilead Sciences Buy,Argus Research Company
01.05.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
04.02.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.12.14,Buy,Gilead Sciences Buy,Deutsche Bank AG
09.12.14,Buy,Gilead Sciences Buy,Argus Research Company
29.10.14,Buy,Gilead Sciences Outperform,RBC Capital Markets
13.10.14,Buy,Gilead Sciences Outperform,FBR Capital
25.09.14,Buy,Gilead Sciences Buy,"Needham & Company, LLC"
11.01.13,Buy,Gilead Sciences kaufen,boerse.de-Aktienbrief
10.01.13,Buy,Gilead Sciences kaufen,Aktienservice Research
18.12.12,Buy,Gilead Sciences buy,UBS AG
14.12.12,Hold,Gilead Sciences neutral,Goldman Sachs Group Inc.
03.12.12,Buy,Gilead Sciences overweight,Piper Jaffray & Co.
15.11.12,Buy,Gilead Sciences outperform,RBC Capital Markets
14.11.12,Buy,Gilead Sciences buy,Deutsche Bank Securities
13.11.12,Buy,Gilead Sciences buy,"Stifel, Nicolaus & Co., Inc."
13.11.12,Hold,Gilead Sciences neutral,Credit Suisse Group
12.11.12,Buy,Gilead Sciences buy,UBS AG
15.06.20,Buy,Gilead Sciences kaufen,DZ BANK
15.03.19,Buy,Gilead Sciences Outperform,BMO Capital Markets
03.01.19,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
26.10.18,Buy,Gilead Sciences overweight,Barclays Capital
01.10.18,Buy,Gilead Sciences Overweight,Cantor Fitzgerald
26.07.18,Hold,Gilead Sciences Neutral,Robert W. Baird & Co. Incorporated
02.05.18,Buy,Gilead Sciences Buy,Maxim Group
06.03.18,Buy,Gilead Sciences overweight,Barclays Capital
12.02.18,Buy,Gilead Sciences Buy,Mizuho
30.11.17,Buy,Gilead Sciences Buy,Maxim Group
08.11.17,Buy,Gilead Sciences Buy,Mizuho
11.10.17,Buy,Gilead Sciences overweight,Barclays Capital
05.10.17,Hold,Gilead Sciences Perform,Oppenheimer & Co. Inc.
15.09.17,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.06.17,Buy,Gilead Sciences Buy,Deutsche Bank AG
09.03.17,Hold,Gilead Sciences Neutral,UBS AG
14.11.16,Buy,Gilead Sciences Buy,"Stifel, Nicolaus & Co., Inc."
08.11.16,Buy,Gilead Sciences Buy,Mizuho
02.11.16,Buy,Gilead Sciences Outperform,RBC Capital Markets
03.10.16,Buy,Gilead Sciences Outperform,RBC Capital Markets
01.06.16,Buy,Gilead Sciences Buy,Gabelli & Co
29.04.16,Buy,Gilead Sciences Buy,UBS AG
29.04.16,Hold,Gilead Sciences Hold,Maxim Group
08.04.16,Buy,Gilead Sciences Market Perform,BMO Capital Markets
28.10.15,Buy,Gilead Sciences Buy,Maxim Group
20.10.15,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
29.07.15,Buy,Gilead Sciences overweight,Barclays Capital
29.07.15,Buy,Gilead Sciences Buy,Deutsche Bank AG
29.07.15,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
29.07.15,Buy,Gilead Sciences Buy,"Needham & Company, LLC"
29.07.15,Buy,Gilead Sciences Buy,Maxim Group
29.07.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.06.15,Buy,Gilead Sciences Buy,Argus Research Company
01.05.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
04.02.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.12.14,Buy,Gilead Sciences Buy,Deutsche Bank AG
09.12.14,Buy,Gilead Sciences Buy,Argus Research Company
29.10.14,Buy,Gilead Sciences Outperform,RBC Capital Markets
13.10.14,Buy,Gilead Sciences Outperform,FBR Capital
25.09.14,Buy,Gilead Sciences Buy,"Needham & Company, LLC"
11.01.13,Buy,Gilead Sciences kaufen,boerse.de-Aktienbrief
10.01.13,Buy,Gilead Sciences kaufen,Aktienservice Research
18.12.12,Buy,Gilead Sciences buy,UBS AG
14.12.12,Hold,Gilead Sciences neutral,Goldman Sachs Group Inc.
03.12.12,Buy,Gilead Sciences overweight,Piper Jaffray & Co.
15.11.12,Buy,Gilead Sciences outperform,RBC Capital Markets
14.11.12,Buy,Gilead Sciences buy,Deutsche Bank Securities
13.11.12,Buy,Gilead Sciences buy,"Stifel, Nicolaus & Co., Inc."
13.11.12,Hold,Gilead Sciences neutral,Credit Suisse Group
12.11.12,Buy,Gilead Sciences buy,UBS AG
07.11.12,Buy,Gilead Sciences outperform,"Sanford C. Bernstein and Co., Inc."
25.10.12,Buy,Gilead Sciences hold,Jefferies & Company Inc.
25.10.12,Buy,Gilead Sciences buy,"Needham & Company, LLC"
15.10.12,Buy,Gilead Sciences outperform,RBC Capital Markets
03.10.12,Buy,Gilead Sciences buy,UBS AG
02.10.12,Hold,Gilead Sciences outperform,"Sanford C. Bernstein and Co., Inc."
27.09.12,Buy,Gilead Sciences outperform,RBC Capital Markets
30.08.12,Buy,Gilead Sciences buy,UBS AG
29.08.12,Buy,Gilead Sciences outperform,RBC Capital Markets
29.08.12,Buy,Gilead Sciences hold,Jefferies & Company Inc.
28.08.12,Buy,Gilead Sciences buy,"Stifel, Nicolaus & Co., Inc."
27.08.12,Buy,Gilead Sciences outperform,RBC Capital Markets
20.08.12,Hold,Gilead Sciences overweight,JP Morgan Chase & Co.
17.08.12,Buy,Gilead Sciences buy,Citigroup Corp.
16.08.12,Buy,Gilead Sciences buy,Deutsche Bank Securities
24.07.12,Hold,Gilead Sciences outperform,RBC Capital Markets
16.07.12,Buy,Gilead Sciences outperform,RBC Capital Markets
12.07.12,Buy,Gilead Sciences outperform,RBC Capital Markets
29.06.12,Buy,Gilead Sciences outperform,RBC Capital Markets
22.06.12,Buy,Gilead Sciences outperform,RBC Capital Markets
19.06.12,Buy,Gilead Sciences outperform,RBC Capital Markets
25.05.12,Buy,Gilead Sciences kaufen,Der Aktionär
02.05.12,Hold,Gilead Sciences outperform,RBC Capital Markets
30.04.12,Buy,Gilead Sciences buy,Citigroup Corp.
30.04.12,Buy,Gilead Sciences outperform,"Needham & Company, LLC"
24.04.12,Buy,Gilead Sciences outperform,RBC Capital Markets
20.03.12,Buy,Gilead Sciences outperform,RBC Capital Markets
16.03.12,Buy,Gilead Sciences buy,"Stifel, Nicolaus & Co., Inc."
24.02.12,Buy,Gilead Sciences overweight,JP Morgan Chase & Co.
23.02.12,Buy,Gilead Sciences outperform,RBC Capital Markets
16.02.12,Buy,Gilead Sciences outperform,RBC Capital Markets
06.02.12,Buy,Gilead Sciences buy,UBS AG
06.02.12,Buy,Gilead Sciences outperform,Robert W. Baird & Co. Incorporated
06.02.12,Buy,Gilead Sciences outperform,RBC Capital Markets
06.02.12,Buy,Gilead Sciences buy,Deutsche Bank Securities
03.02.12,Buy,Gilead Sciences buy,"Needham & Company, LLC"
25.01.12,Buy,Gilead Sciences outperform,RBC Capital Markets
20.01.12,Buy,Gilead Sciences outperform,RBC Capital Markets
09.01.12,Buy,Gilead Sciences buy,"Needham & Company, LLC"
12.12.11,Buy,Gilead Sciences neutral,Credit Suisse Group
01.12.11,Buy,Gilead Sciences overweight,Piper Jaffray & Co.
30.11.11,Buy,Gilead Sciences buy,Goldman Sachs Group Inc.
30.11.11,Buy,Gilead Sciences buy,Citigroup Corp.
29.11.11,Hold,Gilead Sciences buy,Deutsche Bank Securities
29.11.11,Buy,Gilead Sciences neutral,Credit Suisse Group
28.11.11,Buy,Gilead Sciences outperform,RBC Capital Markets
23.11.11,Buy,Gilead Sciences buy,Citigroup Corp.
22.11.11,Buy,Gilead Sciences buy,UBS AG
16.11.11,Hold,Gilead Sciences outperform,RBC Capital Markets
11.10.11,Buy,Gilead Sciences neutral,Citigroup Corp.
15.06.20,Buy,Gilead Sciences kaufen,DZ BANK
15.03.19,Buy,Gilead Sciences Outperform,BMO Capital Markets
03.01.19,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
26.10.18,Buy,Gilead Sciences overweight,Barclays Capital
01.10.18,Buy,Gilead Sciences Overweight,Cantor Fitzgerald
26.07.18,Hold,Gilead Sciences Neutral,Robert W. Baird & Co. Incorporated
02.05.18,Buy,Gilead Sciences Buy,Maxim Group
06.03.18,Buy,Gilead Sciences overweight,Barclays Capital
12.02.18,Buy,Gilead Sciences Buy,Mizuho
30.11.17,Buy,Gilead Sciences Buy,Maxim Group
08.11.17,Buy,Gilead Sciences Buy,Mizuho
11.10.17,Buy,Gilead Sciences overweight,Barclays Capital
05.10.17,Hold,Gilead Sciences Perform,Oppenheimer & Co. Inc.
15.09.17,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.06.17,Buy,Gilead Sciences Buy,Deutsche Bank AG
09.03.17,Hold,Gilead Sciences Neutral,UBS AG
14.11.16,Buy,Gilead Sciences Buy,"Stifel, Nicolaus & Co., Inc."
08.11.16,Buy,Gilead Sciences Buy,Mizuho
02.11.16,Buy,Gilead Sciences Outperform,RBC Capital Markets
03.10.16,Buy,Gilead Sciences Outperform,RBC Capital Markets
01.06.16,Buy,Gilead Sciences Buy,Gabelli & Co
29.04.16,Buy,Gilead Sciences Buy,UBS AG
29.04.16,Hold,Gilead Sciences Hold,Maxim Group
08.04.16,Buy,Gilead Sciences Market Perform,BMO Capital Markets
28.10.15,Buy,Gilead Sciences Buy,Maxim Group
20.10.15,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
29.07.15,Buy,Gilead Sciences overweight,Barclays Capital
29.07.15,Buy,Gilead Sciences Buy,Deutsche Bank AG
29.07.15,Buy,Gilead Sciences Outperform,Oppenheimer & Co. Inc.
29.07.15,Buy,Gilead Sciences Buy,"Needham & Company, LLC"
29.07.15,Buy,Gilead Sciences Buy,Maxim Group
29.07.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.06.15,Buy,Gilead Sciences Buy,Argus Research Company
01.05.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
04.02.15,Buy,Gilead Sciences Outperform,RBC Capital Markets
23.12.14,Buy,Gilead Sciences Buy,Deutsche Bank AG
09.12.14,Buy,Gilead Sciences Buy,Argus Research Company
29.10.14,Buy,Gilead Sciences Outperform,RBC Capital Markets
13.10.14,Buy,Gilead Sciences Outperform,FBR Capital
25.09.14,Buy,Gilead Sciences Buy,"Needham & Company, LLC"
11.01.13,Buy,Gilead Sciences kaufen,boerse.de-Aktienbrief
10.01.13,Buy,Gilead Sciences kaufen,Aktienservice Research
18.12.12,Buy,Gilead Sciences buy,UBS AG
14.12.12,Hold,Gilead Sciences neutral,Goldman Sachs Group Inc.
03.12.12,Buy,Gilead Sciences overweight,Piper Jaffray & Co.
15.11.12,Buy,Gilead Sciences outperform,RBC Capital Markets
14.11.12,Buy,Gilead Sciences buy,Deutsche Bank Securities
13.11.12,Buy,Gilead Sciences buy,"Stifel, Nicolaus & Co., Inc."
13.11.12,Hold,Gilead Sciences neutral,Credit Suisse Group
12.11.12,Buy,Gilead Sciences buy,UBS AG
07.11.12,Buy,Gilead Sciences outperform,"Sanford C. Bernstein and Co., Inc."
