Date,Buy/Sell/Hold,Name,Bank Name
07.05.18,Buy,IDEXX Laboratories Buy,"Stifel, Nicolaus & Co., Inc."
03.02.17,Sell,IDEXX Laboratories Sell,Feltl & Co.
20.07.16,Buy,IDEXX Laboratories Buy,Canaccord Adams
19.04.16,Buy,IDEXX Laboratories Buy,Canaccord Adams
21.03.16,Buy,IDEXX Laboratories Buy,"Stifel, Nicolaus & Co., Inc."
29.10.15,Buy,IDEXX Laboratories Buy,"Stifel, Nicolaus & Co., Inc."
13.08.15,Buy,IDEXX Laboratories Buy,"Stifel, Nicolaus & Co., Inc."
23.07.15,Buy,IDEXX Laboratories Buy,Canaccord Adams
29.04.15,Buy,IDEXX Laboratories Buy,"Stifel, Nicolaus & Co., Inc."
22.01.15,Buy,IDEXX Laboratories Buy,Canaccord Adams
16.01.15,Buy,IDEXX Laboratories Buy,"Stifel, Nicolaus & Co., Inc."
10.12.14,Buy,IDEXX Laboratories Buy,Canaccord Adams
28.10.14,Buy,IDEXX Laboratories Buy,Canaccord Adams
27.10.14,Buy,IDEXX Laboratories Buy,"Stifel, Nicolaus & Co., Inc."
08.11.12,Hold,IDEXX Laboratories hold,"Stifel, Nicolaus & Co., Inc."
25.07.12,Buy,IDEXX Laboratories outperform,Barrington Research
29.04.05,Buy,IDEXX Laboratories Buy,KeyBanc Capital Markets / McDonald
26.04.05,Buy,IDEXX Laboratories Aggressive Buy,KeyBanc Capital Markets / McDonald
12.04.05,Hold,IDEXX Laboratories Market Perform,William Blair
