Date,Buy/Sell/Hold,Name,Bank Name
30.07.19,Hold,Illumina Hold,Canaccord Adams
30.05.19,Buy,Illumina Outperform,Wolfe Research
09.10.18,Hold,Illumina Neutral,UBS AG
31.07.18,Buy,Illumina Buy,Canaccord Adams
31.01.18,Buy,Illumina Overweight,First Analysis Securities
05.01.18,Hold,Illumina Neutral,BTIG Research
25.10.17,Buy,Illumina Outperform,Robert W. Baird & Co. Incorporated
23.10.17,Buy,Illumina Buy,Deutsche Bank AG
07.08.17,Buy,Illumina Buy,Canaccord Adams
02.08.17,Hold,Illumina Equal-Weight,First Analysis Securities
26.04.17,Hold,Illumina Neutral,Cantor Fitzgerald
01.02.17,Buy,Illumina Buy,UBS AG
18.01.17,Hold,Illumina Hold,Deutsche Bank AG
02.11.16,Sell,Illumina Underweight,First Analysis Securities
11.10.16,Hold,Illumina Hold,Canaccord Adams
11.10.16,Hold,Illumina Hold,Cantor Fitzgerald
04.05.16,Hold,Illumina Hold,Canaccord Adams
04.05.16,Buy,Illumina Buy,"Stifel, Nicolaus & Co., Inc."
04.05.16,Hold,Illumina Neutral,Mizuho
03.05.16,Buy,Illumina Buy,UBS AG
07.01.16,Hold,Illumina Hold,Deutsche Bank AG
07.01.16,Hold,Illumina Equal weight,Barclays Capital
21.12.15,Buy,Illumina Buy,"Stifel, Nicolaus & Co., Inc."
13.10.15,Hold,Illumina Equal weight,Barclays Capital
06.10.15,Buy,Illumina Buy,"Stifel, Nicolaus & Co., Inc."
06.10.15,Hold,Illumina Neutral,Mizuho
19.08.15,Buy,Illumina Buy,Mizuho
22.07.15,Buy,Illumina Buy,Canaccord Adams
22.07.15,Buy,Illumina Buy,Mizuho
22.04.15,Buy,Illumina Buy,Mizuho
10.03.15,Buy,Illumina Buy,UBS AG
28.01.15,Buy,Illumina Buy,"Stifel, Nicolaus & Co., Inc."
28.01.15,Buy,Illumina Buy,Maxim Group
07.01.15,Hold,Illumina Equal weight,Barclays Capital
27.10.14,Buy,Illumina Buy,"Stifel, Nicolaus & Co., Inc."
21.10.14,Hold,Illumina Neutral,ISI Group
26.11.12,Hold,Illumina neutral,Robert W. Baird & Co. Incorporated
25.04.12,Hold,Illumina sector perform,RBC Capital Markets
25.04.12,Buy,Illumina buy,Barclays Capital
24.04.12,Hold,Illumina neutral,UBS AG
29.02.12,Buy,Illumina overweight,Barclays Capital
28.02.12,Hold,Illumina neutral,UBS AG
09.02.12,Hold,Illumina sector perform,RBC Capital Markets
09.02.12,Buy,Illumina overweight,Barclays Capital
26.01.12,Hold,Illumina neutral,UBS AG
25.01.12,Buy,Illumina outperform,Robert W. Baird & Co. Incorporated
18.10.11,Buy,Illumina overweight,Barclays Capital
10.10.11,Hold,Illumina hold,Deutsche Bank Securities
10.10.11,Hold,Illumina neutral,UBS AG
07.10.11,Hold,Illumina sector perform,RBC Capital Markets
30.07.19,Hold,Illumina Hold,Canaccord Adams
30.05.19,Buy,Illumina Outperform,Wolfe Research
09.10.18,Hold,Illumina Neutral,UBS AG
31.07.18,Buy,Illumina Buy,Canaccord Adams
31.01.18,Buy,Illumina Overweight,First Analysis Securities
05.01.18,Hold,Illumina Neutral,BTIG Research
25.10.17,Buy,Illumina Outperform,Robert W. Baird & Co. Incorporated
23.10.17,Buy,Illumina Buy,Deutsche Bank AG
07.08.17,Buy,Illumina Buy,Canaccord Adams
02.08.17,Hold,Illumina Equal-Weight,First Analysis Securities
26.04.17,Hold,Illumina Neutral,Cantor Fitzgerald
01.02.17,Buy,Illumina Buy,UBS AG
18.01.17,Hold,Illumina Hold,Deutsche Bank AG
02.11.16,Sell,Illumina Underweight,First Analysis Securities
