Date,Buy/Sell/Hold,Name,Bank Name
22.06.23,Sell,Intel Underweight,JP Morgan Chase & Co.
06.06.23,Hold,Intel Market-Perform,Bernstein Research
28.04.23,Sell,Intel Sell,Goldman Sachs Group Inc.
28.04.23,Sell,Intel Underweight,JP Morgan Chase & Co.
03.04.23,Hold,Intel Market-Perform,Bernstein Research
30.03.23,Hold,Intel Neutral,Credit Suisse Group
30.03.23,Sell,Intel Underweight,JP Morgan Chase & Co.
23.02.23,Hold,Intel Neutral,Credit Suisse Group
22.02.23,Sell,Intel Underweight,JP Morgan Chase & Co.
27.01.23,Sell,Intel Underperform,Bernstein Research
27.01.23,Sell,Intel Sell,Goldman Sachs Group Inc.
27.01.23,Hold,Intel Neutral,Credit Suisse Group
27.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
27.01.23,Hold,Intel Hold,Deutsche Bank AG
18.01.23,Sell,Intel Underperform,Bernstein Research
13.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
11.01.23,Hold,Intel Neutral,Credit Suisse Group
11.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
19.12.22,Sell,Intel Underperform,Bernstein Research
13.12.22,Sell,Intel Sell,Goldman Sachs Group Inc.
13.12.22,Sell,Intel Underperform,Bernstein Research
05.12.22,Sell,Intel Underperform,Bernstein Research
11.11.22,Sell,Intel Underweight,JP Morgan Chase & Co.
31.10.22,Hold,Intel Equal Weight,Barclays Capital
28.10.22,Buy,Intel Outperform,Credit Suisse Group
28.10.22,Sell,Intel Underperform,Bernstein Research
25.10.22,Sell,Intel Underperform,Bernstein Research
07.10.22,Sell,Intel Sell,Goldman Sachs Group Inc.
12.09.22,Sell,Intel Underperform,Bernstein Research
06.09.22,Sell,Intel Underperform,Bernstein Research
30.08.22,Sell,Intel Underperform,Bernstein Research
24.08.22,Sell,Intel Underperform,Bernstein Research
01.08.22,Buy,Intel Outperform,Credit Suisse Group
29.07.22,Sell,Intel Underperform,Bernstein Research
29.07.22,Sell,Intel Sell,Goldman Sachs Group Inc.
25.07.22,Sell,Intel Underperform,Bernstein Research
19.07.22,Sell,Intel Underperform,Bernstein Research
11.07.22,Sell,Intel Underweight,Barclays Capital
21.06.22,Sell,Intel Underperform,Bernstein Research
06.06.22,Sell,Intel Underperform,Bernstein Research
29.04.22,Buy,Intel Outperform,Credit Suisse Group
29.04.22,Sell,Intel Underweight,Barclays Capital
29.04.22,Sell,Intel Underperform,Bernstein Research
28.03.22,Sell,Intel Sell,Goldman Sachs Group Inc.
18.02.22,Hold,Intel Neutral,UBS AG
18.02.22,Hold,Intel Hold,Deutsche Bank AG
16.02.22,Sell,Intel Underweight,Barclays Capital
15.02.22,Sell,Intel Underperform,Bernstein Research
15.02.22,Hold,Intel Neutral,UBS AG
15.02.22,Buy,Intel Outperform,Credit Suisse Group
22.06.23,Sell,Intel Underweight,JP Morgan Chase & Co.
06.06.23,Hold,Intel Market-Perform,Bernstein Research
28.04.23,Sell,Intel Sell,Goldman Sachs Group Inc.
28.04.23,Sell,Intel Underweight,JP Morgan Chase & Co.
03.04.23,Hold,Intel Market-Perform,Bernstein Research
30.03.23,Hold,Intel Neutral,Credit Suisse Group
30.03.23,Sell,Intel Underweight,JP Morgan Chase & Co.
23.02.23,Hold,Intel Neutral,Credit Suisse Group
22.02.23,Sell,Intel Underweight,JP Morgan Chase & Co.
27.01.23,Sell,Intel Underperform,Bernstein Research
27.01.23,Sell,Intel Sell,Goldman Sachs Group Inc.
27.01.23,Hold,Intel Neutral,Credit Suisse Group
27.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
27.01.23,Hold,Intel Hold,Deutsche Bank AG
18.01.23,Sell,Intel Underperform,Bernstein Research
13.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
11.01.23,Hold,Intel Neutral,Credit Suisse Group
11.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
19.12.22,Sell,Intel Underperform,Bernstein Research
13.12.22,Sell,Intel Sell,Goldman Sachs Group Inc.
13.12.22,Sell,Intel Underperform,Bernstein Research
05.12.22,Sell,Intel Underperform,Bernstein Research
11.11.22,Sell,Intel Underweight,JP Morgan Chase & Co.
31.10.22,Hold,Intel Equal Weight,Barclays Capital
28.10.22,Buy,Intel Outperform,Credit Suisse Group
28.10.22,Sell,Intel Underperform,Bernstein Research
25.10.22,Sell,Intel Underperform,Bernstein Research
07.10.22,Sell,Intel Sell,Goldman Sachs Group Inc.
12.09.22,Sell,Intel Underperform,Bernstein Research
06.09.22,Sell,Intel Underperform,Bernstein Research
30.08.22,Sell,Intel Underperform,Bernstein Research
24.08.22,Sell,Intel Underperform,Bernstein Research
01.08.22,Buy,Intel Outperform,Credit Suisse Group
29.07.22,Sell,Intel Underperform,Bernstein Research
29.07.22,Sell,Intel Sell,Goldman Sachs Group Inc.
25.07.22,Sell,Intel Underperform,Bernstein Research
19.07.22,Sell,Intel Underperform,Bernstein Research
11.07.22,Sell,Intel Underweight,Barclays Capital
21.06.22,Sell,Intel Underperform,Bernstein Research
06.06.22,Sell,Intel Underperform,Bernstein Research
29.04.22,Buy,Intel Outperform,Credit Suisse Group
29.04.22,Sell,Intel Underweight,Barclays Capital
29.04.22,Sell,Intel Underperform,Bernstein Research
28.03.22,Sell,Intel Sell,Goldman Sachs Group Inc.
18.02.22,Hold,Intel Neutral,UBS AG
18.02.22,Hold,Intel Hold,Deutsche Bank AG
16.02.22,Sell,Intel Underweight,Barclays Capital
15.02.22,Sell,Intel Underperform,Bernstein Research
15.02.22,Hold,Intel Neutral,UBS AG
15.02.22,Buy,Intel Outperform,Credit Suisse Group
14.02.22,Sell,Intel Sell,Goldman Sachs Group Inc.
27.01.22,Hold,Intel Underweight,Barclays Capital
27.01.22,Sell,Intel Neutral,UBS AG
27.01.22,Sell,Intel Underperform,Bernstein Research
27.01.22,Hold,Intel Sell,Goldman Sachs Group Inc.
27.01.22,Hold,Intel Overweight,JP Morgan Chase & Co.
27.01.22,Sell,Intel Outperform,Credit Suisse Group
21.01.22,Hold,Intel Outperform,Credit Suisse Group
11.01.22,Sell,Intel Underperform,Bernstein Research
11.01.22,Sell,Intel Outperform,Credit Suisse Group
08.12.21,Sell,Intel Overweight,JP Morgan Chase & Co.
08.12.21,Hold,Intel Outperform,Credit Suisse Group
07.12.21,Sell,Intel Underperform,Bernstein Research
07.12.21,Hold,Intel Equal-weight,Morgan Stanley
22.10.21,Sell,Intel Outperform,Credit Suisse Group
22.10.21,Sell,Intel Sell,Goldman Sachs Group Inc.
22.10.21,Hold,Intel Overweight,JP Morgan Chase & Co.
15.10.21,Sell,Intel Sell,Goldman Sachs Group Inc.
20.08.21,Sell,Intel Overweight,JP Morgan Chase & Co.
27.07.21,Sell,Intel Outperform,Credit Suisse Group
27.07.21,Sell,Intel Overweight,JP Morgan Chase & Co.
27.07.21,Sell,Intel Sell,Goldman Sachs Group Inc.
23.07.21,Sell,Intel Underperform,Bernstein Research
16.07.21,Hold,Intel Sell,Goldman Sachs Group Inc.
16.07.21,Buy,Intel Buy,UBS AG
25.06.21,Sell,Intel Underperform,Bernstein Research
11.06.21,Sell,Intel Underperform,Bernstein Research
23.04.21,Sell,Intel buy,UBS AG
23.04.21,Sell,Intel Sell,Goldman Sachs Group Inc.
21.04.21,Sell,Intel Outperform,Credit Suisse Group
07.04.21,Sell,Intel overweight,JP Morgan Chase & Co.
07.04.21,Sell,Intel Outperform,Credit Suisse Group
24.03.21,Buy,Intel overweight,JP Morgan Chase & Co.
24.03.21,Sell,Intel Underperform,Bernstein Research
01.02.21,Sell,Intel Underperform,RBC Capital Markets
22.01.21,Sell,Intel Underperform,Bernstein Research
22.01.21,Sell,Intel Underperform,RBC Capital Markets
22.01.21,Sell,Intel overweight,JP Morgan Chase & Co.
22.01.21,Sell,Intel Outperform,Credit Suisse Group
19.01.21,Sell,Intel buy,UBS AG
13.01.21,Buy,Intel Outperform,Credit Suisse Group
13.01.21,Sell,Intel Underperform,RBC Capital Markets
13.01.21,Sell,Intel overweight,JP Morgan Chase & Co.
29.12.20,Sell,Intel Underperform,Bernstein Research
29.12.20,Hold,Intel Underperform,RBC Capital Markets
21.12.20,Hold,Intel Underperform,Bernstein Research
26.10.20,Sell,Intel buy,UBS AG
23.10.20,Sell,Intel Sell,Goldman Sachs Group Inc.
23.10.20,Hold,Intel Underperform,Bernstein Research
23.10.20,Buy,Intel overweight,JP Morgan Chase & Co.
22.06.23,Sell,Intel Underweight,JP Morgan Chase & Co.
06.06.23,Hold,Intel Market-Perform,Bernstein Research
28.04.23,Sell,Intel Sell,Goldman Sachs Group Inc.
28.04.23,Sell,Intel Underweight,JP Morgan Chase & Co.
03.04.23,Hold,Intel Market-Perform,Bernstein Research
30.03.23,Hold,Intel Neutral,Credit Suisse Group
30.03.23,Sell,Intel Underweight,JP Morgan Chase & Co.
23.02.23,Hold,Intel Neutral,Credit Suisse Group
22.02.23,Sell,Intel Underweight,JP Morgan Chase & Co.
27.01.23,Sell,Intel Underperform,Bernstein Research
27.01.23,Sell,Intel Sell,Goldman Sachs Group Inc.
27.01.23,Hold,Intel Neutral,Credit Suisse Group
27.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
27.01.23,Hold,Intel Hold,Deutsche Bank AG
18.01.23,Sell,Intel Underperform,Bernstein Research
13.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
11.01.23,Hold,Intel Neutral,Credit Suisse Group
11.01.23,Sell,Intel Underweight,JP Morgan Chase & Co.
19.12.22,Sell,Intel Underperform,Bernstein Research
13.12.22,Sell,Intel Sell,Goldman Sachs Group Inc.
13.12.22,Sell,Intel Underperform,Bernstein Research
05.12.22,Sell,Intel Underperform,Bernstein Research
11.11.22,Sell,Intel Underweight,JP Morgan Chase & Co.
31.10.22,Hold,Intel Equal Weight,Barclays Capital
28.10.22,Buy,Intel Outperform,Credit Suisse Group
28.10.22,Sell,Intel Underperform,Bernstein Research
25.10.22,Sell,Intel Underperform,Bernstein Research
07.10.22,Sell,Intel Sell,Goldman Sachs Group Inc.
12.09.22,Sell,Intel Underperform,Bernstein Research
06.09.22,Sell,Intel Underperform,Bernstein Research
30.08.22,Sell,Intel Underperform,Bernstein Research
24.08.22,Sell,Intel Underperform,Bernstein Research
01.08.22,Buy,Intel Outperform,Credit Suisse Group
29.07.22,Sell,Intel Underperform,Bernstein Research
29.07.22,Sell,Intel Sell,Goldman Sachs Group Inc.
25.07.22,Sell,Intel Underperform,Bernstein Research
19.07.22,Sell,Intel Underperform,Bernstein Research
11.07.22,Sell,Intel Underweight,Barclays Capital
21.06.22,Sell,Intel Underperform,Bernstein Research
06.06.22,Sell,Intel Underperform,Bernstein Research
29.04.22,Buy,Intel Outperform,Credit Suisse Group
29.04.22,Sell,Intel Underweight,Barclays Capital
29.04.22,Sell,Intel Underperform,Bernstein Research
28.03.22,Sell,Intel Sell,Goldman Sachs Group Inc.
18.02.22,Hold,Intel Neutral,UBS AG
18.02.22,Hold,Intel Hold,Deutsche Bank AG
16.02.22,Sell,Intel Underweight,Barclays Capital
15.02.22,Sell,Intel Underperform,Bernstein Research
15.02.22,Hold,Intel Neutral,UBS AG
15.02.22,Buy,Intel Outperform,Credit Suisse Group
14.02.22,Sell,Intel Sell,Goldman Sachs Group Inc.
27.01.22,Hold,Intel Underweight,Barclays Capital
27.01.22,Sell,Intel Neutral,UBS AG
27.01.22,Sell,Intel Underperform,Bernstein Research
27.01.22,Hold,Intel Sell,Goldman Sachs Group Inc.
27.01.22,Hold,Intel Overweight,JP Morgan Chase & Co.
27.01.22,Sell,Intel Outperform,Credit Suisse Group
21.01.22,Hold,Intel Outperform,Credit Suisse Group
11.01.22,Sell,Intel Underperform,Bernstein Research
11.01.22,Sell,Intel Outperform,Credit Suisse Group
