Date,Buy/Sell/Hold,Name,Bank Name
19.06.18,Buy,Intuit Buy,"Stifel, Nicolaus & Co., Inc."
23.05.18,Buy,Intuit Hold,"Stifel, Nicolaus & Co., Inc."
23.05.18,Sell,Intuit Underweight,First Analysis Securities
21.11.17,Hold,Intuit Neutral,UBS AG
21.11.17,Buy,Intuit Hold,"Stifel, Nicolaus & Co., Inc."
16.11.17,Hold,Intuit Sector Perform,RBC Capital Markets
15.11.17,Hold,Intuit Equal weight,Barclays Capital
09.11.17,Hold,Intuit Neutral,UBS AG
23.08.17,Hold,Intuit Equal-Weight,First Analysis Securities
24.05.17,Hold,Intuit Sector Perform,RBC Capital Markets
24.02.17,Hold,Intuit Sector Perform,RBC Capital Markets
15.07.16,Hold,Intuit Equal weight,Barclays Capital
25.05.16,Buy,Intuit Buy,UBS AG
26.02.16,Hold,Intuit Sector Perform,RBC Capital Markets
20.11.15,Buy,Intuit overweight,Barclays Capital
20.11.15,Buy,Intuit Buy,UBS AG
20.11.15,Hold,Intuit Sector Perform,RBC Capital Markets
04.11.15,Buy,Intuit Buy,Deutsche Bank AG
18.09.15,Buy,Intuit Buy,Deutsche Bank AG
18.09.15,Buy,Intuit Outperform,Oppenheimer & Co. Inc.
09.09.15,Buy,Intuit Buy,UBS AG
21.08.15,Hold,Intuit Equal weight,Barclays Capital
21.08.15,Buy,Intuit Buy,UBS AG
21.08.15,Hold,Intuit Sector Perform,RBC Capital Markets
21.08.15,Sell,Intuit Underweight,First Analysis Securities
19.08.15,Buy,Intuit Buy,Deutsche Bank AG
11.08.15,Hold,Intuit Sector Perform,RBC Capital Markets
24.06.15,Buy,Intuit Hold,"Stifel, Nicolaus & Co., Inc."
22.05.15,Hold,Intuit Equal weight,Barclays Capital
22.05.15,Buy,Intuit Buy,UBS AG
19.05.15,Buy,Intuit Outperform,RBC Capital Markets
14.05.15,Hold,Intuit Hold,Deutsche Bank AG
20.02.15,Buy,Intuit Outperform,Oppenheimer & Co. Inc.
21.11.14,Buy,Intuit Outperform,Oppenheimer & Co. Inc.
23.08.12,Buy,Intuit buy,UBS AG
22.08.12,Buy,Intuit outperform,Oppenheimer & Co. Inc.
16.08.12,Buy,Intuit buy,Citigroup Corp.
21.05.12,Buy,Intuit overweight,Barclays Capital
21.05.12,Buy,Intuit kaufen,Die Actien-Börse
23.02.12,Hold,Intuit hold,"Stifel, Nicolaus & Co., Inc."
23.02.12,Buy,Intuit overweight,Barclays Capital
23.02.12,Buy,Intuit buy,Deutsche Bank Securities
22.02.12,Buy,Intuit buy,UBS AG
