Date,Buy/Sell/Hold,Name,Bank Name
19.07.19,Buy,Intuitive Surgical Buy,Canaccord Adams
22.04.19,Buy,Intuitive Surgical Buy,Canaccord Adams
02.04.19,Buy,Intuitive Surgical Buy,Deutsche Bank AG
19.10.18,Buy,Intuitive Surgical Buy,Canaccord Adams
18.04.18,Buy,Intuitive Surgical Buy,Canaccord Adams
18.04.18,Buy,Intuitive Surgical Buy,"Stifel, Nicolaus & Co., Inc."
26.01.18,Hold,Intuitive Surgical Hold,Canaccord Adams
26.01.18,Buy,Intuitive Surgical Buy,"Stifel, Nicolaus & Co., Inc."
11.01.18,Buy,Intuitive Surgical overweight,Barclays Capital
05.01.18,Buy,Intuitive Surgical Overweight,Cantor Fitzgerald
20.10.17,Buy,Intuitive Surgical Buy,"Stifel, Nicolaus & Co., Inc."
18.07.17,Hold,Intuitive Surgical Sector Perform,RBC Capital Markets
30.06.17,Hold,Intuitive Surgical Neutral,Cantor Fitzgerald
30.05.17,Hold,Intuitive Surgical Hold,Canaccord Adams
24.04.17,Buy,Intuitive Surgical Outperform,Wedbush Morgan Securities Inc.
19.04.17,Buy,Intuitive Surgical Buy,Canaccord Adams
19.04.17,Buy,Intuitive Surgical Outperform,Wedbush Morgan Securities Inc.
17.04.17,Hold,Intuitive Surgical Sector Perform,RBC Capital Markets
19.10.16,Buy,Intuitive Surgical Buy,Canaccord Adams
19.10.16,Hold,Intuitive Surgical Sector Perform,RBC Capital Markets
20.07.16,Buy,Intuitive Surgical Buy,Canaccord Adams
20.07.16,Buy,Intuitive Surgical Outperform,Wedbush Morgan Securities Inc.
20.07.16,Buy,Intuitive Surgical Buy,"Stifel, Nicolaus & Co., Inc."
20.04.16,Buy,Intuitive Surgical Buy,Canaccord Adams
20.04.16,Buy,Intuitive Surgical Buy,"Stifel, Nicolaus & Co., Inc."
20.04.16,Hold,Intuitive Surgical Sector Perform,RBC Capital Markets
22.01.16,Buy,Intuitive Surgical Buy,"Stifel, Nicolaus & Co., Inc."
07.01.16,Hold,Intuitive Surgical Sector Perform,RBC Capital Markets
22.07.15,Buy,Intuitive Surgical overweight,Barclays Capital
22.07.15,Buy,Intuitive Surgical Buy,Canaccord Adams
22.07.15,Hold,Intuitive Surgical Sector Perform,RBC Capital Markets
25.06.15,Buy,Intuitive Surgical overweight,Barclays Capital
22.04.15,Hold,Intuitive Surgical Hold,Canaccord Adams
23.01.15,Hold,Intuitive Surgical Hold,Canaccord Adams
