Date,Buy/Sell/Hold,Name,Bank Name
19.08.19,Hold,JD.com Equal weight,Barclays Capital
13.12.18,Hold,JD.com Neutral,Mizuho
22.10.18,Buy,JD.com Buy,The Benchmark Company
17.08.18,Buy,JD.com Buy,The Benchmark Company
17.08.18,Buy,JD.com Buy,"Stifel, Nicolaus & Co., Inc."
07.05.18,Buy,JD.com Buy,The Benchmark Company
01.05.18,Buy,JD.com Buy,"Stifel, Nicolaus & Co., Inc."
13.12.17,Buy,JD.com Buy,"Stifel, Nicolaus & Co., Inc."
09.05.17,Buy,JD.com Buy,The Benchmark Company
18.04.17,Buy,JD.com Buy,The Benchmark Company
14.10.16,Buy,JD.com Buy,"Stifel, Nicolaus & Co., Inc."
20.09.16,Hold,JD.com Neutral,MKM Partners
10.05.16,Buy,JD.com Buy,MKM Partners
04.03.16,Buy,JD.com Buy,MKM Partners
15.12.15,Buy,JD.com Buy,MKM Partners
04.08.15,Buy,JD.com Buy,T.H. Capital
11.05.15,Buy,JD.com Buy,Brean Capital
04.05.15,Buy,JD.com Outperform,Oppenheimer & Co. Inc.
