Date,Buy/Sell/Hold,Name,Bank Name
25.04.19,Buy,Lam Research Outperform,"Cowen and Company, LLC"
22.04.19,Buy,Lam Research Buy,B. Riley FBR
24.01.19,Buy,Lam Research Outperform,"Cowen and Company, LLC"
21.12.18,Buy,Lam Research Buy,"Needham & Company, LLC"
29.10.18,Hold,Lam Research Neutral,B. Riley FBR
17.10.18,Buy,Lam Research Outperform,"Cowen and Company, LLC"
01.10.18,Hold,Lam Research Hold,Deutsche Bank AG
01.10.18,Hold,Lam Research Neutral,Mizuho
27.07.18,Buy,Lam Research Outperform,"Cowen and Company, LLC"
18.04.18,Buy,Lam Research Buy,"Stifel, Nicolaus & Co., Inc."
27.03.18,Buy,Lam Research Buy,Mizuho
25.01.18,Buy,Lam Research Buy,"Stifel, Nicolaus & Co., Inc."
25.01.18,Buy,Lam Research Buy,"Needham & Company, LLC"
15.11.17,Buy,Lam Research Outperform,RBC Capital Markets
18.10.17,Buy,Lam Research Buy,"Needham & Company, LLC"
18.10.17,Buy,Lam Research Buy,"Stifel, Nicolaus & Co., Inc."
18.10.17,Buy,Lam Research Outperform,RBC Capital Markets
13.10.17,Buy,Lam Research Buy,"Needham & Company, LLC"
27.07.17,Buy,Lam Research Buy,"Needham & Company, LLC"
27.07.17,Buy,Lam Research Outperform,"Cowen and Company, LLC"
16.06.17,Buy,Lam Research Buy,"Needham & Company, LLC"
19.04.17,Buy,Lam Research Outperform,RBC Capital Markets
27.03.17,Buy,Lam Research Buy,"Stifel, Nicolaus & Co., Inc."
16.03.17,Buy,Lam Research Overweight,Pacific Crest Securities Inc.
26.01.17,Buy,Lam Research Buy,"Needham & Company, LLC"
26.01.17,Buy,Lam Research Outperform,"Cowen and Company, LLC"
13.01.17,Buy,Lam Research Outperform,RBC Capital Markets
21.11.16,Buy,Lam Research Buy,"Stifel, Nicolaus & Co., Inc."
20.10.16,Buy,Lam Research Buy,"Needham & Company, LLC"
20.10.16,Buy,Lam Research Buy,"Stifel, Nicolaus & Co., Inc."
12.10.16,Hold,Lam Research Sector Weight,Pacific Crest Securities Inc.
16.05.16,Buy,Lam Research Outperform,"Cowen and Company, LLC"
21.04.16,Buy,Lam Research Outperform,"Cowen and Company, LLC"
17.03.16,Buy,Lam Research Outperform,RBC Capital Markets
10.12.15,Buy,Lam Research Outperform,"Cowen and Company, LLC"
22.10.15,Sell,Lam Research Underperform,RBC Capital Markets
21.10.15,Buy,Lam Research Outperform,"Cowen and Company, LLC"
09.10.15,Buy,Lam Research Buy,"Needham & Company, LLC"
05.10.15,Sell,Lam Research Underperform,RBC Capital Markets
01.07.15,Buy,Lam Research Outperform,"Cowen and Company, LLC"
11.05.15,Buy,Lam Research Buy,UBS AG
21.04.15,Buy,Lam Research Buy,Deutsche Bank AG
21.04.15,Hold,Lam Research Sector Perform,RBC Capital Markets
21.04.15,Buy,Lam Research Outperform,"Cowen and Company, LLC"
20.03.15,Buy,Lam Research Buy,"Needham & Company, LLC"
29.01.15,Buy,Lam Research Outperform,"Cowen and Company, LLC"
29.01.15,Hold,Lam Research Sector Perform,RBC Capital Markets
09.01.15,Buy,Lam Research Buy,"Needham & Company, LLC"
09.12.14,Buy,Lam Research Buy,"Stifel, Nicolaus & Co., Inc."
08.12.14,Buy,Lam Research Buy,Deutsche Bank AG
25.04.19,Buy,Lam Research Outperform,"Cowen and Company, LLC"
22.04.19,Buy,Lam Research Buy,B. Riley FBR
24.01.19,Buy,Lam Research Outperform,"Cowen and Company, LLC"
21.12.18,Buy,Lam Research Buy,"Needham & Company, LLC"
29.10.18,Hold,Lam Research Neutral,B. Riley FBR
17.10.18,Buy,Lam Research Outperform,"Cowen and Company, LLC"
01.10.18,Hold,Lam Research Hold,Deutsche Bank AG
