Date,Buy/Sell/Hold,Name,Bank Name
13.06.19,Buy,Lululemon Athletica Buy,Canaccord Adams
13.06.19,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
28.03.19,Buy,Lululemon Athletica Buy,Canaccord Adams
15.01.19,Buy,Lululemon Athletica Outperform,Wolfe Research
17.12.18,Buy,Lululemon Athletica Buy,"Stifel, Nicolaus & Co., Inc."
03.12.18,Buy,Lululemon Athletica Outperform,Wolfe Research
24.10.18,Buy,Lululemon Athletica Buy,Canaccord Adams
15.10.18,Buy,Lululemon Athletica Outperform,Wedbush Morgan Securities Inc.
02.10.18,Hold,Lululemon Athletica Neutral,B. Riley FBR
27.09.18,Buy,Lululemon Athletica Outperform,Oppenheimer & Co. Inc.
31.08.18,Hold,Lululemon Athletica Neutral,B. Riley FBR
31.08.18,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
29.08.18,Hold,Lululemon Athletica Hold,Canaccord Adams
01.06.18,Hold,Lululemon Athletica Hold,Canaccord Adams
01.06.18,Buy,Lululemon Athletica overweight,Barclays Capital
01.06.18,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
01.06.18,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
01.06.18,Hold,Lululemon Athletica Neutral,"B. Riley FBR, Inc."
22.05.18,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
11.05.18,Hold,Lululemon Athletica Neutral,Wedbush Morgan Securities Inc.
29.03.18,Buy,Lululemon Athletica Outperform,Wolfe Research
28.03.18,Hold,Lululemon Athletica Hold,Canaccord Adams
28.03.18,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
09.01.18,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
02.01.18,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
07.12.17,Hold,Lululemon Athletica Hold,Canaccord Adams
07.12.17,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
07.12.17,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
07.12.17,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
07.12.17,Hold,Lululemon Athletica Neutral,"B. Riley FBR, Inc."
01.12.17,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
01.09.17,Buy,Lululemon Athletica Outperform,RBC Capital Markets
25.07.17,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
19.07.17,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
02.06.17,Sell,Lululemon Athletica Sell,Canaccord Adams
12.04.17,Buy,Lululemon Athletica Buy,"Stifel, Nicolaus & Co., Inc."
30.03.17,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
12.12.16,Hold,Lululemon Athletica Mkt Perform,FBR & Co.
08.12.16,Buy,Lululemon Athletica Buy,Mizuho
09.06.16,Hold,Lululemon Athletica Peer Perform,Wolfe Research
09.06.16,Hold,Lululemon Athletica Hold,Deutsche Bank AG
09.06.16,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
08.06.16,Hold,Lululemon Athletica Neutral,Mizuho
31.03.16,Hold,Lululemon Athletica Hold,Deutsche Bank AG
31.03.16,Buy,Lululemon Athletica Buy,MKM Partners
31.03.16,Hold,Lululemon Athletica Neutral,UBS AG
31.03.16,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
31.03.16,Hold,Lululemon Athletica Peer Perform,Wolfe Research
31.03.16,Hold,Lululemon Athletica Neutral,Mizuho
15.01.16,Hold,Lululemon Athletica Peer Perform,Wolfe Research
13.06.19,Buy,Lululemon Athletica Buy,Canaccord Adams
13.06.19,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
28.03.19,Buy,Lululemon Athletica Buy,Canaccord Adams
15.01.19,Buy,Lululemon Athletica Outperform,Wolfe Research
17.12.18,Buy,Lululemon Athletica Buy,"Stifel, Nicolaus & Co., Inc."
03.12.18,Buy,Lululemon Athletica Outperform,Wolfe Research
24.10.18,Buy,Lululemon Athletica Buy,Canaccord Adams
15.10.18,Buy,Lululemon Athletica Outperform,Wedbush Morgan Securities Inc.
02.10.18,Hold,Lululemon Athletica Neutral,B. Riley FBR
27.09.18,Buy,Lululemon Athletica Outperform,Oppenheimer & Co. Inc.
31.08.18,Hold,Lululemon Athletica Neutral,B. Riley FBR
31.08.18,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
29.08.18,Hold,Lululemon Athletica Hold,Canaccord Adams
01.06.18,Hold,Lululemon Athletica Hold,Canaccord Adams
01.06.18,Buy,Lululemon Athletica overweight,Barclays Capital
01.06.18,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
01.06.18,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
01.06.18,Hold,Lululemon Athletica Neutral,"B. Riley FBR, Inc."
22.05.18,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
11.05.18,Hold,Lululemon Athletica Neutral,Wedbush Morgan Securities Inc.
29.03.18,Buy,Lululemon Athletica Outperform,Wolfe Research
28.03.18,Hold,Lululemon Athletica Hold,Canaccord Adams
28.03.18,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
09.01.18,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
02.01.18,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
07.12.17,Hold,Lululemon Athletica Hold,Canaccord Adams
07.12.17,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
07.12.17,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
07.12.17,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
07.12.17,Hold,Lululemon Athletica Neutral,"B. Riley FBR, Inc."
01.12.17,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
01.09.17,Buy,Lululemon Athletica Outperform,RBC Capital Markets
25.07.17,Buy,Lululemon Athletica Hold,"Stifel, Nicolaus & Co., Inc."
19.07.17,Buy,Lululemon Athletica Buy,"Needham & Company, LLC"
02.06.17,Sell,Lululemon Athletica Sell,Canaccord Adams
12.04.17,Buy,Lululemon Athletica Buy,"Stifel, Nicolaus & Co., Inc."
30.03.17,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
12.12.16,Hold,Lululemon Athletica Mkt Perform,FBR & Co.
08.12.16,Buy,Lululemon Athletica Buy,Mizuho
09.06.16,Hold,Lululemon Athletica Peer Perform,Wolfe Research
09.06.16,Hold,Lululemon Athletica Hold,Deutsche Bank AG
09.06.16,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
08.06.16,Hold,Lululemon Athletica Neutral,Mizuho
31.03.16,Hold,Lululemon Athletica Hold,Deutsche Bank AG
31.03.16,Buy,Lululemon Athletica Buy,MKM Partners
31.03.16,Hold,Lululemon Athletica Neutral,UBS AG
31.03.16,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
31.03.16,Hold,Lululemon Athletica Peer Perform,Wolfe Research
31.03.16,Hold,Lululemon Athletica Neutral,Mizuho
15.01.16,Hold,Lululemon Athletica Peer Perform,Wolfe Research
12.01.16,Buy,Lululemon Athletica Neutral,UBS AG
12.01.16,Buy,Lululemon Athletica Buy,MKM Partners
10.12.15,Buy,Lululemon Athletica Hold,Deutsche Bank AG
10.12.15,Buy,Lululemon Athletica Buy,MKM Partners
10.12.15,Buy,Lululemon Athletica Outperform,Oppenheimer & Co. Inc.
10.12.15,Buy,Lululemon Athletica Hold,Canaccord Adams
10.12.15,Buy,Lululemon Athletica Buy,Topeka Capital Markets
10.12.15,Buy,Lululemon Athletica Outperform,RBC Capital Markets
10.12.15,Hold,Lululemon Athletica Underperform,FBR Capital
09.12.15,Buy,Lululemon Athletica Neutral,Mizuho
30.11.15,Hold,Lululemon Athletica Underperform,FBR Capital
19.11.15,Buy,Lululemon Athletica Outperform,Oppenheimer & Co. Inc.
22.10.15,Hold,Lululemon Athletica Neutral,UBS AG
17.09.15,Hold,Lululemon Athletica Buy,MKM Partners
11.09.15,Buy,Lululemon Athletica Hold,Deutsche Bank AG
11.09.15,Buy,Lululemon Athletica Hold,Canaccord Adams
11.09.15,Buy,Lululemon Athletica Outperform,Robert W. Baird & Co. Incorporated
11.09.15,Hold,Lululemon Athletica Mkt Perform,FBR Capital
10.09.15,Buy,Lululemon Athletica Neutral,Mizuho
10.09.15,Hold,Lululemon Athletica Peer Perform,Wolfe Research
10.06.15,Buy,Lululemon Athletica Neutral,UBS AG
10.06.15,Hold,Lululemon Athletica Buy,Topeka Capital Markets
10.06.15,Buy,Lululemon Athletica Hold,Canaccord Adams
10.06.15,Buy,Lululemon Athletica Outperform,Oppenheimer & Co. Inc.
10.06.15,Buy,Lululemon Athletica Outperform,Telsey Advisory Group
04.05.15,Hold,Lululemon Athletica Outperform,RBC Capital Markets
27.03.15,Buy,Lululemon Athletica Mkt Perform,FBR Capital
26.03.15,Buy,Lululemon Athletica Neutral,Mizuho
26.03.15,Buy,Lululemon Athletica Neutral,Janney
23.03.15,Hold,Lululemon Athletica Hold,Canaccord Adams
10.02.15,Buy,Lululemon Athletica Outperform,Oppenheimer & Co. Inc.
14.01.15,Buy,Lululemon Athletica Neutral,UBS AG
14.01.15,Buy,Lululemon Athletica Outperform,FBR Capital
13.01.15,Buy,Lululemon Athletica Buy,Topeka Capital Markets
