Date,Buy/Sell/Hold,Name,Bank Name
23.10.18,Buy,Marriott Outperform,"Cowen and Company, LLC"
08.08.17,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
12.06.17,Buy,Marriott Outperform,RBC Capital Markets
10.05.17,Buy,Marriott Buy,Canaccord Adams
09.05.17,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
03.03.17,Buy,Marriott Outperform,RBC Capital Markets
21.02.17,Hold,Marriott Hold,SunTrust
17.02.17,Buy,Marriott Market Perform,Telsey Advisory Group
10.01.17,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
05.12.16,Buy,Marriott Buy,MKM Partners
26.09.16,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
23.09.16,Buy,Marriott Market Perform,Telsey Advisory Group
29.04.16,Buy,Marriott Market Perform,Telsey Advisory Group
23.03.16,Buy,Marriott Buy,Canaccord Adams
23.03.16,Buy,Marriott Buy,Canaccord Adams
22.03.16,Hold,Marriott Neutral,MKM Partners
10.03.16,Hold,Marriott Neutral,UBS AG
08.03.16,Sell,Marriott Sell,Argus Research Company
29.02.16,Hold,Marriott Equal weight,Barclays Capital
22.02.16,Hold,Marriott Equal weight,Barclays Capital
14.01.16,Hold,Marriott Neutral,MKM Partners
14.01.16,Hold,Marriott Neutral,MKM Partners
04.12.15,Buy,Marriott Buy,Canaccord Adams
04.12.15,Buy,Marriott Buy,Canaccord Adams
30.11.15,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
02.11.15,Hold,Marriott Sector Perform,RBC Capital Markets
29.10.15,Buy,Marriott Buy,Deutsche Bank AG
29.10.15,Buy,Marriott Buy,MKM Partners
22.09.15,Hold,Marriott Hold,Deutsche Bank AG
22.09.15,Buy,Marriott Buy,Deutsche Bank AG
31.07.15,Buy,Marriott Buy,Deutsche Bank AG
14.07.15,Hold,Marriott Hold,Canaccord Adams
14.07.15,Buy,Marriott Buy,Canaccord Adams
25.06.15,Hold,Marriott Hold,Brean Capital
11.05.15,Hold,Marriott Sector Perform,RBC Capital Markets
07.05.15,Hold,Marriott Neutral,MKM Partners
06.05.15,Buy,Marriott Buy,Argus Research Company
30.04.15,Buy,Marriott Buy,Deutsche Bank AG
30.04.15,Hold,Marriott Mkt Perform,FBR Capital
22.04.15,Buy,Marriott Buy,MKM Partners
03.03.15,Hold,Marriott Sector Perform,RBC Capital Markets
03.03.15,Buy,Marriott Outperform,RBC Capital Markets
23.02.15,Buy,Marriott Buy,Argus Research Company
18.02.15,Buy,Marriott Buy,Argus Research Company
11.02.15,Hold,Marriott Neutral,MKM Partners
06.02.15,Hold,Marriott Neutral,MKM Partners
04.02.15,Hold,Marriott Neutral,Robert W. Baird & Co. Incorporated
17.11.14,Hold,Marriott Neutral,UBS AG
17.11.14,Hold,Marriott Neutral,UBS AG
30.10.14,Buy,Marriott overweight,Barclays Capital
23.10.18,Buy,Marriott Outperform,"Cowen and Company, LLC"
08.08.17,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
12.06.17,Buy,Marriott Outperform,RBC Capital Markets
10.05.17,Buy,Marriott Buy,Canaccord Adams
09.05.17,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
03.03.17,Buy,Marriott Outperform,RBC Capital Markets
21.02.17,Hold,Marriott Hold,SunTrust
17.02.17,Buy,Marriott Market Perform,Telsey Advisory Group
10.01.17,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
05.12.16,Buy,Marriott Buy,MKM Partners
26.09.16,Buy,Marriott Hold,"Stifel, Nicolaus & Co., Inc."
23.09.16,Buy,Marriott Market Perform,Telsey Advisory Group
29.04.16,Buy,Marriott Market Perform,Telsey Advisory Group
23.03.16,Buy,Marriott Buy,Canaccord Adams
23.03.16,Buy,Marriott Buy,Canaccord Adams
22.03.16,Hold,Marriott Neutral,MKM Partners
10.03.16,Hold,Marriott Neutral,UBS AG
08.03.16,Sell,Marriott Sell,Argus Research Company
29.02.16,Hold,Marriott Equal weight,Barclays Capital
