Date,Buy/Sell/Hold,Name,Bank Name
04.06.19,Hold,MercadoLibre Neutral,BTIG Research
03.05.19,Buy,MercadoLibre Buy,Deutsche Bank AG
22.08.18,Buy,MercadoLibre Buy,"Stifel, Nicolaus & Co., Inc."
09.08.18,Buy,MercadoLibre Hold,"Stifel, Nicolaus & Co., Inc."
10.05.18,Buy,MercadoLibre Hold,"Stifel, Nicolaus & Co., Inc."
15.03.18,Buy,MercadoLibre Hold,"Stifel, Nicolaus & Co., Inc."
23.02.18,Buy,MercadoLibre Buy,"Stifel, Nicolaus & Co., Inc."
29.01.18,Buy,MercadoLibre Buy,"Stifel, Nicolaus & Co., Inc."
04.01.18,Hold,MercadoLibre Hold,Deutsche Bank AG
25.08.17,Buy,MercadoLibre Buy,"Stifel, Nicolaus & Co., Inc."
29.03.17,Buy,MercadoLibre overweight,Barclays Capital
17.02.17,Buy,MercadoLibre Overweight,Pacific Crest Securities Inc.
06.10.16,Buy,MercadoLibre Hold,"Stifel, Nicolaus & Co., Inc."
12.05.15,Buy,MercadoLibre Hold,"Stifel, Nicolaus & Co., Inc."
31.10.14,Buy,MercadoLibre Buy,"Stifel, Nicolaus & Co., Inc."
03.11.11,Buy,MercadoLibre outperform,RBC Capital Markets
