Date,Buy/Sell/Hold,Name,Bank Name
19.07.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
17.07.23,Buy,Meta Platforms (ex Facebook) Outperform,Credit Suisse Group
17.07.23,Buy,Meta Platforms (ex Facebook) Buy,Goldman Sachs Group Inc.
26.06.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
30.05.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
25.05.23,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
23.05.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
28.04.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
27.04.23,Buy,Meta Platforms (ex Facebook) Outperform,Credit Suisse Group
27.04.23,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
27.04.23,Buy,Meta Platforms (ex Facebook) Buy,Goldman Sachs Group Inc.
27.04.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
27.04.23,Buy,Meta Platforms (ex Facebook) Overweight,JP Morgan Chase & Co.
24.04.23,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
11.04.23,Buy,Meta Platforms (ex Facebook) Outperform,Bernstein Research
06.04.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
06.04.23,Buy,Meta Platforms (ex Facebook) Buy,Goldman Sachs Group Inc.
05.04.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
15.03.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
14.03.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
07.03.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
06.02.23,Buy,Meta Platforms (ex Facebook) Outperform,Bernstein Research
02.02.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
02.02.23,Buy,Meta Platforms (ex Facebook) Buy,Deutsche Bank AG
02.02.23,Buy,Meta Platforms (ex Facebook) Outperform,Credit Suisse Group
02.02.23,Buy,Meta Platforms (ex Facebook) Overweight,JP Morgan Chase & Co.
02.02.23,Hold,Meta Platforms (ex Facebook) Halten,DZ BANK
02.02.23,Buy,Meta Platforms (ex Facebook) Buy,Goldman Sachs Group Inc.
02.02.23,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
02.02.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
31.01.23,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
30.01.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
26.01.23,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
25.01.23,Buy,Meta Platforms (ex Facebook) Outperform,Credit Suisse Group
09.01.23,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
03.01.23,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
16.12.22,Buy,Meta Platforms (ex Facebook) Overweight,JP Morgan Chase & Co.
18.11.22,Buy,Meta Platforms (ex Facebook) Buy,Goldman Sachs Group Inc.
16.11.22,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
10.11.22,Buy,Meta Platforms (ex Facebook) Buy,UBS AG
09.11.22,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
27.10.22,Buy,Meta Platforms (ex Facebook) Outperform,Credit Suisse Group
27.10.22,Buy,Meta Platforms (ex Facebook) Buy,Deutsche Bank AG
27.10.22,Hold,Meta Platforms (ex Facebook) Neutral,JP Morgan Chase & Co.
25.10.22,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
27.09.22,Buy,Meta Platforms (ex Facebook) Outperform,RBC Capital Markets
28.07.22,Buy,Meta Platforms (ex Facebook) Outperform,Credit Suisse Group
28.07.22,Hold,Meta Platforms (ex Facebook) Neutral,JP Morgan Chase & Co.
28.07.22,Buy,Meta Platforms (ex Facebook) Buy,Jefferies & Company Inc.
28.07.22,Buy,Meta Platforms (ex Facebook) Buy,Goldman Sachs Group Inc.
