Date,Buy/Sell/Hold,Name,Bank Name
22.12.22,Buy,Micron Technology Outperform,Credit Suisse Group
01.12.20,Buy,Micron Technology Outperform,RBC Capital Markets
24.07.19,Buy,Micron Technology Buy,Deutsche Bank AG
26.06.19,Buy,Micron Technology Outperform,RBC Capital Markets
26.06.19,Buy,Micron Technology Buy,"Needham & Company, LLC"
08.04.19,Hold,Micron Technology Market Perform,"Cowen and Company, LLC"
11.01.19,Buy,Micron Technology Outperform,BMO Capital Markets
19.12.18,Hold,Micron Technology Hold,"Needham & Company, LLC"
19.12.18,Hold,Micron Technology Sector Perform,RBC Capital Markets
19.12.18,Buy,Micron Technology overweight,Barclays Capital
19.12.18,Buy,Micron Technology buy,Deutsche Bank AG
17.12.18,Buy,Micron Technology Outperform,"Cowen and Company, LLC"
24.09.18,Buy,Micron Technology Strong Buy,"Needham & Company, LLC"
18.09.18,Buy,Micron Technology Buy,"Cowen and Company, LLC"
05.07.18,Buy,Micron Technology Buy,"Stifel, Nicolaus & Co., Inc."
22.06.18,Buy,Micron Technology Buy,The Benchmark Company
21.06.18,Buy,Micron Technology overweight,JP Morgan Chase & Co.
21.06.18,Buy,Micron Technology Outperform,"Cowen and Company, LLC"
21.06.18,Buy,Micron Technology Outperform,Credit Suisse Group
23.05.18,Buy,Micron Technology Strong Buy,"Needham & Company, LLC"
22.05.18,Buy,Micron Technology Buy,"Stifel, Nicolaus & Co., Inc."
22.05.18,Buy,Micron Technology Outperform,"Cowen and Company, LLC"
15.05.18,Buy,Micron Technology Buy,"Stifel, Nicolaus & Co., Inc."
23.03.18,Buy,Micron Technology Outperform,"Cowen and Company, LLC"
23.03.18,Buy,Micron Technology Buy,Mizuho
16.03.18,Buy,Micron Technology Outperform,Robert W. Baird & Co. Incorporated
13.03.18,Buy,Micron Technology Buy,Mizuho
06.02.18,Buy,Micron Technology Buy,Mizuho
06.02.18,Buy,Micron Technology Strong Buy,"Needham & Company, LLC"
06.02.18,Buy,Micron Technology Buy,"Stifel, Nicolaus & Co., Inc."
20.12.17,Buy,Micron Technology Buy,"Stifel, Nicolaus & Co., Inc."
20.12.17,Buy,Micron Technology Outperform,"Cowen and Company, LLC"
20.12.17,Buy,Micron Technology Buy,Mizuho
28.11.17,Hold,Micron Technology Hold,Standpoint Research
12.10.17,Buy,Micron Technology overweight,Barclays Capital
09.10.17,Buy,Micron Technology Market Perform,BMO Capital Markets
06.10.17,Buy,Micron Technology Market Perform,BMO Capital Markets
27.09.17,Buy,Micron Technology Outperform,"Cowen and Company, LLC"
30.06.17,Buy,Micron Technology Buy,"Stifel, Nicolaus & Co., Inc."
26.06.17,Buy,Micron Technology Outperform,"Cowen and Company, LLC"
24.05.17,Sell,Micron Technology Reduce,Standpoint Research
27.03.17,Buy,Micron Technology Buy,Standpoint Research
