Date,Buy/Sell/Hold,Name,Bank Name
19.07.23,Buy,Microsoft Outperform,RBC Capital Markets
19.07.23,Buy,Microsoft Overweight,JP Morgan Chase & Co.
18.07.23,Buy,Microsoft Buy,Jefferies & Company Inc.
14.07.23,Buy,Microsoft Buy,UBS AG
07.06.23,Buy,Microsoft Overweight,JP Morgan Chase & Co.
31.05.23,Hold,Microsoft Neutral,UBS AG
31.05.23,Buy,Microsoft Outperform,Credit Suisse Group
26.05.23,Buy,Microsoft Buy,Goldman Sachs Group Inc.
25.05.23,Buy,Microsoft Outperform,RBC Capital Markets
24.05.23,Buy,Microsoft Buy,Jefferies & Company Inc.
27.04.23,Hold,Microsoft Neutral,UBS AG
26.04.23,Buy,Microsoft Outperform,Credit Suisse Group
26.04.23,Buy,Microsoft Overweight,JP Morgan Chase & Co.
26.04.23,Buy,Microsoft Buy,Jefferies & Company Inc.
26.04.23,Buy,Microsoft Conviction Buy List,Goldman Sachs Group Inc.
20.04.23,Hold,Microsoft Neutral,UBS AG
19.04.23,Buy,Microsoft Conviction Buy List,Goldman Sachs Group Inc.
18.04.23,Buy,Microsoft Buy,Jefferies & Company Inc.
17.03.23,Hold,Microsoft Neutral,UBS AG
14.03.23,Hold,Microsoft Neutral,UBS AG
02.03.23,Buy,Microsoft Outperform,Credit Suisse Group
27.02.23,Buy,Microsoft Buy,Jefferies & Company Inc.
08.02.23,Hold,Microsoft Neutral,UBS AG
08.02.23,Buy,Microsoft Buy,Jefferies & Company Inc.
08.02.23,Buy,Microsoft Overweight,JP Morgan Chase & Co.
26.01.23,Buy,Microsoft Outperform,Credit Suisse Group
25.01.23,Buy,Microsoft Conviction Buy List,Goldman Sachs Group Inc.
25.01.23,Buy,Microsoft Overweight,JP Morgan Chase & Co.
25.01.23,Buy,Microsoft Outperform,RBC Capital Markets
25.01.23,Buy,Microsoft Buy,Jefferies & Company Inc.
25.01.23,Buy,Microsoft Conviction Buy List,Goldman Sachs Group Inc.
24.01.23,Buy,Microsoft Overweight,JP Morgan Chase & Co.
19.01.23,Hold,Microsoft Neutral,UBS AG
18.01.23,Buy,Microsoft Outperform,RBC Capital Markets
17.01.23,Buy,Microsoft Conviction Buy List,Goldman Sachs Group Inc.
12.01.23,Hold,Microsoft Neutral,UBS AG
12.01.23,Buy,Microsoft Outperform,RBC Capital Markets
10.01.23,Buy,Microsoft Outperform,RBC Capital Markets
05.01.23,Buy,Microsoft Buy,Jefferies & Company Inc.
04.01.23,Hold,Microsoft Neutral,UBS AG
09.12.22,Buy,Microsoft Outperform,Credit Suisse Group
