Date,Buy/Sell/Hold,Name,Bank Name
03.05.17,Buy,Mondelez Buy,Deutsche Bank AG
15.02.17,Hold,Mondelez Hold,Deutsche Bank AG
10.11.16,Hold,Mondelez Hold,Deutsche Bank AG
28.04.16,Buy,Mondelez Outperform,RBC Capital Markets
26.10.15,Buy,Mondelez Outperform,RBC Capital Markets
31.07.15,Buy,Mondelez Buy,Deutsche Bank AG
31.07.15,Buy,Mondelez Outperform,RBC Capital Markets
12.06.15,Buy,Mondelez Outperform,BMO Capital Markets
30.04.15,Buy,Mondelez Buy,Deutsche Bank AG
06.11.14,Buy,Mondelez Outperform,RBC Capital Markets
27.10.14,Buy,Mondelez Outperform,RBC Capital Markets
27.02.13,Hold,Mondelez halten,Hamburger Sparkasse AG (Haspa)
29.11.12,Hold,Mondelez halten,Hamburger Sparkasse AG (Haspa)
24.10.12,Hold,Mondelez halten,Hamburger Sparkasse AG (Haspa)
