Date,Buy/Sell/Hold,Name,Bank Name
08.08.19,Buy,Monster Beverage Market Perform,BMO Capital Markets
15.03.19,Buy,Monster Beverage Market Perform,BMO Capital Markets
12.07.18,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
09.05.18,Buy,Monster Beverage Hold,"Stifel, Nicolaus & Co., Inc."
01.03.18,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
17.01.18,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
14.12.17,Hold,Monster Beverage Hold,Deutsche Bank AG
09.11.17,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
04.11.16,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
02.05.16,Buy,Monster Beverage Buy,UBS AG
26.02.16,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
10.11.15,Buy,Monster Beverage Buy,Argus Research Company
06.11.15,Buy,Monster Beverage Buy,UBS AG
15.10.15,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
07.08.15,Buy,Monster Beverage Outperform,RBC Capital Markets
12.06.15,Buy,Monster Beverage Buy,UBS AG
29.04.15,Hold,Monster Beverage Neutral,UBS AG
27.02.15,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
13.01.15,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
06.01.15,Buy,Monster Beverage Buy,Argus Research Company
01.12.14,Buy,Monster Beverage Outperform,RBC Capital Markets
07.11.14,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
22.09.14,Buy,Monster Beverage Buy,"Stifel, Nicolaus & Co., Inc."
08.11.12,Buy,Monster Beverage buy,UBS AG
11.05.12,Buy,Monster Beverage buy,UBS AG
11.05.12,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
10.04.12,Buy,Monster Beverage buy,UBS AG
27.02.12,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
04.11.11,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
13.10.11,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
07.10.11,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
22.09.11,Buy,Monster Beverage buy,UBS AG
08.06.11,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
20.05.11,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
11.04.11,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
09.07.10,Buy,Monster Beverage kaufen,"Stifel, Nicolaus & Co., Inc."
08.05.09,Hold,Monster Beverage hold,"Stifel, Nicolaus & Co., Inc."
08.05.09,Buy,Monster Beverage buy,UBS AG
25.03.09,Hold,Monster Beverage hold,"Stifel, Nicolaus & Co., Inc."
27.02.09,Buy,Monster Beverage buy,"Stifel, Nicolaus & Co., Inc."
27.02.09,Buy,Monster Beverage buy,UBS AG
30.01.09,Buy,Monster Beverage spekulativ kaufen,Der Aktionärsbrief
