Date,Buy/Sell/Hold,Name,Bank Name
08.12.21,Sell,NXP Semiconductors Sell,UBS AG
02.11.18,Buy,NXP Semiconductors Outperform,"Cowen and Company, LLC"
01.11.18,Sell,NXP Semiconductors Sell,"Stifel, Nicolaus & Co., Inc."
13.09.18,Buy,NXP Semiconductors Outperform,"Cowen and Company, LLC"
07.09.18,Buy,NXP Semiconductors Outperform,"Cowen and Company, LLC"
27.07.18,Buy,NXP Semiconductors Buy,Deutsche Bank AG
03.05.18,Buy,NXP Semiconductors Buy,Drexel Hamilton
15.03.18,Hold,NXP Semiconductors Hold,Deutsche Bank AG
01.02.18,Buy,NXP Semiconductors Strong Buy,"Needham & Company, LLC"
08.05.17,Hold,NXP Semiconductors Neutral,Instinet
03.11.16,Hold,NXP Semiconductors Neutral,Mizuho
01.11.16,Hold,NXP Semiconductors Sector Weight,Pacific Crest Securities Inc.
28.10.16,Hold,NXP Semiconductors Hold,SunTrust
28.10.16,Hold,NXP Semiconductors Neutral,Robert W. Baird & Co. Incorporated
27.10.16,Hold,NXP Semiconductors Hold,Drexel Hamilton
27.10.16,Buy,NXP Semiconductors Buy,Mizuho
27.04.16,Buy,NXP Semiconductors Buy,Topeka Capital Markets
18.11.15,Buy,NXP Semiconductors Outperform,FBR Capital
30.10.15,Buy,NXP Semiconductors Outperform,BMO Capital Markets
30.10.15,Buy,NXP Semiconductors Buy,Canaccord Adams
30.10.15,Buy,NXP Semiconductors Outperform,Oppenheimer & Co. Inc.
31.07.15,Buy,NXP Semiconductors Buy,"Stifel, Nicolaus & Co., Inc."
29.05.15,Buy,NXP Semiconductors Buy,"Stifel, Nicolaus & Co., Inc."
22.05.15,Buy,NXP Semiconductors Buy,Mizuho
11.05.15,Buy,NXP Semiconductors Buy,Deutsche Bank AG
30.04.15,Buy,NXP Semiconductors Outperform,FBR Capital
27.04.15,Buy,NXP Semiconductors Buy,Canaccord Adams
13.03.15,Buy,NXP Semiconductors Strong Buy,"Needham & Company, LLC"
03.03.15,Buy,NXP Semiconductors Buy,Topeka Capital Markets
02.03.15,Buy,NXP Semiconductors Outperform,FBR Capital
06.02.15,Buy,NXP Semiconductors Buy,Canaccord Adams
05.02.15,Buy,NXP Semiconductors Buy,Topeka Capital Markets
05.02.15,Buy,NXP Semiconductors Outperform,FBR Capital
09.12.14,Buy,NXP Semiconductors Outperform,Oppenheimer & Co. Inc.
04.12.14,Buy,NXP Semiconductors Buy,"Stifel, Nicolaus & Co., Inc."
07.11.14,Buy,NXP Semiconductors Buy,Topeka Capital Markets
06.11.14,Buy,NXP Semiconductors Buy,"Stifel, Nicolaus & Co., Inc."
05.11.14,Buy,NXP Semiconductors Outperform,FBR Capital
04.01.12,Buy,NXP Semiconductors overweight,Barclays Capital
