Date,Buy/Sell/Hold,Name,Bank Name
20.07.23,Buy,Netflix Buy,Deutsche Bank AG
20.07.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
20.07.23,Hold,Netflix Neutral,Goldman Sachs Group Inc.
20.07.23,Buy,Netflix Buy,Jefferies & Company Inc.
20.07.23,Buy,Netflix Buy,UBS AG
18.07.23,Buy,Netflix Buy,Jefferies & Company Inc.
17.07.23,Buy,Netflix Buy,Deutsche Bank AG
14.07.23,Hold,Netflix Neutral,Credit Suisse Group
12.07.23,Buy,Netflix Buy,UBS AG
05.07.23,Hold,Netflix Neutral,Goldman Sachs Group Inc.
14.06.23,Hold,Netflix Equal Weight,Barclays Capital
07.06.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
30.05.23,Buy,Netflix Buy,Jefferies & Company Inc.
30.05.23,Buy,Netflix Buy,UBS AG
23.05.23,Buy,Netflix Buy,UBS AG
19.04.23,Hold,Netflix Neutral,Credit Suisse Group
19.04.23,Buy,Netflix Buy,Jefferies & Company Inc.
19.04.23,Sell,Netflix Sell,Goldman Sachs Group Inc.
19.04.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
19.04.23,Buy,Netflix Buy,Deutsche Bank AG
19.04.23,Buy,Netflix Buy,UBS AG
17.04.23,Hold,Netflix Neutral,Credit Suisse Group
11.04.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
06.04.23,Buy,Netflix Buy,Jefferies & Company Inc.
21.02.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
06.02.23,Buy,Netflix Buy,Jefferies & Company Inc.
30.01.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
20.01.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
20.01.23,Hold,Netflix Neutral,Credit Suisse Group
20.01.23,Sell,Netflix Sell,Goldman Sachs Group Inc.
20.01.23,Buy,Netflix Buy,Jefferies & Company Inc.
12.01.23,Buy,Netflix Buy,Jefferies & Company Inc.
09.01.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
18.11.22,Sell,Netflix Sell,Goldman Sachs Group Inc.
19.10.22,Hold,Netflix Neutral,UBS AG
19.10.22,Buy,Netflix Buy,Deutsche Bank AG
19.10.22,Buy,Netflix Overweight,JP Morgan Chase & Co.
19.10.22,Hold,Netflix Hold,Jefferies & Company Inc.
19.10.22,Hold,Netflix Neutral,Credit Suisse Group
19.10.22,Hold,Netflix Equal Weight,Barclays Capital
14.10.22,Hold,Netflix Neutral,JP Morgan Chase & Co.
14.10.22,Hold,Netflix Neutral,UBS AG
11.10.22,Sell,Netflix Sell,Goldman Sachs Group Inc.
10.10.22,Hold,Netflix Neutral,JP Morgan Chase & Co.
14.09.22,Hold,Netflix Neutral,JP Morgan Chase & Co.
07.09.22,Hold,Netflix Hold,Jefferies & Company Inc.
20.07.22,Hold,Netflix Neutral,UBS AG
20.07.22,Hold,Netflix Equal Weight,Barclays Capital
20.07.22,Hold,Netflix Hold,Deutsche Bank AG
20.07.22,Hold,Netflix Neutral,JP Morgan Chase & Co.
20.07.23,Buy,Netflix Buy,Deutsche Bank AG
20.07.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
20.07.23,Hold,Netflix Neutral,Goldman Sachs Group Inc.
20.07.23,Buy,Netflix Buy,Jefferies & Company Inc.
20.07.23,Buy,Netflix Buy,UBS AG
18.07.23,Buy,Netflix Buy,Jefferies & Company Inc.
17.07.23,Buy,Netflix Buy,Deutsche Bank AG
14.07.23,Hold,Netflix Neutral,Credit Suisse Group
12.07.23,Buy,Netflix Buy,UBS AG
05.07.23,Hold,Netflix Neutral,Goldman Sachs Group Inc.
14.06.23,Hold,Netflix Equal Weight,Barclays Capital
07.06.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
30.05.23,Buy,Netflix Buy,Jefferies & Company Inc.
30.05.23,Buy,Netflix Buy,UBS AG
23.05.23,Buy,Netflix Buy,UBS AG
19.04.23,Hold,Netflix Neutral,Credit Suisse Group
19.04.23,Buy,Netflix Buy,Jefferies & Company Inc.
19.04.23,Sell,Netflix Sell,Goldman Sachs Group Inc.
19.04.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
19.04.23,Buy,Netflix Buy,Deutsche Bank AG
19.04.23,Buy,Netflix Buy,UBS AG
17.04.23,Hold,Netflix Neutral,Credit Suisse Group
11.04.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
06.04.23,Buy,Netflix Buy,Jefferies & Company Inc.
21.02.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
06.02.23,Buy,Netflix Buy,Jefferies & Company Inc.
30.01.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
20.01.23,Buy,Netflix Overweight,JP Morgan Chase & Co.
20.01.23,Hold,Netflix Neutral,Credit Suisse Group
20.01.23,Sell,Netflix Sell,Goldman Sachs Group Inc.
20.01.23,Buy,Netflix Buy,Jefferies & Company Inc.
12.01.23,Buy,Netflix Buy,Jefferies & Company Inc.
