Date,Buy/Sell/Hold,Name,Bank Name
06.08.19,Buy,ON Semiconductor Outperform,"Cowen and Company, LLC"
11.03.19,Buy,ON Semiconductor Buy,B. Riley FBR
08.03.19,Buy,ON Semiconductor Outperform,BMO Capital Markets
22.02.19,Buy,ON Semiconductor Outperform,"Cowen and Company, LLC"
16.11.18,Buy,ON Semiconductor Market Perform,BMO Capital Markets
30.10.18,Buy,ON Semiconductor Buy,Craig Hallum
05.06.18,Buy,ON Semiconductor Buy,Craig Hallum
05.02.18,Buy,ON Semiconductor Buy,Craig Hallum
05.02.18,Buy,ON Semiconductor Buy,"B. Riley FBR, Inc."
05.02.18,Buy,ON Semiconductor Buy,Mizuho
12.01.18,Buy,ON Semiconductor Buy,Mizuho
07.11.17,Buy,ON Semiconductor Buy,Craig Hallum
06.11.17,Buy,ON Semiconductor Buy,Mizuho
25.09.17,Buy,ON Semiconductor Buy,Craig Hallum
08.08.17,Buy,ON Semiconductor Strong Buy,"Needham & Company, LLC"
14.02.17,Buy,ON Semiconductor Buy,"Needham & Company, LLC"
14.02.17,Buy,ON Semiconductor Buy,Mizuho
20.09.16,Buy,ON Semiconductor Buy,"Stifel, Nicolaus & Co., Inc."
20.09.16,Buy,ON Semiconductor Buy,Deutsche Bank AG
13.06.16,Buy,ON Semiconductor Overweight,Pacific Crest Securities Inc.
02.11.15,Buy,ON Semiconductor Buy,"Needham & Company, LLC"
22.05.15,Buy,ON Semiconductor Buy,Mizuho
27.02.15,Buy,ON Semiconductor Buy,Deutsche Bank AG
27.02.15,Buy,ON Semiconductor Outperform,FBR Capital
06.02.15,Buy,ON Semiconductor Outperform,FBR Capital
06.02.15,Buy,ON Semiconductor Buy,"Stifel, Nicolaus & Co., Inc."
05.11.12,Buy,ON Semiconductor buy,Jefferies & Company Inc.
05.11.12,Buy,ON Semiconductor overweight,JP Morgan Chase & Co.
03.05.12,Buy,ON Semiconductor buy,D.A. Davidson & Co.
08.02.12,Buy,ON Semiconductor buy,D.A. Davidson & Co.
