Date,Buy/Sell/Hold,Name,Bank Name
07.02.19,Hold,Old Dominion Freight Line Market Perform,"Cowen and Company, LLC"
27.07.18,Hold,Old Dominion Freight Line Market Perform,"Cowen and Company, LLC"
30.04.18,Hold,Old Dominion Freight Line Market Perform,"Cowen and Company, LLC"
09.02.18,Hold,Old Dominion Freight Line Market Perform,"Cowen and Company, LLC"
13.12.17,Buy,Old Dominion Freight Line Buy,"Stifel, Nicolaus & Co., Inc."
04.12.17,Sell,Old Dominion Freight Line Sell,Deutsche Bank AG
01.08.17,Hold,Old Dominion Freight Line Hold,Deutsche Bank AG
27.04.17,Hold,Old Dominion Freight Line Market Perform,"Cowen and Company, LLC"
02.11.16,Buy,Old Dominion Freight Line Buy,Deutsche Bank AG
29.04.16,Hold,Old Dominion Freight Line Market Perform,"Cowen and Company, LLC"
07.01.16,Hold,Old Dominion Freight Line Sector Perform,RBC Capital Markets
23.09.15,Buy,Old Dominion Freight Line Outperform,RBC Capital Markets
31.07.15,Hold,Old Dominion Freight Line Hold,Deutsche Bank AG
31.07.15,Hold,Old Dominion Freight Line Market Perform,"Cowen and Company, LLC"
31.07.15,Hold,Old Dominion Freight Line Sector Perform,RBC Capital Markets
29.06.15,Buy,Old Dominion Freight Line Buy,"Stifel, Nicolaus & Co., Inc."
03.01.07,Hold,Old Dominion Freight Line Peer Perform,Bear Stearns
30.08.05,Buy,Old Dominion Freight Line Outperform,Morgan Keegan
17.08.05,Hold,Old Dominion Freight Line Neutral,Credit Suisse First Boston
