Date,Buy/Sell/Hold,Name,Bank Name
05.10.18,Sell,Paccar Underperform,Wolfe Research
20.07.18,Buy,Paccar Market Perform,BMO Capital Markets
25.10.17,Buy,Paccar Hold,"Stifel, Nicolaus & Co., Inc."
06.06.17,Buy,Paccar Buy,UBS AG
06.04.17,Buy,Paccar Buy,Seaport Global Securities
13.01.17,Buy,Paccar Outperform,BMO Capital Markets
13.01.17,Buy,Paccar Outperform,RBC Capital Markets
03.01.17,Hold,Paccar Neutral,Robert W. Baird & Co. Incorporated
26.10.16,Hold,Paccar Hold,Deutsche Bank AG
07.09.16,Hold,Paccar Hold,Deutsche Bank AG
27.04.16,Hold,Paccar Sector Perform,RBC Capital Markets
27.04.16,Buy,Paccar Outperform,Robert W. Baird & Co. Incorporated
04.01.16,Hold,Paccar Neutral,Robert W. Baird & Co. Incorporated
30.11.15,Hold,Paccar Sector Perform,RBC Capital Markets
28.10.15,Sell,Paccar Underweight,Barclays Capital
28.10.15,Buy,Paccar Outperform,RBC Capital Markets
06.10.15,Buy,Paccar Hold,"Stifel, Nicolaus & Co., Inc."
05.06.15,Buy,Paccar Market Perform,BMO Capital Markets
16.03.15,Hold,Paccar Equal weight,Barclays Capital
23.01.15,Sell,Paccar Underperform,BMO Capital Markets
12.01.15,Buy,Paccar Outperform,RBC Capital Markets
11.12.14,Buy,Paccar Buy,Global Hunter Securities
26.10.12,Buy,Paccar buy,UBS AG
26.09.12,Hold,Paccar neutral,Robert W. Baird & Co. Incorporated
12.09.12,Buy,Paccar buy,UBS AG
26.07.12,Hold,Paccar sector perform,RBC Capital Markets
11.07.12,Buy,Paccar outperform,Robert W. Baird & Co. Incorporated
09.07.12,Buy,Paccar buy,UBS AG
26.04.12,Hold,Paccar sector perform,RBC Capital Markets
16.04.12,Buy,Paccar buy,UBS AG
11.08.11,Hold,Paccar sector perform,RBC Capital Markets
29.07.11,Buy,Paccar buy,McAdams Wright Ragen Inc.
28.07.11,Buy,Paccar buy,D.A. Davidson & Co.
27.07.11,Buy,Paccar buy,UBS AG
21.04.11,Hold,Paccar neutral,Credit Suisse Group
20.04.11,Buy,Paccar buy,UBS AG
21.03.11,Buy,Paccar buy,UBS AG
02.03.11,Hold,Paccar neutral,Credit Suisse Group
13.01.11,Hold,Paccar neutral,UBS AG
27.10.10,Hold,Paccar neutral,Credit Suisse Group
05.10.10,Hold,Paccar sector perform,RBC Capital Markets
28.07.10,Buy,Paccar outperform,Robert W. Baird & Co. Incorporated
11.06.10,Hold,Paccar halten,UBS AG
21.04.10,Sell,Paccar verkaufen,UBS AG
19.04.10,Hold,Paccar halten,Credit Suisse Group
16.04.10,Hold,Paccar halten,D.A. Davidson & Co.
09.04.10,Sell,Paccar verkaufen,UBS AG
28.10.09,Hold,Paccar neutral,Credit Suisse Group
08.07.09,Hold,Paccar neutral,Robert W. Baird & Co. Incorporated
06.04.09,Buy,Paccar kaufen,Die Actien-Börse
05.10.18,Sell,Paccar Underperform,Wolfe Research
20.07.18,Buy,Paccar Market Perform,BMO Capital Markets
25.10.17,Buy,Paccar Hold,"Stifel, Nicolaus & Co., Inc."
06.06.17,Buy,Paccar Buy,UBS AG
06.04.17,Buy,Paccar Buy,Seaport Global Securities
13.01.17,Buy,Paccar Outperform,BMO Capital Markets
13.01.17,Buy,Paccar Outperform,RBC Capital Markets
03.01.17,Hold,Paccar Neutral,Robert W. Baird & Co. Incorporated
26.10.16,Hold,Paccar Hold,Deutsche Bank AG
07.09.16,Hold,Paccar Hold,Deutsche Bank AG
27.04.16,Hold,Paccar Sector Perform,RBC Capital Markets
27.04.16,Buy,Paccar Outperform,Robert W. Baird & Co. Incorporated
04.01.16,Hold,Paccar Neutral,Robert W. Baird & Co. Incorporated
30.11.15,Hold,Paccar Sector Perform,RBC Capital Markets
28.10.15,Sell,Paccar Underweight,Barclays Capital
28.10.15,Buy,Paccar Outperform,RBC Capital Markets
06.10.15,Buy,Paccar Hold,"Stifel, Nicolaus & Co., Inc."
05.06.15,Buy,Paccar Market Perform,BMO Capital Markets
16.03.15,Hold,Paccar Equal weight,Barclays Capital
23.01.15,Sell,Paccar Underperform,BMO Capital Markets
12.01.15,Buy,Paccar Outperform,RBC Capital Markets
11.12.14,Buy,Paccar Buy,Global Hunter Securities
26.10.12,Buy,Paccar buy,UBS AG
26.09.12,Hold,Paccar neutral,Robert W. Baird & Co. Incorporated
12.09.12,Buy,Paccar buy,UBS AG
26.07.12,Hold,Paccar sector perform,RBC Capital Markets
11.07.12,Buy,Paccar outperform,Robert W. Baird & Co. Incorporated
09.07.12,Buy,Paccar buy,UBS AG
26.04.12,Hold,Paccar sector perform,RBC Capital Markets
16.04.12,Buy,Paccar buy,UBS AG
11.08.11,Hold,Paccar sector perform,RBC Capital Markets
29.07.11,Buy,Paccar buy,McAdams Wright Ragen Inc.
28.07.11,Buy,Paccar buy,D.A. Davidson & Co.
27.07.11,Buy,Paccar buy,UBS AG
21.04.11,Hold,Paccar neutral,Credit Suisse Group
20.04.11,Buy,Paccar buy,UBS AG
21.03.11,Buy,Paccar buy,UBS AG
02.03.11,Hold,Paccar neutral,Credit Suisse Group
13.01.11,Hold,Paccar neutral,UBS AG
27.10.10,Hold,Paccar neutral,Credit Suisse Group
05.10.10,Hold,Paccar sector perform,RBC Capital Markets
28.07.10,Buy,Paccar outperform,Robert W. Baird & Co. Incorporated
11.06.10,Hold,Paccar halten,UBS AG
21.04.10,Sell,Paccar verkaufen,UBS AG
19.04.10,Hold,Paccar halten,Credit Suisse Group
16.04.10,Hold,Paccar halten,D.A. Davidson & Co.
09.04.10,Sell,Paccar verkaufen,UBS AG
28.10.09,Hold,Paccar neutral,Credit Suisse Group
08.07.09,Hold,Paccar neutral,Robert W. Baird & Co. Incorporated
06.04.09,Buy,Paccar kaufen,Die Actien-Börse
03.04.09,Sell,Paccar neutral,D.A. Davidson & Co.
24.03.09,Buy,Paccar sell,UBS AG
09.03.09,Buy,Paccar neutral,D.A. Davidson & Co.
10.12.08,Buy,Paccar neutral,D.A. Davidson & Co.
27.11.06,Buy,Paccar Underweight,HSBC Securities
20.09.06,Buy,Paccar underweight,Prudential Financial
20.09.06,Buy,Paccar Underweight,Prudential Securities
15.09.06,Hold,Paccar Market Perform,Wachovia Sec
25.08.06,Hold,Paccar Reduce,UBS
28.10.05,Hold,Paccar kaufen,Erste Bank
04.10.05,Hold,Paccar Overweight,Morgan Stanley
03.05.05,Buy,Paccar Underweight,Prudential Securities
27.04.05,Hold,Paccar Buy,DA Davidson
25.01.05,Hold,Paccar Neutral,UBS
14.01.05,Sell,Paccar Empfehlungsliste,Erste Bank
07.01.05,Buy,Paccar Empfehlungsliste,Erste Bank
