Date,Buy/Sell/Hold,Name,Bank Name
30.05.19,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
30.05.19,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
23.05.19,Hold,Palo Alto Networks Market Perform,"Cowen and Company, LLC"
27.02.19,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
27.02.19,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
27.02.19,Buy,Palo Alto Networks Buy,Maxim Group
27.02.19,Buy,Palo Alto Networks Outperform,BMO Capital Markets
20.02.19,Hold,Palo Alto Networks Hold,Gabelli & Co
25.01.19,Buy,Palo Alto Networks Outperform,BMO Capital Markets
22.01.19,Buy,Palo Alto Networks Outperform,BMO Capital Markets
30.11.18,Buy,Palo Alto Networks Buy,Gabelli & Co
30.11.18,Buy,Palo Alto Networks Buy,Maxim Group
30.11.18,Buy,Palo Alto Networks Strong Buy,First Analysis Securities
30.11.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
26.11.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
19.10.18,Hold,Palo Alto Networks Neutral,Wedbush Morgan Securities Inc.
18.10.18,Buy,Palo Alto Networks Outperform,Robert W. Baird & Co. Incorporated
07.09.18,Buy,Palo Alto Networks Buy,Maxim Group
07.09.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
07.09.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
07.09.18,Buy,Palo Alto Networks Outperform,Oppenheimer & Co. Inc.
05.06.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
05.06.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
31.05.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
30.05.18,Buy,Palo Alto Networks Buy,"Stifel, Nicolaus & Co., Inc."
30.04.18,Hold,Palo Alto Networks Hold,Gabelli & Co
22.03.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
28.02.18,Buy,Palo Alto Networks Outperform,Imperial Capital
27.02.18,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
27.02.18,Buy,Palo Alto Networks Buy,Maxim Group
27.02.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
27.02.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
23.01.18,Buy,Palo Alto Networks Buy,Deutsche Bank AG
22.11.17,Buy,Palo Alto Networks Outperform,Telsey Advisory Group
21.11.17,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
21.11.17,Buy,Palo Alto Networks Outperform,RBC Capital Markets
21.11.17,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
28.09.17,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
05.09.17,Buy,Palo Alto Networks Outperform,Imperial Capital
01.09.17,Buy,Palo Alto Networks Outperform,RBC Capital Markets
01.09.17,Buy,Palo Alto Networks Overweight,First Analysis Securities
01.06.17,Buy,Palo Alto Networks Buy,Gabelli & Co
01.06.17,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
01.06.17,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
21.04.17,Buy,Palo Alto Networks Outperform,BMO Capital Markets
17.04.17,Hold,Palo Alto Networks Sector Perform,FBN Securities
06.04.17,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
03.03.17,Hold,Palo Alto Networks Hold,Argus Research Company
01.03.17,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
01.03.17,Hold,Palo Alto Networks Neutral,UBS AG
30.05.19,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
30.05.19,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
23.05.19,Hold,Palo Alto Networks Market Perform,"Cowen and Company, LLC"
27.02.19,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
27.02.19,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
27.02.19,Buy,Palo Alto Networks Buy,Maxim Group
27.02.19,Buy,Palo Alto Networks Outperform,BMO Capital Markets
20.02.19,Hold,Palo Alto Networks Hold,Gabelli & Co
25.01.19,Buy,Palo Alto Networks Outperform,BMO Capital Markets
22.01.19,Buy,Palo Alto Networks Outperform,BMO Capital Markets
30.11.18,Buy,Palo Alto Networks Buy,Gabelli & Co
30.11.18,Buy,Palo Alto Networks Buy,Maxim Group
30.11.18,Buy,Palo Alto Networks Strong Buy,First Analysis Securities
30.11.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
26.11.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
19.10.18,Hold,Palo Alto Networks Neutral,Wedbush Morgan Securities Inc.
18.10.18,Buy,Palo Alto Networks Outperform,Robert W. Baird & Co. Incorporated
07.09.18,Buy,Palo Alto Networks Buy,Maxim Group
07.09.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
07.09.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
07.09.18,Buy,Palo Alto Networks Outperform,Oppenheimer & Co. Inc.
05.06.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
05.06.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
31.05.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
30.05.18,Buy,Palo Alto Networks Buy,"Stifel, Nicolaus & Co., Inc."
30.04.18,Hold,Palo Alto Networks Hold,Gabelli & Co
22.03.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
28.02.18,Buy,Palo Alto Networks Outperform,Imperial Capital
27.02.18,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
27.02.18,Buy,Palo Alto Networks Buy,Maxim Group
27.02.18,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
27.02.18,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
23.01.18,Buy,Palo Alto Networks Buy,Deutsche Bank AG
22.11.17,Buy,Palo Alto Networks Outperform,Telsey Advisory Group
21.11.17,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
21.11.17,Buy,Palo Alto Networks Outperform,RBC Capital Markets
21.11.17,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
28.09.17,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
05.09.17,Buy,Palo Alto Networks Outperform,Imperial Capital
01.09.17,Buy,Palo Alto Networks Outperform,RBC Capital Markets
01.09.17,Buy,Palo Alto Networks Overweight,First Analysis Securities
01.06.17,Buy,Palo Alto Networks Buy,Gabelli & Co
01.06.17,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
01.06.17,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
21.04.17,Buy,Palo Alto Networks Outperform,BMO Capital Markets
17.04.17,Hold,Palo Alto Networks Sector Perform,FBN Securities
06.04.17,Buy,Palo Alto Networks Buy,"Monness, Crespi, Hardt & Co."
03.03.17,Hold,Palo Alto Networks Hold,Argus Research Company
01.03.17,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
01.03.17,Hold,Palo Alto Networks Neutral,UBS AG
01.03.17,Buy,Palo Alto Networks In-line,Imperial Capital
01.03.17,Buy,Palo Alto Networks Buy,Maxim Group
01.03.17,Hold,Palo Alto Networks Neutral,Robert W. Baird & Co. Incorporated
01.03.17,Buy,Palo Alto Networks Equal-Weight,First Analysis Securities
27.02.17,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
05.01.17,Buy,Palo Alto Networks Market Perform,BMO Capital Markets
19.12.16,Buy,Palo Alto Networks Outperform,FBN Securities
29.11.16,Hold,Palo Alto Networks Outperform,Imperial Capital
22.11.16,Buy,Palo Alto Networks Outperform,RBC Capital Markets
13.09.16,Buy,Palo Alto Networks Buy,Wunderlich
12.09.16,Buy,Palo Alto Networks Buy,Rosenblatt
27.05.16,Buy,Palo Alto Networks Hold,Deutsche Bank AG
27.05.16,Buy,Palo Alto Networks Buy,Dougherty & Company LLC
27.05.16,Buy,Palo Alto Networks Hold,"Needham & Company, LLC"
27.05.16,Buy,Palo Alto Networks Outperform,RBC Capital Markets
26.04.16,Hold,Palo Alto Networks Buy,Wunderlich
11.04.16,Buy,Palo Alto Networks Buy,UBS AG
11.04.16,Buy,Palo Alto Networks Buy,Maxim Group
05.04.16,Buy,Palo Alto Networks Buy,"Needham & Company, LLC"
26.02.16,Buy,Palo Alto Networks Outperform,Imperial Capital
26.02.16,Buy,Palo Alto Networks Buy,"Needham & Company, LLC"
26.02.16,Buy,Palo Alto Networks Buy,Topeka Capital Markets
26.02.16,Buy,Palo Alto Networks Outperform,FBR Capital
26.02.16,Buy,Palo Alto Networks Outperform,RBC Capital Markets
