Date,Buy/Sell/Hold,Name,Bank Name
12.02.21,Buy,PayPal Outperform,Credit Suisse Group
25.06.20,Buy,PayPal buy,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
31.01.19,Buy,PayPal Outperform,Oppenheimer & Co. Inc.
07.01.19,Buy,PayPal overweight,Barclays Capital
19.10.18,Buy,PayPal Outperform,BMO Capital Markets
19.10.18,Buy,PayPal Buy,BTIG Research
28.09.18,Buy,PayPal Outperform,BMO Capital Markets
26.07.18,Buy,PayPal Buy,"Stifel, Nicolaus & Co., Inc."
08.06.18,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
25.05.18,Buy,PayPal Buy,"Stifel, Nicolaus & Co., Inc."
01.02.18,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
01.02.18,Hold,PayPal Neutral,BTIG Research
20.11.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
17.11.17,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
17.11.17,Buy,PayPal Outperform,RBC Capital Markets
20.10.17,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
20.10.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
20.10.17,Buy,PayPal Buy,BTIG Research
11.10.17,Buy,PayPal overweight,Barclays Capital
28.07.17,Buy,PayPal Overweight,Cantor Fitzgerald
27.07.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
13.07.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
26.06.17,Buy,PayPal Buy,BTIG Research
25.05.17,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
27.04.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
27.04.17,Buy,PayPal Outperform,RBC Capital Markets
17.03.17,Buy,PayPal overweight,Barclays Capital
20.01.17,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
10.01.17,Hold,PayPal Hold,Loop Capital
06.01.17,Buy,PayPal Outperform,BMO Capital Markets
03.01.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
21.10.16,Buy,PayPal Buy,"Stifel, Nicolaus & Co., Inc."
21.10.16,Buy,PayPal Buy,Mizuho
14.10.16,Buy,PayPal overweight,Barclays Capital
19.09.16,Hold,PayPal Hold,Canaccord Adams
07.07.16,Buy,PayPal overweight,Barclays Capital
27.05.16,Hold,PayPal Hold,"Needham & Company, LLC"
28.04.16,Hold,PayPal Sector Perform,FBN Securities
28.04.16,Buy,PayPal overweight,Barclays Capital
28.04.16,Hold,PayPal Neutral,UBS AG
28.04.16,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
28.04.16,Buy,PayPal Outperform,RBC Capital Markets
28.04.16,Buy,PayPal Buy,Mizuho
15.04.16,Hold,PayPal Neutral,Compass Point
13.04.16,Buy,PayPal Buy,"SunTrust Robinson Humphrey, Inc."
18.03.16,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
17.03.16,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
28.01.16,Buy,PayPal Outperform,RBC Capital Markets
25.01.16,Hold,PayPal Neutral,"Monness, Crespi, Hardt & Co."
13.01.16,Hold,PayPal Neutral,Mizuho
12.02.21,Buy,PayPal Outperform,Credit Suisse Group
25.06.20,Buy,PayPal buy,"Joh. Berenberg, Gossler & Co. KG (Berenberg Bank)"
31.01.19,Buy,PayPal Outperform,Oppenheimer & Co. Inc.
07.01.19,Buy,PayPal overweight,Barclays Capital
19.10.18,Buy,PayPal Outperform,BMO Capital Markets
19.10.18,Buy,PayPal Buy,BTIG Research
28.09.18,Buy,PayPal Outperform,BMO Capital Markets
26.07.18,Buy,PayPal Buy,"Stifel, Nicolaus & Co., Inc."
08.06.18,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
25.05.18,Buy,PayPal Buy,"Stifel, Nicolaus & Co., Inc."
01.02.18,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
01.02.18,Hold,PayPal Neutral,BTIG Research
20.11.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
17.11.17,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
17.11.17,Buy,PayPal Outperform,RBC Capital Markets
20.10.17,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
20.10.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
20.10.17,Buy,PayPal Buy,BTIG Research
11.10.17,Buy,PayPal overweight,Barclays Capital
28.07.17,Buy,PayPal Overweight,Cantor Fitzgerald
27.07.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
13.07.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
26.06.17,Buy,PayPal Buy,BTIG Research
25.05.17,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
27.04.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
27.04.17,Buy,PayPal Outperform,RBC Capital Markets
17.03.17,Buy,PayPal overweight,Barclays Capital
20.01.17,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
10.01.17,Hold,PayPal Hold,Loop Capital
06.01.17,Buy,PayPal Outperform,BMO Capital Markets
03.01.17,Buy,PayPal Buy,"Monness, Crespi, Hardt & Co."
21.10.16,Buy,PayPal Buy,"Stifel, Nicolaus & Co., Inc."
21.10.16,Buy,PayPal Buy,Mizuho
14.10.16,Buy,PayPal overweight,Barclays Capital
19.09.16,Hold,PayPal Hold,Canaccord Adams
07.07.16,Buy,PayPal overweight,Barclays Capital
27.05.16,Hold,PayPal Hold,"Needham & Company, LLC"
28.04.16,Hold,PayPal Sector Perform,FBN Securities
28.04.16,Buy,PayPal overweight,Barclays Capital
28.04.16,Hold,PayPal Neutral,UBS AG
28.04.16,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
28.04.16,Buy,PayPal Outperform,RBC Capital Markets
28.04.16,Buy,PayPal Buy,Mizuho
15.04.16,Hold,PayPal Neutral,Compass Point
13.04.16,Buy,PayPal Buy,"SunTrust Robinson Humphrey, Inc."
18.03.16,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
17.03.16,Buy,PayPal Outperform,Wedbush Morgan Securities Inc.
28.01.16,Buy,PayPal Outperform,RBC Capital Markets
25.01.16,Hold,PayPal Neutral,"Monness, Crespi, Hardt & Co."
13.01.16,Hold,PayPal Neutral,Mizuho
04.01.16,Buy,PayPal Sell,"Monness, Crespi, Hardt & Co."
29.10.15,Buy,PayPal Neutral,UBS AG
02.10.15,Buy,PayPal Sector Perform,Pacific Crest Securities Inc.
25.09.15,Buy,PayPal Buy,Canaccord Adams
21.09.15,Buy,PayPal Buy,"Stifel, Nicolaus & Co., Inc."
17.09.15,Buy,PayPal Hold,Axiom Capital
08.09.15,Buy,PayPal Neutral,"B. Riley & Co., LLC"
02.09.15,Buy,PayPal Buy,Argus Research Company
07.08.15,Buy,PayPal Buy,Topeka Capital Markets
31.07.15,Buy,PayPal Buy,Compass Point
24.07.15,Buy,PayPal Outperform,BMO Capital Markets
23.07.15,Hold,PayPal Neutral,UBS AG
22.07.15,Buy,PayPal overweight,Barclays Capital
21.07.15,Buy,PayPal Hold,"Stifel, Nicolaus & Co., Inc."
21.07.15,Buy,PayPal Outperform,RBC Capital Markets
