Date,Buy/Sell/Hold,Name,Bank Name
27.03.18,Buy,Paychex Hold,"Stifel, Nicolaus & Co., Inc."
04.10.17,Sell,Paychex Underperform,RBC Capital Markets
22.12.16,Sell,Paychex Sell,Compass Point
22.12.16,Sell,Paychex Underperform,RBC Capital Markets
20.12.16,Hold,Paychex Equal weight,Barclays Capital
09.09.16,Hold,Paychex Neutral,Wedbush Morgan Securities Inc.
15.04.16,Sell,Paychex Sell,Compass Point
24.12.15,Buy,Paychex Buy,Argus Research Company
01.10.15,Sell,Paychex Underperform,RBC Capital Markets
07.04.15,Buy,Paychex Buy,Argus Research Company
26.03.15,Sell,Paychex Underperform,RBC Capital Markets
07.01.15,Buy,Paychex Buy,Argus Research Company
22.12.14,Hold,Paychex Hold,Deutsche Bank AG
21.11.14,Sell,Paychex Sell,Topeka Capital Markets
13.10.14,Buy,Paychex Buy,Argus Research Company
27.09.12,Hold,Paychex sector perform,RBC Capital Markets
25.09.12,Hold,Paychex neutral,UBS AG
02.07.12,Hold,Paychex sector perform,RBC Capital Markets
29.06.12,Hold,Paychex equal-weight,Barclays Capital
02.04.12,Hold,Paychex sector perform,RBC Capital Markets
30.03.12,Buy,Paychex buy,UBS AG
29.03.12,Hold,Paychex sector perform,RBC Capital Markets
01.03.12,Buy,Paychex buy,UBS AG
22.12.11,Hold,Paychex sector perform,RBC Capital Markets
10.10.11,Hold,Paychex hold,Deutsche Bank Securities
29.09.11,Hold,Paychex sector perform,RBC Capital Markets
29.09.11,Hold,Paychex equal-weight,Barclays Capital
27.09.11,Hold,Paychex equal-weight,Barclays Capital
24.06.11,Hold,Paychex equal-weight,Barclays Capital
24.06.11,Hold,Paychex hold,Citigroup Corp.
10.05.11,Hold,Paychex equal-weight,Barclays Capital
24.03.11,Hold,Paychex neutral,Credit Suisse Group
23.12.10,Hold,Paychex equal-weight,Barclays Capital
22.12.10,Hold,Paychex neutral,Credit Suisse Group
21.12.10,Hold,Paychex neutral,Credit Suisse Group
08.10.10,Hold,Paychex equal-weight,Barclays Capital
29.09.10,Hold,Paychex neutral,Credit Suisse Group
29.09.10,Hold,Paychex equal-weight,Barclays Capital
03.09.10,Hold,Paychex equal-weight,Barclays Capital
25.06.10,Hold,Paychex halten,Barclays Capital
24.06.10,Hold,Paychex halten,Barclays Capital
24.06.10,Hold,Paychex halten,Credit Suisse Group
21.10.09,Hold,Paychex sector perform,RBC Capital Markets
24.09.09,Hold,Paychex neutral,Credit Suisse Group
11.08.09,Sell,Paychex sell,Goldman Sachs Group Inc.
26.06.09,Buy,Paychex outperform,Robert W. Baird & Co. Incorporated
26.06.09,Hold,Paychex equal weight,Barclays Capital
25.06.09,Buy,Paychex outperform,Robert W. Baird & Co. Incorporated
18.06.09,Sell,Paychex underweight,JP Morgan Chase & Co.
20.04.09,Hold,Paychex hold,Citigroup Corp.
27.03.18,Buy,Paychex Hold,"Stifel, Nicolaus & Co., Inc."
04.10.17,Sell,Paychex Underperform,RBC Capital Markets
22.12.16,Sell,Paychex Sell,Compass Point
22.12.16,Sell,Paychex Underperform,RBC Capital Markets
20.12.16,Hold,Paychex Equal weight,Barclays Capital
09.09.16,Hold,Paychex Neutral,Wedbush Morgan Securities Inc.
