Date,Buy/Sell/Hold,Name,Bank Name
05.11.20,Buy,QUALCOMM overweight,JP Morgan Chase & Co.
05.11.20,Buy,QUALCOMM Outperform,Bernstein Research
11.08.20,Buy,QUALCOMM Outperform,Bernstein Research
03.08.20,Buy,QUALCOMM Outperform,Bernstein Research
30.07.20,Buy,QUALCOMM buy,Deutsche Bank AG
18.07.19,Hold,QUALCOMM Equal weight,Barclays Capital
23.05.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
02.05.19,Buy,QUALCOMM Buy,Canaccord Adams
02.05.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
23.04.19,Buy,QUALCOMM kaufen,Morgan Stanley
17.04.19,Buy,QUALCOMM Buy,Canaccord Adams
17.04.19,Buy,QUALCOMM overweight,JP Morgan Chase & Co.
17.04.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
27.03.19,Hold,QUALCOMM Neutral,JP Morgan Chase & Co.
31.01.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
08.11.18,Buy,QUALCOMM Buy,Canaccord Adams
08.11.18,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
25.09.18,Buy,QUALCOMM Buy,Canaccord Adams
13.09.18,Buy,QUALCOMM overweight,Barclays Capital
06.08.18,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
26.07.18,Buy,QUALCOMM Buy,Canaccord Adams
26.07.18,Hold,QUALCOMM Market Perform,"Cowen and Company, LLC"
18.05.18,Hold,QUALCOMM Market Perform,"Cowen and Company, LLC"
20.04.18,Buy,QUALCOMM Buy,Canaccord Adams
18.04.18,Buy,QUALCOMM Buy,Mizuho
15.03.18,Hold,QUALCOMM Hold,Deutsche Bank AG
17.01.18,Buy,QUALCOMM Buy,Canaccord Adams
17.01.18,Buy,QUALCOMM Buy,Mizuho
16.01.18,Buy,QUALCOMM buy,Nomura
29.11.17,Buy,QUALCOMM Hold,"Stifel, Nicolaus & Co., Inc."
14.11.17,Buy,QUALCOMM Outperform,RBC Capital Markets
13.11.17,Buy,QUALCOMM Buy,Canaccord Adams
08.11.17,Buy,QUALCOMM Outperform,RBC Capital Markets
06.11.17,Hold,QUALCOMM Hold,Standpoint Research
02.11.17,Buy,QUALCOMM Buy,Canaccord Adams
26.05.17,Buy,QUALCOMM Buy,"Stifel, Nicolaus & Co., Inc."
28.04.17,Buy,QUALCOMM Buy,Standpoint Research
20.04.17,Buy,QUALCOMM Buy,Canaccord Adams
19.04.17,Hold,QUALCOMM Neutral,Rosenblatt
26.01.17,Buy,QUALCOMM Buy,"Stifel, Nicolaus & Co., Inc."
24.01.17,Hold,QUALCOMM Mkt Perform,Charter Equity
23.01.17,Hold,QUALCOMM Neutral,Instinet
12.01.17,Buy,QUALCOMM Buy,Rosenblatt
12.10.16,Buy,QUALCOMM Buy,Canaccord Adams
03.10.16,Hold,QUALCOMM Sector Perform,RBC Capital Markets
30.09.16,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
30.09.16,Buy,QUALCOMM Buy,Mizuho
06.09.16,Hold,QUALCOMM Neutral,Mizuho
21.07.16,Buy,QUALCOMM Buy,Charter Equity
21.07.16,Buy,QUALCOMM Buy,Canaccord Adams
05.11.20,Buy,QUALCOMM overweight,JP Morgan Chase & Co.
05.11.20,Buy,QUALCOMM Outperform,Bernstein Research
11.08.20,Buy,QUALCOMM Outperform,Bernstein Research
03.08.20,Buy,QUALCOMM Outperform,Bernstein Research
30.07.20,Buy,QUALCOMM buy,Deutsche Bank AG
18.07.19,Hold,QUALCOMM Equal weight,Barclays Capital
23.05.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
02.05.19,Buy,QUALCOMM Buy,Canaccord Adams
02.05.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
23.04.19,Buy,QUALCOMM kaufen,Morgan Stanley
17.04.19,Buy,QUALCOMM Buy,Canaccord Adams
17.04.19,Buy,QUALCOMM overweight,JP Morgan Chase & Co.
17.04.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
27.03.19,Hold,QUALCOMM Neutral,JP Morgan Chase & Co.
31.01.19,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
08.11.18,Buy,QUALCOMM Buy,Canaccord Adams
08.11.18,Buy,QUALCOMM Outperform,"Cowen and Company, LLC"
25.09.18,Buy,QUALCOMM Buy,Canaccord Adams
